iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-1006.9473318427308,-1066.9048206143816,-1046.6635016645896,-1111.0486696277467,-1215.6578514540208,-1155.2176828130955,-1073.3667387062537,-1169.0242805991093,-973.6741017185084,-1089.6809299192305
1,-300.2281972662182,-328.93733920658866,-274.9550343919715,-330.0395165875757,-340.36123620888867,-333.12764615759056,-288.09262840596335,-344.2702862510265,-365.80287062484274,-379.160757320892
2,-217.45630256435527,-249.71399582621075,-183.86461614502133,-218.55948400170695,-239.37829612077752,-217.5047826598881,-210.0500029313518,-204.80721145902004,-233.4878600401131,-204.16555418626263
3,-158.73263376655967,-221.89541147674697,-167.84298196634688,-181.8909053713803,-154.70717439213405,-177.42857694556136,-174.9970360375234,-154.02984341686968,-172.24999379091344,-151.3130668224348
4,-152.56012182444772,-200.0416702310995,-149.05882648577477,-169.73576371962253,-130.84572666471527,-153.15987066702002,-138.79457310002982,-134.1974448058507,-152.8127504940644,-141.905397995938
5,-151.7378033166995,-199.29639775906975,-149.05882648577477,-159.91557635548924,-124.14703346841117,-152.29212481007556,-135.7828882123339,-131.5604921386492,-134.58732313176034,-140.43385142864574
6,-148.44659995717163,-164.69483663108224,-146.2556753341978,-149.94469319951264,-122.37502934458499,-150.3467326278774,-128.5281266721668,-128.8234591381514,-129.11103314681998,-139.92648484106425
7,-143.61468724185826,-164.69483663108224,-133.17132087564312,-143.22252872245195,-117.49330977739805,-133.8724334673958,-123.08863802063672,-126.98824133400481,-128.47418491288786,-136.16630890582786
8,-139.08178776552242,-146.1482371419629,-132.98052027732956,-130.27139823798626,-113.80463784607542,-121.88914840985413,-120.311495341565,-125.61825876185645,-123.46608680393597,-125.75004799504117
9,-134.2571807885032,-135.4171787680086,-119.01826994284491,-116.08206434933922,-107.58051912156515,-112.87341960410453,-115.74673183335095,-120.80917277704103,-122.05088213517212,-124.983055812347
10,-121.17490917595126,-126.38780555909955,-110.2701485992875,-109.9634243573706,-100.45956144736823,-106.35568354902748,-114.289615361463,-114.03834306454162,-114.25941630423173,-118.82254658719178
11,-104.85018515629142,-113.92116660639536,-100.16174617637131,-93.64042036461186,-95.05841999081932,-90.06513169736036,-109.05173860052142,-102.01434632472214,-98.22703005396582,-101.18608272850433
12,-95.43448091525802,-113.01504222732946,-87.31533229459632,-88.11837209102009,-93.53167731594837,-83.44039338242081,-99.41210629040336,-97.94825868794352,-93.9805954401053,-98.38247202773853
13,-91.20027256788516,-102.52135598124696,-86.69238142004264,-81.64859170671858,-84.29362292129488,-81.41808782153228,-94.03642260010044,-80.87238213829909,-92.84126536419109,-89.72197772527777
14,-89.70804762044969,-96.60708522054281,-85.14725895007015,-76.42884340710641,-77.48459043016021,-77.40751061303759,-92.09041850131726,-77.11173943010377,-88.30789655588903,-88.65080640175967
15,-89.70804762044969,-93.88968329165981,-81.8007995880071,-71.17608496343824,-73.73612006039912,-73.98891108548104,-88.31523906696071,-75.62200583920549,-83.83477185959941,-88.20584415751878
16,-84.64399385327184,-90.49927170384112,-81.06476976518636,-67.71801947825179,-72.6648510353107,-73.98891108548104,-83.79283915633715,-75.12807321647378,-81.85160551404311,-87.51344176274031
17,-84.58186129367067,-88.89816683183008,-78.95304038632418,-67.1814451711328,-72.6648510353107,-73.20342184420957,-81.04282941655326,-73.00309329927072,-79.95928229891535,-86.7151045039611
18,-84.58186129367067,-84.4940244438205,-78.95304038632418,-66.46893275263272,-67.68038379852035,-73.20342184420957,-81.04282941655326,-70.97094127765695,-79.95928229891535,-81.50366067590207
19,-84.5420899665872,-83.95026906066177,-78.65626524438858,-62.55352862795692,-65.20318847550037,-71.41837945777537,-80.00844322173438,-70.97094127765695,-75.82499703290519,-80.08861517737319
20,-79.67197552097315,-83.85830701339887,-76.02533710693369,-61.18988805566158,-64.50218000399806,-71.38037047352789,-80.00844322173438,-69.01581372698834,-75.82499703290519,-77.79448520410041
21,-76.85827062161226,-81.94293894953617,-72.0737540141219,-58.115176817412774,-64.36310256466633,-71.25682064638272,-79.29794382142994,-65.12862386274261,-72.57696439045228,-74.03725170310145
22,-74.4769020709007,-77.94426111240145,-67.59776327500616,-58.115176817412774,-63.40657223254942,-70.24616215910083,-79.09364509291936,-63.34101248137412,-69.6160486532263,-72.96573045242812
23,-71.4171393149886,-76.64957852778508,-66.72061770325705,-58.115176817412774,-62.79582913566765,-69.64829198734905,-77.255309712692,-62.271329985498014,-67.21819987110895,-71.32425730706302
24,-69.25225090879536,-71.96417227432688,-64.03889795315582,-56.550371920401204,-62.79582913566765,-66.50938306476874,-72.92696657659508,-59.739117470595424,-66.862187472649,-69.45572339083944
25,-69.08740603953592,-69.48908358249778,-64.03889795315582,-54.869085270006664,-62.79582913566765,-65.5238245971114,-68.70975095402204,-59.739117470595424,-65.50015266940397,-67.99795115292892
26,-68.8848007555904,-68.17744767623618,-63.821127002238256,-52.396603946240006,-60.09229957185263,-64.08704547633413,-67.88464166539359,-57.1739671341861,-64.87210184753872,-66.4835927132765
27,-66.9952443801753,-66.08486784182821,-62.57557791426612,-52.396603946240006,-58.315143153278555,-63.62288327862869,-67.10399592544233,-57.10318074817329,-64.87210184753872,-64.25476417628126
28,-66.05802705289007,-62.142456059751154,-62.156774586267275,-51.94065090265005,-57.90830334265598,-59.74192240703467,-66.60094998908372,-56.753988410513514,-62.531908507703065,-64.15103611877258
29,-64.87194937168482,-62.142456059751154,-61.969936334891315,-49.80657135717344,-57.90830334265598,-59.74192240703467,-66.60094998908372,-55.76678441856649,-62.531908507703065,-63.07429979081267
30,-63.538953438950145,-60.322868233491384,-61.89885189730797,-48.84463254760704,-57.25715958108891,-59.74192240703467,-65.5649314963014,-55.58226550054781,-59.77925180246976,-62.51660949244419
31,-62.16299144145154,-58.378658319888714,-59.58032156522401,-48.331960593478954,-57.25715958108891,-59.74192240703467,-63.49058922102708,-55.58226550054781,-58.44113447089221,-61.27443942104391
32,-61.59591439442428,-57.95680734831812,-55.9425433775811,-47.691132392134875,-56.17087173742948,-57.976672628615134,-62.730804909916856,-55.58226550054781,-58.112309407466284,-61.27443942104391
33,-61.54485819547922,-57.95680734831812,-55.9425433775811,-45.699982503583215,-52.19540930335465,-57.04358022542539,-62.34233770997885,-55.048456046219044,-55.93023485899372,-61.12754892915662
34,-61.54485819547922,-56.83973125530859,-55.35161981627212,-44.75391405495793,-50.96197952556997,-57.04358022542539,-60.908568386476375,-53.39857901216094,-52.695007609421374,-59.89425522136648
35,-60.73775450218396,-54.96314862122054,-54.51930444044926,-43.97192163415639,-49.785468922808676,-56.47702831580988,-60.031860697271895,-52.392653145226376,-51.40883033096211,-59.34764180979983
36,-60.73775450218396,-54.74888073953659,-53.931280858619544,-43.572633597014985,-49.61332958541607,-56.47702831580988,-59.22821744818234,-52.392653145226376,-51.40883033096211,-59.09895086341918
37,-60.074158636816065,-54.74888073953659,-52.54764015406545,-42.5421028543138,-49.268933736166346,-56.47702831580988,-57.752808440912055,-50.99006748436602,-51.40883033096211,-58.52527545955502
38,-59.411273194431516,-54.06552783048654,-51.495056515639845,-42.5421028543138,-49.268933736166346,-55.91678363140869,-56.06360044617807,-50.99006748436602,-50.0088899857998,-56.959897838994536
39,-58.595141306062246,-53.168999585883554,-51.18660875978546,-40.33743178146679,-48.43967559842432,-55.91678363140869,-55.22377181518944,-50.99006748436602,-49.10084715060205,-55.72245720776983
40,-58.595141306062246,-49.529442801721544,-49.361752992834205,-39.02476659184617,-47.97426693770896,-55.91678363140869,-55.22377181518944,-50.08098919349604,-48.96436975352735,-54.430646714935705
41,-57.38236617192156,-48.00946973608482,-47.81891691910257,-38.130244041726016,-45.6457223428577,-55.47225822725046,-53.915981632299214,-48.84040798702449,-47.59976856021279,-54.430646714935705
42,-57.38236617192156,-47.1838812024597,-45.145830281824836,-37.68374806365408,-44.31524542002827,-54.68538435192098,-53.19625486581576,-48.84040798702449,-46.49702910326249,-54.288134386593114
43,-56.06010281791448,-46.4031917961523,-43.704439735383396,-37.68374806365408,-43.323956658274135,-53.4178983787556,-52.96816299063079,-48.69028105177178,-45.2150960175679,-53.7029375185665
44,-54.60588552679647,-46.0528835334936,-42.27873804708459,-36.81224983147378,-42.52857326180582,-53.4178983787556,-51.59681114893664,-48.69028105177178,-44.96383779512152,-53.574923668050396
45,-54.587226157267395,-46.0528835334936,-41.560523795309734,-36.81224983147378,-42.46753491286406,-53.26918952580577,-51.203871442328,-48.41135737082186,-44.86417136133882,-53.27449039185241
46,-54.13051253078683,-45.97238699455677,-41.530843607171526,-36.09180528083844,-42.13465401228518,-53.26918952580577,-48.23200615987995,-47.06511095315008,-44.30503028931699,-52.25860152305699
47,-52.87679825843355,-45.74079018774899,-41.038388022683705,-35.148803647111976,-41.67429288104316,-52.814832856044895,-47.0324329601156,-46.54708482960416,-43.51081728506771,-51.76599535515261
48,-52.87679825843355,-45.053407709974394,-41.038388022683705,-34.62647521553104,-40.96908430629611,-52.414901352857946,-46.33483479697911,-45.71417136372598,-43.453637322388175,-50.38003009798186
49,-52.87679825843355,-45.053407709974394,-41.038388022683705,-33.74116096715928,-40.96908430629611,-51.443914854064445,-46.33336132384251,-45.15535441120318,-42.53105288517974,-49.9489434683955
