iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-4358.081863461555,-4493.361881952121,-5382.552486604243,-4068.5152940658763,-4020.1554516393203,-4415.744419936982,-5134.87771431106,-4938.958818826471,-4320.224153197907,-4332.076724464792
1,-300.2281972662182,-329.78589642933366,-274.9550343919715,-330.0395165875757,-340.36123620888867,-333.12764615759056,-288.09262840596335,-344.2702862510265,-365.80287062484274,-379.160757320892
2,-248.71272312991707,-329.7147791431603,-209.73580346819682,-244.891132916702,-258.63140294092756,-260.8403978257992,-248.00304594825533,-219.50890300380652,-293.27679777312187,-224.23050314376746
3,-175.68528970331226,-346.54316360076814,-241.61847013083434,-253.8287596662259,-195.99953731084705,-258.4104307313421,-222.29841265784697,-202.675868155957,-225.77553387834456,-199.97487387770593
4,-222.536875179752,-291.5015400757139,-249.7786553001254,-251.05017875490904,-198.9306063930513,-207.26799663776006,-221.39676260065673,-226.23709973237692,-240.89323563217692,-239.52746719597894
5,-234.6919064083802,-341.7486203321851,-274.13191973639346,-222.3953246894166,-270.3861692436561,-252.9198194616318,-257.20551825114546,-266.406106533889,-192.32541220307286,-252.16829484895402
6,-254.2112763970935,-309.4756044602018,-292.80100332629104,-283.4176538629489,-250.72635618489522,-277.8128842031139,-245.50856601130036,-288.4068659363023,-266.1864082954742,-263.30143758340137
7,-245.64718749650552,-354.3142152702154,-246.1021876829991,-265.352145516823,-182.27195329110612,-225.05292572654486,-243.69701624628735,-213.70897364387648,-243.60786406302475,-254.75853264439965
8,-231.5557310974833,-239.76017136684376,-239.81472793215255,-192.48724417930555,-194.74418418647247,-259.0158305036423,-230.09408049641328,-220.5286133205583,-238.13297387949547,-209.4548589134967
9,-210.7110905454044,-264.85473706363257,-244.2546538415565,-207.4142989880935,-191.3796486404171,-187.4318216306297,-236.3945291434129,-204.0041481115761,-199.80426008831543,-189.486353845685
