iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-1006.9473318427308,-1066.9048206143816,-1046.6635016645896,-1111.0486696277467,-1215.6578514540208,-1155.2176828130955,-1073.3667387062537,-1169.0242805991093,-973.6741017185084,-1089.6809299192305
1,-1006.9473318427308,-1066.9048206143816,-1043.7188562192148,-1111.0486696277467,-1215.6578514540208,-1153.2945397066642,-1073.3667387062537,-1148.7021827446158,-973.6741017185084,-1089.6809299192305
2,-967.2269873464464,-1065.1512082798076,-1027.7621837957963,-1080.2476049330153,-1172.7173309199088,-1153.2945397066642,-1064.0559555873995,-1125.6256879127254,-958.8009800200775,-1089.6809299192305
3,-967.2269873464464,-1061.3765600437846,-947.0222962384091,-1017.1621674403809,-1172.7173309199088,-1112.169753128744,-1022.5222797131701,-1125.6256879127254,-939.9113440603394,-1089.6809299192305
4,-941.5358870640695,-1061.3765600437846,-947.0222962384091,-1017.1621674403809,-1172.7173309199088,-1108.5717880772715,-999.8293961554582,-1118.5159575847001,-879.3239946033277,-1051.993843317312
5,-941.5358870640695,-1061.3765600437846,-910.6263663263676,-1017.1621674403809,-1172.7173309199088,-1095.3661603619703,-999.8293961554582,-1059.2650441047087,-879.3239946033277,-1051.993843317312
6,-941.5358870640695,-1061.3765600437846,-890.0287246947568,-1001.7224497262378,-1146.4268187147586,-1054.381253421978,-985.2566028849886,-1052.2711308204848,-879.3239946033277,-1051.993843317312
7,-941.5358870640695,-1052.340508561786,-890.0287246947568,-1001.7224497262378,-1140.3439266993523,-1052.7075310585233,-958.4250549841361,-990.9363573478448,-879.3239946033277,-1029.6374458414584
8,-941.5358870640695,-981.1602732133282,-828.5164838478561,-963.2557990301643,-1110.1157670962461,-924.1885760626053,-886.991289243175,-935.1890083148357,-879.3239946033277,-1029.6374458414584
9,-940.799550307268,-981.1602732133282,-821.8766467270859,-925.5924650668928,-1075.9467712484136,-924.1885760626053,-885.2867598192602,-910.3347850580765,-877.8923038808564,-1020.0126936874352
10,-866.5226202476234,-956.1459343096496,-774.5531416236328,-911.6224182330322,-1075.9467712484136,-905.5931336786641,-790.1054107125057,-910.3347850580765,-877.8923038808564,-996.5465426217689
11,-830.0710107668241,-922.9890868855364,-761.0954675379697,-874.7484853515092,-1075.9467712484136,-860.711982073351,-764.5511561249228,-893.0527926940338,-877.8923038808564,-973.1449875554476
12,-830.0710107668241,-922.9890868855364,-761.0954675379697,-874.7484853515092,-1043.8562166089873,-860.711982073351,-764.5511561249228,-866.7054004745353,-853.6009131414514,-951.4458872830296
13,-808.5091730561388,-866.7789946471984,-721.9209670427065,-874.7484853515092,-1024.837805747537,-841.1823328217795,-764.5511561249228,-852.2536309466775,-789.2674455447104,-908.1900954160104
14,-808.5091730561388,-850.4752875027277,-672.6316891327419,-791.510158925918,-1024.837805747537,-823.7248373529594,-734.8461201904759,-820.5598055103353,-759.983425517983,-908.1900954160104
15,-808.5091730561388,-850.4752875027277,-672.6316891327419,-788.526904147873,-978.9090877075292,-801.7185217477431,-734.8461201904759,-815.0064716220578,-759.983425517983,-875.7507628007697
16,-759.6960494877949,-824.5986382608837,-652.7227539566998,-788.526904147873,-845.4174501742754,-801.7185217477431,-721.7626937019995,-780.498886388576,-759.5017177353409,-875.4096480694154
17,-745.5666776691934,-787.5331443052253,-646.622452553691,-776.8471019071144,-845.4174501742754,-770.0996361175679,-686.6512841123532,-749.5580808481645,-736.8114978826173,-875.4096480694154
18,-736.0320560080036,-787.5331443052253,-626.9311806497317,-776.8471019071144,-845.4174501742754,-770.0996361175679,-653.2780381330549,-709.4408001652967,-731.328225846951,-812.6291998161525
19,-681.4747456782427,-787.5331443052253,-568.4355697873484,-776.8471019071144,-845.4174501742754,-763.5303030489372,-641.406205859043,-703.3275380918549,-731.328225846951,-812.6291998161525
20,-673.2709954680063,-783.1242528537346,-501.24101260251746,-776.8471019071144,-708.9798578617783,-763.5303030489372,-641.406205859043,-666.6874736567331,-731.328225846951,-797.3422390820799
21,-587.3332965716309,-758.4029318711791,-452.4502205516968,-723.7431632206587,-641.1474815716108,-752.4862797043783,-641.406205859043,-666.6874736567331,-722.5651548998867,-778.0755458119354
22,-566.9874440533679,-758.4029318711791,-452.4502205516968,-679.671595621787,-635.1446977780533,-694.3289095718162,-641.406205859043,-648.1637353330009,-679.9438422045729,-746.1094626505281
23,-562.7530897592496,-746.4416339422332,-434.9336207779999,-641.4644798819136,-623.6451980672585,-678.5401782574238,-601.9814655392925,-616.691697051735,-679.9438422045729,-746.1094626505281
24,-558.1225253444817,-738.0762782253864,-408.66000647133046,-627.3619806696034,-622.9981423362616,-678.5401782574238,-587.0694195125873,-598.711552969969,-668.1820918637497,-746.1094626505281
25,-534.8475974610434,-738.0762782253864,-408.66000647133046,-627.3619806696034,-622.9981423362616,-671.5302812561579,-542.8588131613405,-598.711552969969,-662.9481567046765,-745.6245859980354
26,-534.8475974610434,-700.7866811784974,-377.34008524510585,-627.3619806696034,-607.9126878149717,-671.5302812561579,-501.2395922453497,-546.7722341664585,-662.9481567046765,-716.9488750839798
27,-484.09525423233566,-674.6594048608056,-377.34008524510585,-566.5405726672099,-600.099328677531,-562.6467887151848,-496.04440378946595,-546.7722341664585,-645.3396293445303,-711.5439128164652
28,-484.09525423233566,-610.3772839522628,-377.34008524510585,-566.5405726672099,-597.2929131009873,-559.0647943046748,-476.7619823113781,-546.7722341664585,-645.3396293445303,-697.003979870243
29,-484.09525423233566,-606.5096984716383,-377.34008524510585,-546.7607383773175,-597.2929131009873,-558.8292101175435,-474.96766126014137,-546.7722341664585,-635.7656068833501,-679.4902919049296
30,-477.8754205531494,-599.1153240620081,-377.34008524510585,-516.2160008908384,-590.9383980051848,-528.6759971997694,-474.96766126014137,-544.3148370583019,-635.7656068833501,-636.8759178476503
31,-477.8754205531494,-573.4497419495707,-354.7372998292921,-515.1082452384214,-590.9383980051848,-524.1640911089373,-460.8081581066898,-542.9188504613631,-635.7656068833501,-636.8759178476503
32,-477.8754205531494,-573.4497419495707,-354.7372998292921,-515.1082452384214,-590.2774826061647,-518.1581588568316,-460.8081581066898,-533.1361027819564,-635.7656068833501,-596.8753248977987
