iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-4358.081863461555,-4493.361881952121,-5382.552486604243,-4068.5152940658763,-4020.1554516393203,-4415.744419936982,-5134.87771431106,-4938.958818826471,-4320.224153197907,-4332.076724464792
1,-3921.461805954998,-4968.891209656575,-4282.560814150297,-4099.655330845719,-4314.234070731785,-4834.482394124339,-3166.539556748359,-3667.444959598393,-4334.491475358855,-4350.898865576544
2,-3250.0592093714495,-3550.7225106114984,-2693.118109240485,-4086.707741178646,-3537.8176203646262,-3945.3517834931954,-4423.560262103617,-2878.7467792209954,-4028.921252508605,-3239.0859102960558
3,-3664.3955708036638,-3956.19876341869,-4299.278574752225,-3652.6121414017907,-4455.977794424096,-3407.121528195443,-2972.6387630909167,-4472.514149658314,-4287.8811495708305,-3863.0393302232324
4,-3961.889862790354,-3286.151271676322,-3359.3905739364736,-4692.147222007388,-4102.7955084199675,-3919.4621833621013,-3701.045031549074,-2918.2979612097115,-3574.861536508314,-3087.199997477248
5,-3922.500753201525,-3479.0335868159905,-4550.514545547614,-3377.589445313183,-4634.340166315703,-3883.3843637356936,-3203.155724943748,-3002.948031466577,-3896.9834757213257,-3520.4644625846026
6,-3631.8059197331804,-3920.489228468393,-3357.333076755487,-4107.677876004815,-3543.7909249087925,-3693.4339478990278,-2763.916497269861,-4076.8474893180555,-4040.2163861922654,-6090.1935622984465
7,-3930.2248280718404,-4022.6538256591493,-3770.4448729847486,-3821.342576187867,-3781.2208843262083,-3788.970791353793,-3552.8876421309055,-3567.733084284504,-2491.7504334695413,-3734.0160649256445
8,-4072.5622457961395,-3139.5525210144074,-2673.0384828496544,-3054.928017133734,-4268.234195765598,-3361.5771602356645,-3076.515143938218,-3117.2179784696873,-4063.3097454504814,-3645.0152403604707
9,-2981.7087661413807,-3226.1665495893717,-3739.0234410886474,-2804.7014013578387,-4248.510517730059,-4256.479496648765,-3076.120175658025,-2681.625612312036,-3182.452657553352,-3929.818220892056
10,-2776.015693576385,-3583.138606977098,-3134.7499843639903,-3643.2027255017865,-3873.369488343079,-3394.3250114953726,-3760.5895782043613,-3750.1886509398805,-4159.475097260287,-3303.813516171151
11,-3789.6668614426558,-2856.07656971093,-3171.754330398324,-3295.7675711482584,-3569.28959051501,-3170.170408869606,-3899.9427131039843,-3285.5292113494497,-3816.706559277568,-3543.8420172766273
12,-3422.819152613565,-4401.033970450041,-3368.504233913025,-2943.3930811134996,-3130.762245013543,-4019.3758707367974,-3218.300509408946,-3203.2257473831005,-3955.2152499062695,-3352.7075255893355
13,-3090.022863737354,-3201.037896167066,-3145.349394720047,-2981.5190734826638,-2881.846427552828,-4164.417981596631,-3270.5997566966507,-3737.6414322644246,-2654.9085069809944,-3102.3302649960174
14,-3197.2033852082914,-2656.108480027135,-2996.5087061204617,-3314.669614121921,-2602.673814812205,-2697.9617376265355,-3075.676016819959,-3275.0545904077994,-3911.6339493351916,-3528.1811737065436
15,-2749.8429853152657,-3143.4450083642046,-3833.701632440681,-3377.2740151917196,-3739.6615979995668,-3251.9804338854156,-3129.8506353098983,-2760.5023734954584,-3825.2820901744503,-2430.5486629816523
16,-3368.0051546217455,-3294.8748541268164,-2825.5338232066233,-2964.3673766405423,-3324.109635713601,-3111.939619689354,-2929.9800609143335,-2828.822651350021,-2675.301905763682,-3456.9407285255966
17,-2962.6201946249275,-2528.5084786595007,-3260.6655285809848,-2347.1127311906966,-3835.151446793234,-3289.094270136963,-2764.694447798837,-2902.408792513903,-3059.271989896027,-3553.858477684852
18,-3081.2687077316523,-4100.86038486749,-2905.134113512282,-2721.969093611354,-2615.7128903529524,-3322.6366777789403,-2272.625274799792,-2486.985808718835,-2772.7750769984186,-3431.943959816618
19,-2862.174997369271,-3151.717682814774,-2576.946187873656,-3108.87622762289,-2962.162221972992,-3255.2251827455284,-3499.1873104849105,-3197.179243052663,-3171.245278729597,-3446.384110369494
20,-3433.351286580976,-2916.2362755049126,-2220.4923392573437,-2641.252688228666,-2047.7565608211635,-2748.237490399618,-3144.2316958247475,-2311.738705490559,-3155.354028101518,-2491.008602099306
21,-3196.1619475308908,-3623.6872603229053,-3200.0516278466857,-3249.119232029293,-3000.059213570896,-2564.7916370125654,-2892.1087031852894,-2648.969032127211,-3226.584934440735,-2543.0055750815322
22,-3327.4782269015022,-2264.4101170217637,-2429.906374246242,-2083.3323058664464,-2717.8987651959023,-2198.1580299930665,-2509.7948699028675,-2432.7749704120815,-2480.291419832362,-2901.254221432516
23,-2132.265881921788,-2756.031696190933,-2072.94629701741,-2832.4015168934848,-2373.1707903143697,-2466.569905430035,-2237.616126463485,-2633.6349091704774,-2684.021645357864,-2643.4366842468517
24,-2844.1370541202295,-2674.4911607413424,-2327.513121975154,-2697.6479683452826,-2815.081221610675,-2799.148820792265,-1950.4224850511257,-1801.2996825388796,-2599.4760008383582,-3987.411069576722
25,-2458.0145384371544,-3732.9701382864555,-2253.1311155495823,-2480.3228976414684,-2533.2761667927966,-2792.0319797766415,-2562.3627640801055,-2136.3623504924653,-2506.612607391279,-2323.844215956994
26,-2910.933637428494,-2444.5387801242896,-2239.975625521507,-2342.4836422109056,-3145.3256261026895,-2810.0423082318466,-2665.6284494981915,-2157.9717336233343,-3027.1508734520276,-2694.7580443861416
27,-2093.4977505869138,-2660.7172636794717,-2856.616807851679,-2850.1396119835704,-2148.17899052289,-2211.3173584100196,-2153.2167246847694,-2835.9158931802367,-2567.525103376639,-2725.681761033779
28,-2274.992724865232,-1937.7479219666388,-2264.573371697812,-3063.0053903399166,-2024.8564584729152,-1832.60590164837,-2028.9597998881595,-2562.0033577077506,-2629.329200081136,-3109.651373851678
29,-4034.9223395359923,-2008.129143997166,-3043.767801285186,-2031.4904759896087,-2910.548655353721,-2160.1332201968844,-2061.7911115782836,-2540.294779242042,-2264.6815697078523,-2483.2886708557508
30,-2714.8544809840373,-2515.860926236757,-2674.2291512091642,-2437.594175750142,-2568.5998434225276,-2207.2157338883085,-1992.372234728788,-2192.122175004274,-2591.6526520555008,-2555.9469116961
31,-2306.5775250683228,-1958.1457862604739,-2944.7744680763954,-2396.221445618661,-2277.9118192319,-2594.273514430707,-1521.0504970977754,-2082.518571512838,-2946.9532173164807,-3024.530649176892
32,-1937.786170142465,-2614.7204965734254,-2256.73669037192,-2520.596395560533,-2074.8326570860117,-2130.5050859189423,-3221.5138972464592,-2381.986605184012,-2793.8351887897534,-2170.0159223139344
33,-1928.6913797951452,-2756.458728039903,-2210.9468577133725,-2604.722221621182,-2344.822215032601,-2148.4720333413616,-2025.692313392782,-1671.938943733835,-2540.389359072634,-1776.8593835765323
34,-2615.150680514397,-1871.1625125826542,-1876.5547963438898,-2378.821147055991,-2089.16379771183,-2925.2583794188163,-2358.114722282274,-2263.3979759223475,-2700.813318411243,-2416.3067618618406
35,-2115.482660917645,-2179.917908793394,-2185.6249816545687,-1385.06729557179,-2182.0240943382214,-2628.9999571514236,-2223.865643126185,-2157.804973824739,-2555.771370317113,-1937.1411019139796
36,-2143.3079397547226,-3485.2921086909096,-1990.7340549775295,-2290.8455068381168,-2385.961767077841,-2475.9798592722223,-3074.3665018317406,-2354.715675583127,-2206.587345945074,-2228.4561788424944
37,-2104.7805897407734,-2782.6376691262058,-2018.0232238917117,-2833.460278488503,-1717.6492206677779,-2460.41203684492,-2000.1259285514222,-2875.5975953899065,-2441.9941120958956,-1725.0011467919794
38,-1987.6815431113032,-2275.5166292513727,-1916.5148420515525,-1895.678726674185,-1459.1577905520412,-1721.703709958611,-2108.3998210617956,-2394.7664401079,-2793.365088946867,-2028.6838983274251
39,-1949.1549249435855,-1862.006831682137,-2625.2960788009614,-1963.0877615506718,-2571.821634895853,-2259.883727237758,-2599.9278019648814,-2401.9258758098813,-1604.2640842796177,-2430.9458542031243
40,-1949.9270714468287,-2319.3922488933013,-2069.299940549288,-1351.9580306036773,-2413.261479429407,-2064.8781061282443,-2428.9289051641913,-2236.68899865818,-2396.4571459508643,-1813.4988094943026
41,-2671.189691307888,-2208.314700126206,-2390.950486101373,-2553.7971237717557,-1841.705866386761,-2329.412118451532,-2666.3332105083236,-2274.71475058508,-1483.1734931914912,-2060.8602656485536
42,-2052.1966408295825,-1946.746948567969,-2068.613098332794,-2519.0530070936293,-2495.4163463317004,-2156.971222449625,-2988.1314419843,-2682.0188484272494,-2192.467085906871,-2313.774960936725
43,-2121.181784637182,-1794.787424278627,-1825.1131863268583,-1696.0053247602718,-2275.656165109976,-2517.6952341403307,-2183.4650793338888,-2770.8642387782274,-2097.7200910300976,-2421.22083005049
44,-1590.6345597651095,-1485.2439878685805,-1827.5894075815886,-1633.6600848695216,-2050.6897161860047,-1843.3702075571532,-2258.7450232692204,-1575.8557265129944,-2605.88677891161,-2298.9644506085187
45,-1449.2940568411366,-1839.1135246715894,-2003.5437291434268,-2401.0585873780974,-2353.8339951522457,-2374.3374894357025,-1954.5725064953222,-2610.233083398083,-2257.7684111618523,-2017.633080543612
46,-1594.7071861092304,-1675.8252666660555,-1778.921454319989,-2229.5541261708504,-1694.460341600669,-2421.283310043548,-1805.427241998797,-2587.23146740015,-1931.041097205817,-2426.7052533245633
