iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-1006.9473318427308,-1066.9048206143816,-1046.6635016645896,-1111.0486696277467,-1215.6578514540208,-1155.2176828130955,-1073.3667387062537,-1169.0242805991093,-973.6741017185084,-1089.6809299192305
1,-235.40321211628336,-270.25050433725096,-215.09324250151474,-267.4108092074381,-283.3497495335116,-279.1194681535773,-223.7431658598428,-274.3469498185135,-302.8065179999438,-299.8028357817986
2,-223.51906882600582,-233.33714786354517,-172.82881470458355,-192.05141778053567,-186.34503544607276,-193.96321711854551,-178.32888370211163,-182.66243750136329,-209.70501326855887,-190.01476252545672
3,-177.14912801983837,-206.37432004714498,-155.5995518226083,-186.7021252860173,-153.4124231296577,-173.4140398052263,-177.41951838536065,-132.2849096895667,-173.3297808563355,-144.9486528457884
4,-172.1013128480871,-200.8291976874051,-147.35316167193702,-174.8834894858425,-148.40829776325378,-164.02827394936233,-157.43456074516826,-128.16770971432277,-161.53707553234022,-137.31489625749498
5,-164.7688138602973,-171.1218275177244,-143.9413658368193,-149.49079905317936,-141.7479055396498,-158.91676250103555,-149.90278057510415,-128.16770971432277,-138.50368033212726,-137.05132438597434
6,-164.58046109634952,-154.32475881125015,-143.9413658368193,-149.49079905317936,-138.3183698124697,-152.29352612659477,-149.90278057510415,-128.16770971432277,-138.50368033212726,-136.35618402871705
7,-159.53604664831707,-150.98563723913696,-141.59041151058915,-149.49079905317936,-138.04206309179835,-143.30048226295764,-149.90278057510415,-127.94229746359562,-135.72448953173642,-133.81222058566203
8,-157.1841030282078,-149.45663338775472,-132.4114230851543,-140.9856964111416,-130.1740129556242,-136.3832808424695,-136.03221007186974,-127.54358653303338,-131.37317458648602,-132.9596567064694
9,-154.9079693122427,-143.54014384322875,-128.74173241895465,-129.17422931060588,-125.33041887906815,-133.22944057004008,-131.83537074799426,-127.30057202407953,-115.07087595743512,-132.9596567064694
10,-133.69218742056418,-136.8106615771834,-127.20278057418255,-120.67101590904589,-114.22983936397024,-121.73836119273452,-131.83537074799426,-123.56921407436641,-106.91277148352916,-127.55571311585703
11,-116.90165027188331,-130.55437294752107,-122.24644609046621,-113.20495389970934,-106.43986837959352,-116.74568544620787,-127.4550789671509,-113.86609925693487,-92.12626779439638,-118.8220289542964
12,-104.49165318860146,-117.21595035725619,-112.82835055198461,-100.85195020083722,-102.97711793224279,-104.15644106487086,-125.04371937480241,-102.6618392126716,-87.30360826391095,-110.09718417719559
13,-101.86351886400779,-114.34933078903482,-110.14037112011658,-97.47226525953255,-98.06194240797942,-101.94179441840787,-119.71323115431278,-93.9599844880246,-87.30360826391095,-108.36698649923522
14,-101.68959929304305,-97.0277091929683,-105.38240167442606,-92.44510053137532,-92.0267992144443,-96.15696946743816,-114.64624691477331,-88.03281674296056,-81.10184763181127,-101.10624710704349
15,-98.3158248384494,-92.41229203863179,-100.13142328536941,-89.49328151764247,-91.23927158083822,-91.59377190678602,-114.64624691477331,-82.63243792902566,-79.29362812408576,-98.36726469609142
16,-96.95428066964107,-88.59142658327067,-97.78643461138654,-88.08791523310586,-89.39130846376126,-87.87040957394795,-105.22421213516392,-80.54917544486281,-79.29362812408576,-98.36726469609142
17,-96.06345657090613,-87.78954095666136,-94.10125076993113,-86.50986069333612,-86.87312295692129,-87.87040957394795,-94.61612426854107,-79.92530441771375,-79.02221677997599,-93.68869421999754
18,-95.01181231012066,-83.15528447714202,-87.69178918129927,-76.32471393163432,-86.87312295692129,-87.36182563442304,-93.79444654278382,-79.92530441771375,-78.4058346887075,-87.86664337578267
19,-83.5531215389495,-81.95922178801068,-84.82785907689015,-72.19703982476764,-83.7313589799003,-81.14653038080431,-91.62715664905684,-72.64463139102716,-75.32135649792485,-84.7314900310691
20,-81.59982189479133,-77.06788045043504,-77.44587886892336,-72.19703982476764,-80.23745354842832,-79.15899267544003,-90.77610845578135,-72.33475321392967,-68.76697945626087,-82.9715256775235
21,-80.21205842152906,-73.05819227169616,-77.12544296779726,-71.45770219708797,-75.45662045955693,-78.50940844151982,-85.92886822002016,-70.98669754668326,-68.76697945626087,-78.79631457018968
22,-80.21205842152906,-73.05819227169616,-69.93639388837244,-67.61167681631352,-74.64371803360072,-75.77826074590543,-81.87663824367843,-68.02155834469292,-68.76697945626087,-77.99027226995835
23,-73.03801609962295,-70.24951411975442,-69.01913441294188,-64.48393498824225,-72.43073048111162,-74.69677392881684,-78.59897107720451,-67.34767570014358,-66.82289445766126,-76.63469452693928
24,-72.32967433331925,-66.75473057848595,-68.82441105001487,-64.48393498824225,-68.36859463900527,-73.87714281916064,-77.23331014707344,-66.91851070421342,-64.8160685952912,-75.17698651972972
