iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-4358.081863461555,-4493.361881952121,-5382.552486604243,-4068.5152940658763,-4020.1554516393203,-4415.744419936982,-5134.87771431106,-4938.958818826471,-4320.224153197907,-4332.076724464792
1,-235.40321211628336,-270.25050433725096,-215.09324250151474,-267.4108092074381,-283.3497495335116,-279.1194681535773,-223.7431658598428,-274.3469498185135,-302.8065179999438,-299.8028357817986
2,-322.7122592173398,-425.92644647515453,-252.17673130062488,-277.2029855789664,-261.3816473199409,-301.86186382858057,-311.7165633998021,-253.9597418323741,-353.85279497213594,-300.5791855003279
3,-297.40421778235043,-396.76776151030236,-301.7141192712843,-319.3516990259206,-257.1185579080168,-323.9283997067978,-319.35427648632253,-251.8828929401786,-284.26856055152524,-246.51325807606145
4,-331.1746461158249,-484.40706758612316,-341.50908032108964,-358.32539181958526,-237.8722197191622,-303.07330506963143,-334.55727512396317,-341.30561264071844,-289.0823882154574,-314.4992932481349
5,-327.30787460384454,-347.76850633730885,-313.8506591926549,-304.5038861907517,-329.74554240285784,-361.46790739461835,-360.0263506771622,-295.2354054074463,-271.871649241179,-335.30182690985134
6,-318.7169139247306,-385.81698765888024,-426.32498356432063,-338.0103489173737,-321.66052890682465,-338.77782717077173,-383.15488694010236,-450.66128320739915,-334.22897040067335,-375.55661284775283
7,-395.98597051566844,-356.1388818677793,-425.68919566343646,-372.20485617061377,-312.46656999695665,-349.25925939313186,-424.58379675107614,-324.60508680440745,-258.06212008610703,-339.4579307357157
8,-341.2162344106823,-380.11428189997224,-342.3390964675933,-342.65820811053396,-313.19326199484976,-379.6288930653891,-343.47888323382506,-292.8751265401886,-368.31749037961833,-280.7451998335208
9,-298.72582569580084,-367.2614774353484,-400.41779280391756,-260.4738439777782,-273.3876099927759,-303.03585673411754,-321.8897448943552,-301.6565590074977,-215.78423095815756,-333.6851314661618
10,-214.00002444440227,-274.53746477845147,-281.5286801424454,-223.8918755182883,-247.65491372445712,-236.71056041744671,-332.06154249569386,-215.4740086826032,-256.8808711850817,-242.95492754043428
11,-284.4516653374338,-284.6721750216127,-321.3904780516506,-238.08646650219072,-253.60912762831643,-266.35061936942645,-217.14222410155108,-233.1741231565817,-187.50607409084915,-221.0672461134439
12,-242.83307331994723,-249.39458447735194,-231.73042917442706,-228.28393348401315,-271.863641110516,-230.5610633016526,-240.83508255463767,-235.249916645302,-233.4705585822064,-199.26740640590242
13,-231.69412629564272,-319.35258499597046,-251.72177129674782,-254.26456651634865,-221.00637959416315,-267.8783265516304,-236.08608385890585,-199.09425278872075,-224.63477642094304,-244.99676216489095
14,-234.89232426136553,-209.81184765498836,-320.07527655648215,-243.883198061206,-263.46923813153154,-250.23707315499283,-248.89739339584222,-234.0057313294739,-208.01256140283232,-212.62496385064125
15,-184.12559555101558,-240.43823010872262,-248.1973953216808,-195.97835888972452,-266.3672590862714,-176.56962459295295,-275.4540912959579,-223.91448462008762,-210.96761489773638,-216.39123239353597
16,-212.97286449650414,-257.71390853928807,-230.230438462481,-193.59379524751915,-193.67170409143023,-211.8129488344381,-222.46918912152984,-219.9758189265169,-247.0475748443914,-282.4538356656742
17,-187.78262161762063,-209.66366017533983,-233.40026539399156,-215.14396953284185,-241.5558717620537,-198.33641871479907,-298.04795471086425,-202.96807321581565,-196.02750842881184,-169.93768070795375
18,-210.40764404276803,-203.05381476862283,-217.0837269303629,-216.80209824729303,-213.74684132937554,-177.69789363361969,-159.02168063643435,-160.43213214818607,-204.48991156439712,-175.84566078325116
19,-131.7283880907874,-224.96325011980844,-224.20546260847038,-167.8574344508301,-186.132084951232,-222.41385564662542,-208.36578865827755,-124.853017397173,-169.10800117664866,-180.41657734635578
20,-155.75736463550118,-159.0541791169917,-163.26844028983086,-202.68879494403922,-178.312914992369,-193.55403807017478,-232.67691755671382,-236.95181986901383,-134.11858673128643,-166.2139084750444
21,-169.6468800530801,-180.02880075189063,-215.79697753557986,-182.08888782092245,-214.96136852530307,-263.7206479833633,-208.1021650801731,-185.1179076072525,-183.56322073870686,-159.73249402379432
22,-220.46782757425862,-189.84819764324965,-172.43078441530108,-162.56780528472478,-234.27147289567148,-178.80484890055342,-181.23867957272512,-236.57490580194792,-203.4324110574887,-205.78413832673525
23,-188.27549100991232,-214.291013267523,-229.36704648034035,-168.00379901026741,-151.02031300456576,-199.47193615773102,-315.3291644763823,-234.92088691699357,-162.1309191495987,-163.33189215872656
24,-213.84395249989493,-134.8290461451122,-250.40012104165885,-179.1622643844958,-219.4619836019229,-211.39572327689126,-264.478896294021,-240.11853565653342,-152.6315167641843,-174.4897208479444
25,-167.06997824485836,-133.93619730952915,-199.12380174877177,-203.2492418689065,-301.34871112487434,-202.27590407742176,-256.4344205093761,-191.84964318173337,-160.39797541951268,-186.36247548605982
26,-200.1482192521296,-258.67259138040754,-229.04325834880746,-180.32739526436762,-231.60267939790077,-191.86559625009275,-244.0131853174592,-268.80105891569303,-208.60128092203738,-252.50851196102627
27,-184.6247470212645,-179.21031104978667,-154.9658901758756,-197.45246622339022,-188.3719989877785,-194.54865457618197,-214.17884711908908,-214.84203211098014,-218.97072890544922,-227.2041936489112
28,-207.83130671452702,-177.76512214509097,-186.13941804635965,-186.23135773225323,-200.014798297445,-175.2338102150476,-212.1973064547077,-213.84633770143822,-212.1802750257766,-202.47631392810774
29,-190.75467287611895,-164.6566299591432,-219.3724947614173,-138.86607515915983,-191.69058959192282,-183.74503613433225,-182.3766457655632,-241.9726293795081,-203.6699407633777,-166.01569703846934
30,-121.34866631954702,-128.65856522290366,-198.57994239418161,-169.80160728388074,-189.2502715870125,-162.68305701008956,-152.91277873704536,-141.54148169484003,-148.73560737104344,-174.34215945257816
31,-186.68896628239804,-132.59300481012787,-170.942976458158,-169.62328933451374,-173.48118091901503,-179.78803520535263,-163.6446420152263,-142.09407239125662,-173.6025712571099,-188.17352473025545
32,-176.01509412908484,-205.84955759006914,-148.02516164566873,-117.70420492709366,-153.08349637249438,-119.79064313352967,-202.67918630656897,-191.95855399972453,-154.17653721757705,-204.53839257510714
33,-213.70596646966018,-129.79616571597802,-194.0652104256907,-121.41219558957269,-144.09672635068915,-154.57631636783785,-149.72290559406758,-236.32455710507264,-143.435912719586,-186.37402974087524
34,-111.17006017032539,-128.9121232968577,-131.58128260834565,-135.36243142201775,-157.14692909000254,-185.05696213278517,-209.73958538532392,-152.22423398161197,-116.03481717113367,-145.2535514366037
35,-117.80367085102809,-145.6644341803825,-147.08174670284325,-139.6449525852513,-110.65570658614149,-205.85415615833426,-164.95992802081122,-136.99349788043443,-105.03689537380593,-184.59997756041412
36,-139.75442844051548,-110.18414803142883,-161.6914079709432,-111.35453165399508,-139.51950669785526,-180.19785616287197,-154.97654608924324,-137.68447856308026,-159.11116525971062,-128.87492613431635
37,-168.47100344326924,-157.12233528209805,-175.9048563499798,-105.33435335341895,-135.77755033207734,-116.66744385888518,-104.92977404822695,-128.5220339706664,-138.91972813625875,-132.43667009696406
38,-118.30005122300163,-130.79735900477655,-123.06197300030598,-131.38241016973316,-132.77029220350775,-137.05116513147834,-143.62740369864792,-118.24705088365585,-136.8577328146844,-132.72656767351623
