iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-36.02241161821496,-37.04699470601137,-36.966553616261095,-38.09584631947256,-41.97567590207832,-38.72638578107857,-37.49652727070284,-35.27703867330047,-33.50104944337613,-36.93749475255389
1,-14.141455185128152,-17.28471750173702,-12.909728959501027,-12.847288182236504,-13.817347741226717,-14.654227429267632,-13.93112477899324,-12.583294941890191,-11.8301588343879,-15.41144270592514
2,-5.332140837515991,-7.894154408795764,-6.69088268632968,-6.425550059725552,-6.202867368509365,-6.104413939775182,-6.0398263113129325,-6.981013841629347,-5.977716252132433,-6.683815591627782
3,-4.400430696700164,-5.838091150096018,-5.360159569284283,-5.672436069518569,-5.225792344315511,-4.299827845761039,-4.470234613997164,-4.899027597937858,-4.71629669387246,-5.48147892185874
4,-4.2676766496297684,-5.287956349564139,-4.977026169675469,-5.0431053557867465,-4.332245791711595,-4.135128042507494,-4.171602318641465,-4.126029594802819,-3.733063563016316,-4.740786816457916
5,-3.2909631268516444,-4.843934945961438,-4.672345219488552,-4.01496266296434,-4.081583244038703,-3.8928915613919997,-4.057482341884078,-3.406391758681286,-2.985762901266578,-4.20065490565629
6,-3.2026689157290607,-4.599342450533432,-4.5973109946820365,-4.007504772703939,-3.7709879058189633,-3.612618927714742,-3.5772975755983643,-3.2904263378142913,-2.859131236976835,-4.1618210547672785
7,-3.0773930761393054,-3.9875983790523417,-4.029035688620849,-3.794213553565419,-3.127687814975534,-3.328919187437365,-3.0415810562338668,-3.010041801045249,-2.7092173369014,-3.380031828287189
8,-2.782518475682794,-3.607581698563611,-3.28861646059333,-3.2784928550258052,-3.07125341434979,-3.162106289132848,-2.883840985457407,-2.9788127015498285,-2.334327861464976,-2.7272727717177276
9,-2.0714983042752335,-3.0718144437833996,-2.7051404212379895,-2.714230654342278,-2.7540634745221446,-2.9143662025729076,-2.5346416272433627,-2.6909123422720533,-2.1364255267639187,-2.443360789893815
10,-1.9595207270886867,-2.7996500597868574,-2.5976358762678133,-2.1185793166106848,-2.615005152872547,-2.7333142469343708,-2.200064875144227,-2.4446787857537284,-1.904340575614386,-2.143939793410107
11,-1.8340153667546126,-2.4676660789492533,-2.1112805787084388,-1.7914336440878267,-2.3182408864854267,-2.631512777064505,-2.058936587808236,-2.147034941669267,-1.7927436958281893,-1.8694230381608976
12,-1.8171714719098184,-2.1933978655272828,-1.8882643288646437,-1.7064077999582947,-1.9338734670854953,-2.5682599619448867,-1.9470542703866291,-2.0494923056460554,-1.7688954361930593,-1.8549991350328394
13,-1.780555559827269,-2.069655359462449,-1.8454100654954066,-1.624931036671192,-1.869381862807641,-2.3008594525315784,-1.7421662496927,-2.005105391367203,-1.7188594322279256,-1.7560111882487583
14,-1.7225578729512339,-1.9666636392937997,-1.8221855951625758,-1.5794395368945382,-1.850172791996517,-2.136673411698323,-1.670135271411418,-1.8170649487041688,-1.6535725772818797,-1.7502294801510838
15,-1.5670246643849661,-1.88244084805552,-1.6695778789233544,-1.5753062180940791,-1.7751547963424792,-1.9717807750991403,-1.5059562237462636,-1.7465764679866533,-1.4344664383169183,-1.7062558189411625
16,-1.5670246643849661,-1.7405010823925973,-1.6506966427516367,-1.428365571120307,-1.7665491998752474,-1.8671353115826679,-1.4784290840726628,-1.7242995181498606,-1.3550780674155738,-1.6492352968558168
17,-1.5670246643849661,-1.5955448086070523,-1.6157031194499776,-1.4225320182359256,-1.7021718714792617,-1.8424035461243027,-1.4262728532448334,-1.6926844412430468,-1.3438863141976705,-1.6492352968558168
18,-1.5355969280061177,-1.5955448086070523,-1.5430865828236389,-1.353637820503933,-1.6057810453449388,-1.5864326351685407,-1.3595249699576657,-1.6862677146606355,-1.2576680375275053,-1.5790960245249055
19,-1.5355969280061177,-1.5955448086070523,-1.5101846791524016,-1.353637820503933,-1.542183862274589,-1.4467908961475646,-1.332630267538299,-1.614369427626075,-1.2576680375275053,-1.5412640665626867
20,-1.4360620430712177,-1.4538937892726795,-1.4847123862304124,-1.3053396136305286,-1.4949205640489232,-1.307854158074017,-1.3273664478440732,-1.5419752059743095,-1.152690524416331,-1.5347872541684713
21,-1.4026512986831285,-1.4538937892726795,-1.4737110874329746,-1.2515198265832241,-1.3620955877271492,-1.307854158074017,-1.2568363570939196,-1.4794161869901936,-1.1246417370424209,-1.5214500292376367
22,-1.3091728067592523,-1.4538937892726795,-1.337789043864428,-1.2403196253013349,-1.3620955877271492,-1.2216454509847217,-1.2568363570939196,-1.3744750714274316,-1.0295073943061226,-1.4506787328217468
23,-1.3091728067592523,-1.3201684939470044,-1.2592663741143233,-1.2403196253013349,-1.2894304128199785,-1.1697056404349708,-1.2568363570939196,-1.3580895581144907,-1.0161385711602993,-1.4260364325907682
24,-1.2924471256358339,-1.2539868295656922,-1.242407199184709,-1.2396126429419718,-1.2894304128199785,-1.1618516466839188,-1.2568363570939196,-1.192107835943117,-0.9891119934061122,-1.4037756720162624
25,-1.2599622302702425,-1.247277455680004,-1.242407199184709,-1.21509100292912,-1.2820740467306337,-1.1618516466839188,-1.2568363570939196,-1.1645167759873392,-0.9891119934061122,-1.3763731388775882
26,-1.1537168345383435,-1.1976779179527703,-1.2348110214022865,-1.180950583234896,-1.2564163797538617,-1.0471314699765522,-1.2231364283928556,-1.1437824597871011,-0.972580100166241,-1.3763731388775882
27,-1.1421542567539782,-1.1700087678404483,-1.1297395110347384,-1.121850630283007,-1.2316539885472433,-1.0310193676183705,-1.201268416237424,-1.119054499448556,-0.9335446447013901,-1.2580914183988767
28,-1.1311234634567158,-1.1274347810329353,-1.096614656846347,-1.1101120914308444,-1.2316539885472433,-1.0310193676183705,-1.1301559986381604,-1.0885397793572618,-0.9335446447013901,-1.221851805751443
29,-1.072450395634469,-1.107248689223855,-1.096614656846347,-1.1101120914308444,-1.2159453423784123,-1.0077233470052307,-1.128226678298938,-1.0885397793572618,-0.9335446447013901,-1.1342632707371496
