iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-84.44964703444558,-84.736076518506,-91.19585551202384,-89.1812395188781,-82.06363085799713,-83.7773391311031,-86.9815065550748,-85.50009276980806,-76.34527575867358,-84.54024713857024
1,-14.141455185128152,-17.28471750173702,-12.909728959501027,-12.847288182236504,-13.817347741226717,-14.654227429267632,-13.93112477899324,-12.583294941890191,-11.8301588343879,-15.41144270592514
2,-5.332140837515991,-8.041828563316875,-6.69088268632968,-6.425550059725552,-6.202867368509365,-6.104413939775182,-6.173633618726697,-6.999540270637065,-6.118090627037261,-6.683815591627782
3,-6.149638665502306,-6.56208857168813,-6.1574505664649095,-6.607388396264175,-6.0797345807708165,-5.053996520715833,-5.521441499884037,-6.184350314127421,-5.744214118671051,-6.026139388760521
4,-6.089798169954692,-7.416198745533097,-7.8552716235587,-7.832561233001513,-6.781130432118787,-6.219207898145271,-6.200524814571201,-4.8660684738630255,-5.817055832657978,-6.10038260584423
5,-5.058551672873227,-7.0515058464029385,-7.174364963191035,-6.083676215782885,-6.273536940461571,-5.777945831949567,-6.461715268145943,-5.3151432566322665,-4.693212894191355,-6.382064889683307
6,-5.752486690593406,-7.016253539547592,-7.552936220974381,-6.6059076980667735,-5.787170351257697,-5.79788622432995,-5.576032474662986,-5.282502554427802,-4.317492358453519,-6.592705151641368
7,-5.141402752257467,-5.299040454533733,-5.342260679402666,-5.115904170356089,-4.923972110798775,-5.978701192607509,-4.611445653662914,-4.255196336145364,-4.703815007374264,-4.928595418214939
8,-4.7702545064531705,-4.8922535294572915,-5.145299439904774,-4.166495172719002,-5.026258981404427,-4.803815001799289,-4.38955086362968,-4.707185479759884,-3.323036663285646,-3.866247054233904
9,-3.417580183732682,-4.422033559246961,-3.747959659531506,-4.112551209584495,-4.413733156335768,-4.752357846917569,-4.059503337782699,-4.241926135629471,-3.4510206939150248,-3.874286501164341
10,-3.551722630647712,-4.058237837936543,-4.490232181787347,-3.127930029067186,-3.8530071278558102,-4.2436098351874385,-3.5707524216279003,-4.4967300165309805,-3.8851117007607727,-3.0907422896569603
11,-3.8193169662182247,-3.4408403998241175,-3.4298547431365485,-2.9901553221743136,-3.612584763257506,-3.9434145988270246,-3.2850413872832602,-3.6939861059311614,-3.278780995095576,-2.859211670182945
12,-3.200621233537221,-3.8438578346164665,-3.218199283972888,-3.2463858327021144,-2.6531529815869144,-4.272255180965546,-3.286884394449981,-3.7024426397856436,-3.5286641075382263,-3.4623067092673447
13,-3.457430472282486,-3.4984629839382606,-3.48208033800895,-3.232308966150441,-3.324904953709376,-3.5564338642282647,-3.1836863195677765,-4.033421160115141,-3.3135978231752867,-3.2779802890071874
14,-3.202136748507666,-3.4777166657876215,-3.3094746340568397,-3.111419661610006,-3.131946956241169,-3.774943913344368,-3.142134636008248,-2.9526477180532775,-3.640314261545778,-3.3203557868409055
15,-3.31358427179541,-3.4151808961760075,-3.268073519208568,-3.6200129169160045,-2.8307977695223645,-3.1221716012582377,-2.3907436102300816,-2.6784251846126814,-2.675629247443154,-2.7255947747177935
16,-3.103564548024574,-2.8540563921444284,-3.124423580629051,-2.1960887409317227,-3.0597628033471587,-3.4144666447046292,-3.5995678686782546,-3.118692777220936,-2.477626756624314,-3.1995912879516304
17,-3.2412956023400215,-2.8015779215264685,-3.10460169387338,-2.5781309559173318,-2.824070077959044,-3.231023246395077,-2.5869144332967204,-3.1230194038319468,-3.1336850392528315,-3.368272830171252
18,-2.9269286597637043,-3.112098353315021,-2.8024821528877992,-2.6291828563277795,-2.7104895346412077,-2.716676942842901,-3.006065384941706,-2.880244556056069,-2.526139717830504,-2.779490582850248
19,-3.3956793381181685,-3.0325042293394446,-2.7861853546994175,-2.668512469834292,-3.1161730929547766,-3.1033391054594013,-2.8735401767081035,-3.240146684730284,-2.8764261813266554,-2.8887230934445736
20,-2.7100020426690357,-2.849643903201693,-2.6342841337401586,-2.515563658354225,-2.7836351504318513,-2.5595782793420243,-2.4238431744407194,-2.801704256996131,-2.09896752411824,-2.647260699257116
21,-2.668859142516113,-2.8332838746150357,-2.6075643162483924,-2.6813773510341816,-2.0960879909778094,-2.931027632911319,-2.910823188853241,-2.415913071332416,-2.616391287135671,-3.126994929398955
22,-2.600009457231579,-3.033235001819879,-2.658412191164863,-2.7702711268037747,-3.4223804592649736,-2.326933000531572,-2.719171733842714,-2.518318404709259,-2.243135441548863,-2.5502354738383115
23,-2.636718107916085,-2.444502283941014,-2.6618920927682685,-2.8223455028325146,-2.0655559506991006,-2.678716404096227,-2.6521044060934287,-2.6361927726335357,-2.493519536540873,-2.6817079866267974
24,-2.600606511372633,-2.9273346940214653,-2.7788078496952062,-3.2380074451168244,-2.599197865760556,-2.947237793800917,-2.5043256998710914,-2.054494134595422,-2.5349259580957693,-2.484849706367565
