iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-36.02241161821496,-37.04699470601137,-36.966553616261095,-38.09584631947256,-41.97567590207832,-38.72638578107857,-37.49652727070284,-35.27703867330047,-33.50104944337613,-36.93749475255389
1,-35.51522002307906,-37.04699470601137,-36.150538663051215,-36.62202362021471,-41.97567590207832,-38.6745935319873,-37.33940905959092,-34.37361752246882,-33.275548444250745,-36.93749475255389
2,-35.081622885427976,-37.04699470601137,-35.87106714104927,-35.562161503830566,-40.79594325788298,-37.03573308345943,-34.56654318939748,-33.74640687075379,-33.275548444250745,-35.590169496534635
3,-32.390406671043564,-35.80726745063616,-35.87106714104927,-34.68325996165469,-40.022446762219744,-36.422626703014004,-32.16146309217787,-33.52203173515244,-33.275548444250745,-35.092532452853604
4,-32.27749592923486,-35.459766330961244,-34.042334805494065,-34.57444082527971,-38.586497827330874,-35.700952713958834,-32.06175459329535,-33.52203173515244,-33.275548444250745,-34.63759953334808
5,-32.27749592923486,-35.01082619490016,-34.01383537013368,-34.57444082527971,-38.586497827330874,-35.43375775820867,-30.590223391537045,-33.52203173515244,-32.87716507732173,-33.23551319597739
6,-28.88268352143281,-35.00287029673219,-34.01383537013368,-33.50119830953072,-38.586497827330874,-35.30932268854987,-30.590223391537045,-32.947063776820684,-31.47786066433417,-32.28658558609497
7,-28.88268352143281,-34.04869949420345,-32.39489105448266,-33.50119830953072,-37.14714444952131,-35.083039240789034,-29.775094401994103,-31.946662560458996,-31.323862294209274,-32.13539131926113
8,-28.565331667921598,-32.38671780935589,-31.934602119832363,-33.50119830953072,-36.990443972774635,-34.10787667416973,-28.672150202299246,-29.96738800623099,-30.104159549149173,-31.65873823159467
9,-27.758366493754714,-32.38671780935589,-31.326171714772176,-33.50119830953072,-32.42401540182868,-34.02301099066746,-27.822129914871333,-29.36942621582609,-29.186437789071636,-28.946654135589473
10,-25.278487515734668,-32.38671780935589,-30.52262341680072,-33.03616739971761,-30.68425237879907,-32.69376529558324,-27.822129914871333,-29.36942621582609,-29.186437789071636,-28.946654135589473
11,-23.820534300522304,-30.547932955469275,-28.039743359091617,-31.594531641473164,-30.519504348755884,-32.69376529558324,-27.822129914871333,-29.36942621582609,-28.45391719215779,-28.946654135589473
12,-23.820534300522304,-30.50896671369717,-27.819991282889596,-30.341345941368214,-28.700893981823086,-30.31252226642477,-27.24553906752412,-28.4287157421124,-26.91333039112243,-28.946654135589473
