iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-84.44964703444558,-84.736076518506,-91.19585551202384,-89.1812395188781,-82.06363085799713,-83.7773391311031,-86.9815065550748,-85.50009276980806,-76.34527575867358,-84.54024713857024
1,-84.06493385271753,-76.12635767436605,-75.1934615416952,-76.48294721911113,-76.27905676171633,-79.25759200070324,-77.49843413496563,-75.67765229174074,-76.7386991318161,-72.34206534723741
2,-65.36956607149841,-79.25356953474335,-71.46398615034916,-72.2533458705493,-76.88123938232641,-67.47737669383078,-58.924460187111634,-69.61019146025754,-61.191439455970084,-72.56462763384599
3,-62.02652291152748,-76.72173030287637,-75.99664764411884,-69.51466009380822,-70.3251105966522,-78.24260580852305,-63.278040134797145,-65.64050343168626,-75.24173781212667,-73.99003111131063
4,-70.66801947324123,-65.29005712545982,-73.3587033974559,-72.4784713987676,-71.80571870229633,-72.7213553689204,-69.72582690119371,-74.87077270828144,-75.82913143080943,-73.15801179509333
5,-68.06860507661517,-71.15313070493896,-82.65917508183546,-75.48602974396425,-68.23433094873855,-68.33607220237494,-64.7951720392468,-78.90871905127506,-77.08074944164002,-69.4418425351481
6,-51.829468061210186,-63.10209006784173,-60.731802826238805,-67.80255079144364,-72.46405608056537,-68.82570657608326,-74.69270706724433,-64.72105406560833,-64.58094938999412,-65.3116445343394
7,-75.71637553354898,-67.9031732433614,-60.7601197576168,-72.0509557471915,-66.90896947706977,-71.63215013781297,-63.89551154174745,-68.76363627304116,-61.11314567660396,-70.75814710242473
8,-71.36683062656292,-55.06005673048855,-75.95544945836929,-62.10566696682614,-70.93830474477483,-72.24812390263172,-57.104522985352936,-62.48299030124237,-63.20830449755263,-61.641557743676216
9,-52.23404726779279,-66.77675137620699,-75.60297910028495,-79.75920339012367,-53.89121819722118,-68.54055677132405,-71.26309288563755,-63.46701158197958,-54.240200523635416,-60.50060128620237
10,-53.029711409472675,-70.12993425541674,-63.98958707875788,-63.5893321704573,-57.77951753628176,-67.62301933965446,-66.60844628410207,-71.29834794702262,-67.51093859749861,-66.38950482273216
11,-42.37847857402291,-63.31001073336898,-59.14406780474266,-58.71092251896576,-67.08027082549165,-64.08145537802831,-70.97967311516445,-63.15869069138776,-66.90756969091768,-62.41378977481676
12,-63.87925084367099,-61.05687100520681,-55.09866271789754,-57.83887357835208,-57.546554636802824,-73.07288663659101,-67.5887305461459,-59.581901724232615,-59.56299011040103,-77.14759310140911
13,-68.70369256067363,-54.78047677787228,-63.50088942928038,-65.57110094980291,-57.69212913019017,-65.21338264866748,-59.02957380657825,-58.19085583624499,-60.21724036593473,-60.76630692130601
14,-68.30238980000756,-80.2110950596811,-62.49578990296723,-75.08386176979438,-63.64676092015194,-47.796725952509696,-59.67076486852069,-68.03833301054794,-50.599452119715224,-69.20813101713141
15,-55.38743914920401,-57.6743234823858,-59.646203906538204,-57.09892089156945,-55.698632858150305,-43.09077358404757,-58.56369250767119,-64.84887220735936,-51.907918080446656,-66.71732111642976
16,-54.98350344487031,-53.878662287403515,-54.46941640041153,-47.90216737057447,-71.33879235719893,-61.465015325660204,-55.254625965398,-51.64804396444671,-49.88841791118668,-53.13870872332559
17,-59.01961824132512,-67.06287337008968,-55.05246142714428,-54.61750252688258,-51.958044762336264,-55.28215733380907,-57.489349723369614,-60.82688619497043,-62.45037697812684,-60.432210934633886
18,-44.1893785310324,-55.1848203335004,-55.21466943535187,-50.40412909778699,-65.16665875212236,-59.03461602621506,-43.006624629490815,-50.14221948767707,-44.98517746839101,-65.5512232464701
19,-45.421472799551594,-53.95417304866381,-47.473026833083466,-48.27436266590628,-48.70904067033537,-53.12999802728629,-58.32687575193074,-54.06968817507526,-45.28195514502292,-43.916786056946194
20,-51.38126714713596,-57.297692738988715,-55.94211047663546,-43.48709492837391,-61.120726559634164,-49.71776514288172,-53.158336113692094,-59.496425689988634,-55.30507250920519,-49.29076185063295
21,-59.17273414304888,-50.660248822974665,-46.23738328647996,-49.96116802482322,-51.49593879278893,-48.8775903662015,-42.69160589263032,-42.666017785754136,-49.854907379195545,-54.668764337554016
22,-41.40531598889211,-59.29873921520971,-54.17591237322138,-51.48272372432444,-41.29834280303301,-48.72858041824941,-43.52374658370355,-61.3362037670404,-42.744067054602716,-36.52243911053262
23,-50.92897824782977,-51.87008097464391,-48.22912035456399,-46.89118781416079,-40.558647954662085,-39.57884665095502,-42.309111755980766,-47.51472589609093,-45.238151746824386,-49.36322276793617
24,-49.58725625242313,-51.420094760939435,-34.6240383638765,-47.64301588375011,-49.48776198927426,-40.86566129474061,-50.21966234615718,-49.55225333379763,-51.47823839801161,-51.17658433419584
25,-43.010466608057385,-37.54333896470775,-49.439195112780695,-43.02241628493531,-45.27268883267216,-51.48632161176758,-46.95597693258796,-40.06485942364179,-45.65826634817077,-45.412609872121045
26,-42.43172154694462,-43.573612010814486,-42.438802684290025,-47.148193211218114,-37.17609321583715,-47.01640294676261,-43.03969637462974,-44.792485797121984,-39.52379301755768,-48.53444627548421
27,-33.686505794139904,-40.33002802457527,-35.557969614386984,-40.72108483009362,-40.514085815653985,-45.61583583758345,-46.059883400772776,-46.08249203898409,-35.78033638569799,-47.72381606809317
28,-34.208142571096,-39.45034757492666,-51.91422711741938,-35.479534074853134,-46.04504794840206,-40.298897044292346,-36.26489258488686,-42.324821244377546,-49.08576029145332,-47.39874236220268
