iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-84.44964703444558,-84.736076518506,-91.19585551202384,-89.1812395188781,-82.06363085799713,-83.7773391311031,-86.9815065550748,-85.50009276980806,-76.34527575867358,-84.54024713857024
1,-8.877879372842244,-10.09991606070184,-8.69782340842562,-8.438676600333707,-8.71523419315066,-8.790062417052061,-8.917605096495585,-7.759182822468524,-7.944487552116078,-8.728220849288494
2,-6.638925363182032,-7.705775800113917,-6.993251631201375,-7.742340881928733,-5.671273520438496,-6.3666675315962,-6.782068029763375,-7.2470445749999435,-7.912612330202161,-5.653327550331799
3,-7.87426681981267,-10.828137447456687,-9.20381991052227,-10.662388790521103,-9.142067043682502,-9.880352347275501,-10.167143423641637,-9.650008539007912,-8.071838565307441,-7.952076135134634
4,-8.110010533455045,-8.629008187971007,-9.181589402949015,-9.850495361968068,-9.883901954170714,-9.614353435347704,-9.962072931102036,-10.062114256556333,-8.464538635483942,-8.351282931054781
5,-9.046550512790873,-8.505515629769706,-8.772195463710158,-7.048236465792412,-9.62512696367543,-8.06421557868945,-7.273993690897955,-8.834619889246843,-6.975163829324581,-7.401534529053538
6,-8.009289975818136,-8.404601761612971,-8.959004448188544,-8.202947784745714,-7.677605492741715,-7.267597338832928,-9.12340517307862,-7.347985532317562,-7.311872277123575,-5.954290884731471
7,-6.503296750580718,-5.829685734911332,-6.59322912472388,-4.8671581692304136,-6.612648148256264,-7.21924306454213,-5.255172512244135,-6.080699704021276,-5.820582589230206,-6.245088191881631
8,-5.862335290860111,-6.062404381751336,-6.457491712972381,-4.375738064739782,-4.866398002709494,-6.165226552482036,-5.273104703180076,-6.370046944368522,-6.076139523466245,-4.754227977681354
9,-4.060377084268906,-4.625737330953907,-5.132755313007687,-5.165491811953592,-5.924158262371766,-5.069554510568785,-5.1446058560139685,-5.059805644701421,-4.717411478812194,-3.526355265021256
10,-3.3847659224577558,-4.003538891578525,-4.526610179715088,-3.7212732742777677,-3.702244957178881,-3.981564214084581,-3.822053843657063,-4.02204909788618,-4.178565596736275,-3.8685069192907857
11,-3.8495842379419094,-3.7825905148589842,-3.2839401862062383,-3.2315872943374204,-3.049375303859784,-3.8089018818228713,-3.309611112015899,-3.2182497978550213,-3.453722288095234,-3.5172515621385387
12,-2.0205605079710995,-2.0538649316156405,-1.6708419783426574,-2.413357814026938,-1.6610797309275807,-1.8399235211045373,-2.0484764341234882,-2.4748375007334253,-2.422681293269407,-2.63346683530158
13,-2.9148615080038947,-2.7330924315893084,-2.5854027172645697,-2.4753369558390523,-2.703172668138903,-2.8069507222281933,-2.7334352972853244,-2.7088318912236824,-2.492238228346954,-1.9145248280855656
14,-3.298833779798483,-2.6253552512170533,-2.2567212405527886,-2.715592526858263,-2.497142908302181,-2.6490753002811482,-3.233777936284425,-2.699769621640226,-2.4952516686127675,-2.5468701551559136
15,-2.3303428204545455,-2.6628301041542386,-2.669574618073889,-2.626422639720494,-2.276789228619089,-2.6348613023205725,-2.846166053444148,-2.422008528077331,-2.776180793036879,-2.6717265839663202
16,-2.534047417475593,-2.864519744371757,-2.4840827201655227,-2.3973591742186864,-2.405118172243064,-2.722142334675528,-2.529809191274679,-2.479780647458853,-2.607032686973934,-2.540175696984268
17,-2.668202249819413,-2.634600164932934,-2.469944039769233,-2.397420573656385,-2.2272250179900306,-2.3414036875955295,-2.3934175356959324,-2.28691281025877,-2.4344312488475834,-2.3917864096217203
18,-2.2682745964848934,-2.293458421947654,-2.3184215267127013,-2.3164480750663143,-2.0851862842004465,-2.317595423074484,-2.4875692367039273,-2.422891158673684,-2.1987575220549114,-2.267080388160651
19,-2.4331632083836814,-2.3306951966098266,-2.121964173916207,-2.0873200667905443,-1.9699993701870206,-2.112971629850195,-1.966417183872896,-2.262878068527782,-1.9742503986614732,-2.1017618099156086
20,-2.078475773404726,-2.183071889388328,-1.9006988207474933,-2.097519361757002,-2.136201479727387,-2.0038500949005686,-2.1884168288152095,-1.9700248065611063,-2.09327426474277,-1.9038020074202924
21,-2.344086952718411,-2.2660061207784263,-1.8216675420308919,-1.8281151233901392,-1.938968416297441,-2.0481084511118333,-2.01060471747591,-2.179845388919989,-2.1652228913093365,-2.0467115795757147
22,-2.0617357991215712,-2.0877365205730487,-1.7906340830636842,-2.0065805011735245,-1.6854642015152095,-1.9824342965876416,-2.110224115219018,-1.9330647880099447,-2.034043537400324,-2.0352693415585086
23,-1.8823143063741077,-1.9527528845273192,-1.6828655359485092,-1.6892979489344098,-1.6276592180164913,-1.882323907981439,-1.9039327301162692,-1.6333653788618931,-1.6571793823798175,-1.5421509426043658
24,-1.8214946122855977,-2.0628508780667705,-1.6408458599173832,-1.6964340503578599,-1.52048937477716,-1.741618283030431,-1.9178210275655294,-1.7595767881445261,-1.722934028476041,-1.6130046474545432
25,-1.636250815571149,-1.7389034739697475,-1.6834345687924048,-1.4000293699787623,-1.525484531555556,-1.6704409843281216,-1.6805396125256122,-1.6526157617929647,-1.5964607161817237,-1.535880312246883
26,-1.5272811218704452,-1.6598462689722826,-1.6572858926308291,-1.6452465094635769,-1.5496078928037726,-1.652786426156152,-1.8371713588255436,-1.689132963085045,-1.6139735160414674,-1.4779731658135695
27,-1.7071335019683516,-1.7387222386606278,-1.5577885206627877,-1.305995788223576,-1.6020172415542802,-1.6973623157283104,-1.7320913362492032,-1.7621311832837523,-1.6930807155769336,-1.4920003051236563
28,-1.7839041332982013,-1.8630486561168909,-1.4594109319883577,-1.5824684843350658,-1.6333030767004555,-1.6253251107907742,-1.8330314756676052,-1.7143250053385795,-1.6767745901846136,-1.5989392007167083
29,-1.8134733732044208,-1.7330703762844415,-1.6078240464513593,-1.6397600874198732,-1.5652431750127023,-1.7335390983841925,-1.6339776506620893,-1.674147159640135,-1.582106961520356,-1.4835811793283702
30,-1.8431767073367233,-1.7158873741603444,-1.6189566049135635,-1.6598427904514779,-1.7431978704233546,-1.8305622040015321,-1.8689466007407882,-1.7769429692559888,-1.6987979718562771,-1.4965989455656041
31,-1.8146104117834456,-1.8643789424704507,-1.5139240911228962,-1.6266396053873018,-1.5381557654030633,-1.7789985050008794,-1.726355564346764,-1.8941496717384287,-1.8515039520111882,-1.5522739712850238
32,-1.8058632206964709,-1.832295224430868,-1.6171340025034544,-1.5341118221378771,-1.5736213813870596,-1.7152942757878606,-1.6601103908805483,-1.526289878120291,-1.7604875849759505,-1.724738572188504
33,-1.7608770386708206,-1.6727628017036302,-1.5810597315740702,-1.5024566603210274,-1.660672357608536,-1.8674163481096726,-1.6400649194848238,-1.7569090730183228,-1.766183897724976,-1.4216866843411677
34,-1.9057562091513738,-1.8126303148977532,-1.6656219353649069,-1.6847455861019411,-1.593715978629114,-1.6920823241574827,-1.7309916064161284,-1.7424685415654655,-1.8102704370642846,-1.5542386683318246
35,-1.8117246295949176,-1.7805877998839255,-1.5955406739218116,-1.5168849025417575,-1.5513677554689005,-1.70226748010157,-1.677241731997349,-1.6971839381481622,-1.6683437633455913,-1.5115311260372204
