iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-36.391524694852606,-36.9944913393746,-36.898820611625624,-37.76664957155306,-41.33700146428984,-38.59801642729637,-37.159267227933285,-35.84551670283207,-33.48122924518474,-37.697873797321265
1,-14.0522248370373,-17.6557077212235,-12.957030191372533,-15.276111308186323,-15.552131201557833,-16.648627440589763,-15.445479518659472,-13.89572689696046,-15.038081606337446,-15.61326721611166
2,-8.26953471629162,-10.532317781967308,-7.043848473419889,-9.14576771856455,-8.001801133924806,-9.30059345582122,-8.77210436356287,-8.179476362995135,-9.095853806414254,-8.890881201187824
3,-7.062752154855877,-7.745451403827765,-6.0918221778405295,-7.340641030905434,-5.617036284638173,-7.440957150588865,-7.223381960298269,-6.611494352002724,-6.95600084088368,-6.533562215495935
4,-6.584799449400928,-6.86047777130799,-5.587988807670385,-6.549765819286818,-5.235541435279859,-6.147749457237499,-6.694357802735648,-6.373241668981594,-5.769387254034932,-5.200408197139359
5,-6.147855087953861,-6.343893382220023,-4.828549559565828,-6.125515622981975,-4.888747440339688,-5.950181621847472,-5.919771165789221,-5.860112787635359,-4.893985054580774,-4.90240630645441
6,-5.84728473682688,-5.77211164318722,-4.063444759475912,-5.827347502727957,-4.724970527321486,-5.130947421388422,-5.210508203872987,-5.662825447538578,-4.428238658570555,-4.408373214039594
7,-5.256302673211329,-5.228376866438074,-3.27222453530491,-4.772979677368272,-4.044374345143749,-4.854524618551869,-4.903647383379294,-5.2599835062334765,-3.9315646826874593,-4.009315437606809
8,-5.059258702428763,-4.570151771229703,-3.016097706156179,-4.663661061398077,-3.5894473640606352,-4.270545684464247,-4.1405731601408355,-4.794494170176032,-3.271918399597198,-3.4870029856676013
9,-3.7252146037848113,-3.890348777826537,-2.7522125164796556,-3.9315469493171338,-3.1996258312162884,-3.7336730121669692,-3.448978963526264,-3.8875508445590947,-2.881519257567322,-3.0016723614373317
10,-3.154480704808667,-3.5961069367653513,-2.387721703602471,-3.416774697208002,-2.8346499977293673,-3.21174408015962,-3.118160679821467,-3.393823608449803,-2.5188815151923016,-2.5958825253466182
11,-3.0165514889556944,-3.229668889767234,-2.0863280270343543,-2.9271172496326514,-2.348807223229427,-2.91342568362331,-3.0509998843322785,-2.869731010634319,-2.363567460107566,-2.2098522550822777
12,-2.4541987548665136,-2.9212081641595864,-1.7217379692981314,-2.35896596058703,-2.0933012101908295,-2.083883210599084,-2.5227564478922773,-2.405212950331144,-1.8546025666024217,-1.8515348846914033
13,-2.188834891373572,-2.4181301436016436,-1.5917623438909427,-2.1655640972717825,-1.6515301131984432,-1.9559799636044681,-2.3033550446218403,-1.9050940881338443,-1.7513455153302262,-1.6082527213680256
14,-1.8765412365093472,-2.18991360417154,-1.4101609229265908,-1.945998511004556,-1.5727509116533815,-1.8323861193684676,-2.201241922414996,-1.6828465378115174,-1.696658951111517,-1.4882835197037905
15,-1.7847163859679807,-2.1014834974665106,-1.3382195511626587,-1.7510064248450665,-1.5161220337745656,-1.7147176561446158,-2.0088339310373526,-1.596628667101651,-1.560386319599457,-1.3597699697891863
16,-1.6444093607455468,-2.0120675565562145,-1.2784287335889004,-1.5609554960442318,-1.3453183216368247,-1.629658231009737,-1.8981293248629059,-1.5100482307086653,-1.456764621634596,-1.294043475604757
17,-1.6135397541296004,-1.9160417428879009,-1.253587791443786,-1.4361579066741816,-1.3052558199541664,-1.5841930029813305,-1.8688216726182567,-1.5010147653957584,-1.4288573617787632,-1.2633065945762672
