iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-35.03270220685532,-43.13130960751658,-34.560735123954885,-39.49104638536831,-41.15770222051325,-38.19645608917668,-41.7194373559379,-40.75598241391365,-38.019385696731284,-37.82385223336679
1,-33.781356943000105,-42.147285556414076,-33.285068909939895,-39.065394694641796,-40.34901001515942,-38.19645608917668,-41.7194373559379,-40.75598241391365,-37.93601585837891,-36.34485976057235
2,-33.781356943000105,-42.147285556414076,-33.285068909939895,-38.957992076042814,-40.34901001515942,-38.19645608917668,-40.944317387635905,-40.05992134426252,-37.93601585837891,-36.34485976057235
3,-33.781356943000105,-42.147285556414076,-31.472550348734963,-38.957992076042814,-39.66747475045036,-38.19645608917668,-39.720282999597146,-40.05992134426252,-37.93601585837891,-36.34485976057235
4,-33.45941621341242,-41.810028723655044,-31.472550348734963,-38.957992076042814,-39.605702529584335,-36.90907728108689,-39.720282999597146,-39.67509365932405,-37.93601585837891,-36.34485976057235
5,-33.23712202946574,-41.30954889398029,-31.472550348734963,-37.00440502261974,-39.18000092363925,-34.82324448953966,-39.720282999597146,-39.67509365932405,-36.947530646271005,-36.34485976057235
6,-33.23712202946574,-40.35231665478994,-31.472550348734963,-37.00440502261974,-39.18000092363925,-34.43830322118188,-38.22189395662038,-39.45681085692276,-36.375460526308245,-36.34485976057235
7,-32.89576154189797,-38.536507591689876,-31.15605013057584,-37.00440502261974,-39.18000092363925,-34.32384877362359,-38.22189395662038,-39.15153495570725,-36.230411550365034,-35.23406707854526
8,-32.89576154189797,-38.3841187145465,-31.006972585215482,-37.00440502261974,-39.18000092363925,-34.32384877362359,-34.72082219979161,-37.94540047963274,-36.230411550365034,-34.52049848549703
9,-32.89576154189797,-37.48174945631955,-30.234835953719177,-36.93941648127708,-36.48802097221926,-32.4844277253488,-34.6508733837094,-36.88812213331147,-36.20288875286251,-34.52049848549703
10,-31.67770131943386,-36.05670278435719,-28.61400364993958,-36.57440888702348,-35.74746796987955,-32.4844277253488,-34.649731065668945,-36.88812213331147,-34.36216096570831,-34.52049848549703
11,-30.949451308388248,-35.741933018469226,-28.61400364993958,-36.02114427552226,-35.47757567048789,-32.4844277253488,-33.55506181852409,-34.78338540242849,-32.4872375735459,-33.727107655942035
12,-30.949451308388248,-35.50607431997671,-27.89809846525324,-35.60287391974562,-33.91146331249652,-31.762483866311392,-33.20736344052268,-33.15065450659835,-32.4872375735459,-31.36445016979465
13,-29.090415490276737,-35.50607431997671,-27.16474272465829,-34.96737378719221,-32.78976429566666,-31.285131652799443,-33.20736344052268,-30.20284706700279,-32.02406928773656,-31.25894155229357
14,-27.862868568529148,-33.70978768766813,-26.10134456625568,-34.96737378719221,-31.041659711985538,-30.767261906980366,-31.580676654068725,-27.42201320212139,-31.142413683933643,-29.289704094638743
