iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-76.79954578461754,-102.4725962681301,-72.19637566978734,-88.90735763939415,-88.73086281414875,-81.6733106768736,-84.03191511414252,-92.99974563612345,-77.73822690238947,-86.59499340973034
1,-74.52848627439508,-89.05589913414636,-106.44477786514616,-109.27919195019109,-121.14916634303589,-123.59091721839303,-112.27688562264014,-110.82831304133265,-101.10237631151031,-111.85025793853434
2,-108.52578082635708,-135.3102895661238,-136.8585885771661,-121.7795061116152,-142.7968295357824,-137.17420919355538,-117.8798254025648,-115.15764592937178,-134.98028462333934,-139.85010565443605
3,-132.314199412108,-113.7910803422848,-129.65994689623182,-116.20028685477519,-124.22955494983603,-136.59783292669692,-109.72922871851719,-95.82692162474706,-107.26779495248107,-97.8259020552774
4,-101.03343375442691,-127.1513177299677,-111.6659407860773,-106.84981459067548,-91.59190226820124,-102.16816846266995,-114.75738731638283,-122.08849318705357,-109.35941200156817,-103.55669736060125
5,-98.43304934057502,-90.99137298046259,-120.22368312152906,-90.36329756783013,-100.18107827485056,-98.27802860880307,-101.87516614339438,-95.54062047460727,-110.74805926978685,-121.57906601109165
6,-91.15645954833398,-113.06918556486355,-97.1549518760061,-75.1362662561148,-134.76724188000617,-97.17536005914516,-97.15034004291638,-115.44037535219239,-108.97243698113877,-118.30883575783898
7,-103.50682386035983,-104.54483070862409,-75.97762818907711,-103.00524623285162,-111.92669330121544,-117.81133062642395,-131.3748934239719,-85.34551459654793,-114.02334995770724,-85.791789769908
8,-86.0094923476549,-91.66806805848206,-88.45636794990045,-117.89692341579847,-102.26799741275764,-127.98134923811527,-81.54363201102566,-83.67876823968024,-78.85489720740857,-77.43129664139576
9,-82.6395218621197,-111.71654178064927,-100.29287211327596,-107.10764851075044,-85.71472894008988,-77.29201663479003,-79.46608219785419,-84.3855517637056,-104.96559850354903,-110.65252427433941
10,-116.937500768436,-77.40562341801973,-70.88302520207887,-106.53555094202594,-100.53601333484946,-81.87611290598281,-119.92101988653314,-106.83331015743425,-99.96432897715542,-83.58490258679078
11,-103.90103500839575,-81.048450409492,-99.63478961154911,-108.34558889770226,-100.50939037690702,-89.83001411739937,-72.38818412128248,-85.92928071561563,-75.06061920319844,-105.8787426738481
12,-79.26481401592466,-88.37131399326292,-89.57781062377629,-88.21351745048428,-86.46259436823476,-101.79161447604992,-99.00783537776123,-94.22417291800457,-82.94301600909058,-76.6692110701153
13,-88.68912534590083,-118.63495333237525,-72.36112120892837,-87.58071862268356,-92.92668208795351,-88.34589090006897,-78.4570924832064,-76.58042282733902,-79.53248432565307,-82.25311603252368
14,-67.26252459830827,-84.49072610665496,-78.03712899122026,-109.33740676226299,-96.13019948652965,-78.72275669894421,-83.10935781718854,-60.933105162557325,-80.14659139607102,-70.56696809095669
15,-99.30574120325814,-79.7450971603829,-78.4399462092662,-96.40678832843727,-102.88553201157055,-69.7531795670299,-105.93549324359053,-87.15057078579281,-83.736443715469,-61.787240752832716
16,-98.47968766790856,-86.02387354364566,-72.78283316842078,-77.92769788998532,-103.65922372480799,-57.353506477886796,-79.41497900339617,-73.50088162942039,-64.20040977080389,-83.99407292382807
17,-81.5072911315807,-70.85545871699495,-81.90604896404898,-91.95652716590322,-81.18022677159834,-72.23346365175892,-50.33652115476659,-81.79402517326014,-72.85451768991432,-57.28646629525089
18,-76.63006862684458,-82.1204040165083,-82.09006644984518,-76.9366072660651,-86.32489348851593,-76.64383489918373,-93.65330763891691,-77.8569751389264,-63.604885879552896,-76.70256584765147
19,-70.34527534609403,-72.84868424768398,-59.727009927856884,-67.50152336178564,-90.02719675487276,-74.76703004736008,-78.03887910483883,-79.33502933447184,-73.66494380675098,-81.06473732354326
20,-48.59609776382703,-61.470249185499796,-78.07967107185283,-64.16028922363719,-110.57099994864313,-105.53027415580138,-68.8043561472524,-84.24275349074152,-56.28463556416757,-79.91328796261944
21,-65.0666071464602,-64.91713002430684,-70.00201408889012,-87.66301894329581,-63.825574457766415,-50.640316456458905,-95.29783876736953,-65.12077259402163,-75.80487752282306,-73.26988696862688
22,-84.83019458944867,-80.66849026145718,-73.24945421420789,-75.19784643042888,-71.76767687830547,-60.07929054110585,-94.14561756004929,-73.17466980594021,-61.95183462058304,-63.78227549141482
23,-67.69732829759047,-67.7976521509697,-76.26199202107779,-71.77017864688617,-63.50755620827081,-66.59564349385208,-78.44180611175503,-66.86411822776309,-41.5192014720526,-79.43229194656797
24,-60.97020161087409,-67.14748113422542,-81.17130232055447,-64.079279505178,-55.47068169398463,-59.90490677608217,-62.65054077019603,-44.24947576472043,-34.542668609696165,-45.97417916644697
25,-53.62163735373469,-90.95338557191036,-65.08937981969106,-49.491171587934645,-68.62561936573445,-36.649186559256265,-63.78173075083595,-46.00783343987485,-37.01776873589464,-74.2961267535735
26,-49.703063652146874,-62.81987579068532,-83.4257416302456,-72.60492830459421,-49.063004776930754,-50.25186334719148,-65.18413424360116,-48.46052003336982,-29.097963579151372,-55.77563304113518
27,-53.14529332568156,-52.701608914942256,-60.20384139125472,-71.91713151713131,-46.13152554959536,-39.170819622700726,-84.98041736324564,-46.14062291749316,-38.938594286354544,-40.40468621078516
28,-41.661305345818775,-38.84117777543216,-41.16786448155058,-46.064415120007226,-66.50200136084128,-57.405478617309754,-47.9325036950119,-33.06975083366216,-39.01693013739495,-38.92626882896943
29,-41.01838771297797,-33.43421995800814,-41.06890108475446,-56.571080702758735,-39.642693259372344,-47.85789639408162,-32.069595502665415,-41.19105022180749,-35.06740226242438,-58.94665850375875
30,-41.60237938508458,-33.574421493413354,-49.28105567433009,-53.19267936018426,-43.78383222181439,-36.668878493099484,-45.64706713724152,-31.334586309915856,-34.544653309274686,-51.95663199304917
31,-37.91646228785143,-30.715583796885387,-46.86416215052755,-42.034206743296586,-47.96867872612264,-35.61742441748875,-32.45392247288228,-31.423723209634716,-45.17014031204461,-31.79466569745449
32,-25.87162265187398,-31.104574751013647,-38.72480875144201,-34.17311645513206,-39.92994509230637,-26.63695726576072,-35.628204035148,-26.865004745116934,-34.97158420119421,-34.8023466150797
33,-30.97301663944668,-31.969995805439655,-29.18371232496716,-36.39277012317346,-29.124653400561684,-34.51732355982699,-33.1026688076003,-38.365603526507485,-29.341884030596656,-33.58860159238873
34,-36.00590082080966,-26.317302187886277,-23.774975099037384,-41.29322809382936,-34.61685485385425,-32.6762282439764,-32.74491099233785,-32.79035214678915,-38.366633561296496,-28.52974151232916
35,-27.37220660538062,-31.631178261245726,-29.86804072744503,-42.36109568959041,-36.27373948215039,-19.171662680031048,-34.86161513747555,-34.40654159422883,-27.959486261787127,-29.6047749659147
36,-29.58370906257364,-26.138865861582122,-28.996721862260863,-32.12455042708441,-25.231992814778,-29.69041377867904,-41.39032918306588,-26.309841711152227,-35.87784029839998,-37.10840557624195
37,-28.334303106573874,-21.69546497240549,-31.33026549683789,-26.251066482717377,-35.82628952465509,-25.978320193934184,-41.64414698719506,-26.839243986057703,-33.411653045359586,-26.85654630926028
38,-27.996917726080035,-26.39625934038382,-23.55844319234683,-31.12915013298189,-28.219719618873047,-26.467454432352348,-29.57210041039329,-27.268902446591255,-31.75672996956362,-31.070013495926432
39,-32.00477282913523,-32.32111010777321,-35.36575544447502,-30.98084539824063,-29.333506163269444,-27.895536322513,-29.710328015467624,-28.19042593367201,-24.72530948512585,-19.689801267782194
40,-29.10656200258518,-30.777071970637724,-28.571311674870714,-25.15988692247026,-31.360823348991786,-32.18491536529186,-21.967174703049977,-25.056080262816327,-30.873659337663447,-32.94232799725208
41,-41.328233662570156,-25.779995795233162,-38.49081810414292,-26.118312754483078,-28.775717497316183,-26.438757545817317,-28.344119082151657,-25.039335829623983,-22.22198896037633,-25.298554185393375
42,-32.616439434989616,-35.50839558200704,-26.671426748815122,-27.26561564343742,-33.64004887535553,-29.527219714684676,-34.06994170560425,-23.100356185787412,-31.81135757091048,-32.380328131042546
43,-31.813858502631266,-29.206978677376803,-36.22841430178118,-24.799259032765796,-29.52566986399883,-26.57611619929939,-19.13929787221472,-34.82155860692234,-32.83780561465669,-29.72414500631872
44,-27.741135124187142,-27.924294551384087,-34.73087915133248,-27.736631009929262,-29.84297134476531,-36.824263295111095,-21.08582763989353,-18.862971522706946,-28.605279851888163,-32.22910911555601
45,-27.230740703034748,-24.380364952680527,-38.27399903963256,-34.997066720040436,-25.804197525230588,-34.49796930135177,-27.75300809116045,-31.85114967403038,-28.100133296181706,-34.367066414549825
46,-26.055486687999903,-28.48534293652964,-24.765718185565063,-20.71644110787244,-24.42704698129545,-25.56214225328304,-23.95750273072044,-29.40491523263159,-26.804849304538603,-25.371770885520036
47,-19.392019081110476,-23.342769977755655,-22.489917177668904,-31.537056969003725,-24.483363858343807,-27.460225926149953,-36.44344580048967,-27.780022505813626,-24.686404852359797,-26.388901392493864
48,-32.96235920005544,-23.186035116853184,-34.17463110457558,-26.308586643627695,-27.6835931818825,-32.08139945156405,-20.057572580386193,-24.589236022121927,-33.7870466510145,-20.587431769943464
