iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-36.391524694852606,-36.9944913393746,-36.898820611625624,-37.76664957155306,-41.33700146428984,-38.59801642729637,-37.159267227933285,-35.84551670283207,-33.48122924518474,-37.697873797321265
1,-36.391524694852606,-36.9944913393746,-36.898820611625624,-37.76664957155306,-41.1782457315569,-37.33191440224368,-37.147744174731585,-34.93922033427051,-33.036333492142994,-37.697873797321265
2,-36.191253602940584,-36.9944913393746,-36.47423410447858,-37.14134958338537,-41.1782457315569,-36.77990592806921,-36.0014992119422,-34.03441062498132,-32.57985674561458,-37.697873797321265
3,-34.49738546923878,-36.28741189279014,-36.47423410447858,-37.14134958338537,-39.88494074142481,-36.77990592806921,-36.0014992119422,-34.03441062498132,-32.57985674561458,-37.24348127351896
4,-34.49738546923878,-35.617069170430824,-35.68638421907964,-37.14134958338537,-38.043403823413875,-33.695778445267365,-35.013847527722405,-34.03441062498132,-32.57985674561458,-36.358660026003705
5,-34.49738546923878,-33.64142169162655,-35.15673408790535,-36.665695273101456,-36.85866422260793,-31.576809939061985,-34.660816087638324,-34.03441062498132,-32.57985674561458,-35.04155196300701
6,-34.45248701944066,-32.65215824300033,-34.80117503323089,-36.44067522590953,-35.79849050751223,-31.576809939061985,-34.123978695460934,-33.475757172091015,-31.741051056561048,-34.504191801917784
7,-33.49832632427085,-32.65215824300033,-34.80117503323089,-35.49854091736648,-34.82690255256884,-30.284369126971946,-32.991698121458455,-33.475757172091015,-31.060476187254118,-34.25126108785469
8,-33.01576502138781,-32.513120803483375,-33.609861988502146,-35.49854091736648,-34.07476326049837,-29.945881859231505,-32.76028616621967,-32.441154992384334,-30.322275036857185,-31.47097902429708
9,-32.364717551469525,-31.84404714398775,-32.36032921586094,-35.49854091736648,-34.07476326049837,-29.945881859231505,-31.953569600208738,-32.441154992384334,-28.877294321122697,-31.002254645510614
10,-32.05497409810893,-31.328678839902704,-32.36032921586094,-35.19016098855178,-32.121296455223195,-29.945881859231505,-29.573897426659062,-32.441154992384334,-28.877294321122697,-29.824072046955592
11,-31.383881861093357,-28.154111912895537,-32.36032921586094,-33.52737787926078,-31.30003005477477,-29.936975105618846,-29.573897426659062,-31.508681506498984,-28.877294321122697,-29.824072046955592
12,-31.280484889847997,-26.83617739991871,-32.36032921586094,-33.19821647304753,-29.981828826957518,-29.801174659951997,-29.573897426659062,-31.508681506498984,-28.877294321122697,-29.638448715066012
13,-30.52511144196928,-25.904612938579085,-31.366500262551263,-32.74999226413385,-29.11939850821878,-28.23691077919482,-28.843334875622848,-29.477281356729122,-27.656279330294772,-28.300833861539825
14,-30.07804713977691,-25.83697101338875,-30.162575574823258,-31.736400218991392,-28.659732519816977,-26.31358584374491,-28.232174616005004,-29.125420655482905,-26.15876054500628,-27.49718928719319
15,-29.99242601352504,-25.83697101338875,-30.162575574823258,-29.21059949163684,-27.778501788602355,-25.32350604408616,-28.232174616005004,-29.125420655482905,-26.014787197659228,-27.49718928719319
16,-29.99242601352504,-25.225353223252984,-29.990046904334996,-26.971455655841076,-27.685625987709784,-22.66018231115739,-26.727474470864347,-28.756851299304724,-25.469767937841123,-27.49718928719319
17,-29.96522801548089,-24.23014024232367,-28.42113018475162,-26.883672409153036,-26.02818306537055,-22.66018231115739,-26.727474470864347,-28.433645354311025,-25.137077865149223,-26.491642986552772
18,-29.00708388021629,-23.09024653019886,-28.42113018475162,-25.650922988247366,-25.07086210972216,-22.09271635185541,-25.334986546214985,-27.172540865807186,-24.397801464500883,-25.45721270777668
19,-28.943955444809518,-23.09024653019886,-27.04164307502305,-23.862005020529665,-25.04009896171226,-22.09271635185541,-24.881289245254422,-27.172540865807186,-23.703880831357054,-24.647676850609948
20,-28.440843347594452,-22.909993912292727,-26.413253481479778,-23.348857833992874,-23.76315391854519,-21.240008075667266,-23.70440337607066,-27.172540865807186,-23.17416320570854,-24.53428455063782
21,-28.437186931086053,-22.555049526189975,-24.951196056784816,-22.63503054647785,-22.242575689690383,-21.035623075647056,-21.541154729078606,-25.7922733739705,-21.875275644027752,-23.414467661174697
22,-26.964499022977904,-21.91257675425629,-24.678189733161677,-22.458113723079922,-22.242575689690383,-19.944091980550652,-21.446734336035583,-23.97977077048562,-20.51857621673802,-23.414467661174697
23,-24.609712812402858,-20.983173611976028,-24.678189733161677,-22.458113723079922,-21.39127653583858,-19.26701378803991,-21.11792802447422,-22.60929704810917,-20.51857621673802,-22.698601280853822
24,-24.401556703318732,-20.983173611976028,-23.81221350602061,-21.986179408573584,-19.334835097881037,-18.759875216138674,-19.805298312368222,-22.15484845528783,-20.225654395648206,-21.918421017370015
25,-23.556340707790433,-20.93571470944911,-22.589764203244624,-21.986179408573584,-18.849775129283238,-18.466260187505583,-19.551703551383333,-21.943827252579553,-20.225654395648206,-21.858293574452453
26,-22.133202186313078,-19.95207534872692,-21.393174269176285,-21.986179408573584,-18.849775129283238,-18.466260187505583,-18.970996335666893,-20.199854672146067,-20.225654395648206,-21.390922649709935
27,-19.663867529621907,-19.563881870227107,-20.32515333791921,-18.945635973661496,-18.849775129283238,-17.40427681018314,-18.881845680875664,-18.755820246692195,-19.745753190433746,-19.673484678389343
28,-16.561553148930084,-18.91160830047577,-19.40008799670246,-17.56080235688543,-18.48906503061998,-17.02732246048879,-18.387449449334923,-17.601907172645817,-19.23822029777719,-19.673484678389343
29,-16.561553148930084,-18.655767209776492,-17.72314879183783,-17.515695002654756,-18.068515172011963,-16.277500180756327,-18.387449449334923,-16.483269631940907,-19.207393775360906,-18.850313619008656
30,-16.14554244014773,-18.60616436702368,-17.652971673340023,-17.08153453048635,-16.860779973162472,-15.643114536205974,-17.90943434051106,-15.215652178168765,-19.083103299603053,-18.850313619008656
31,-15.573347150554035,-17.954647338440378,-17.647493520214802,-16.68762818735974,-15.834935008310913,-15.453619471345078,-16.7333460657971,-13.906724650532684,-18.42560623010702,-17.674835066169024
32,-15.573347150554035,-17.601208710568756,-17.646654798321904,-16.50002254504387,-15.538553198175112,-15.453619471345078,-16.07677083430016,-13.906724650532684,-17.021521868725586,-17.562938382240958
33,-14.567584635139571,-17.601208710568756,-17.07962116415258,-16.194961851496203,-14.84520664920513,-14.572518256872087,-15.423322979597128,-13.83739840228111,-16.569043769648303,-16.003795626326287
