iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-86.37963405277941,-87.27375466274609,-94.03610117584945,-88.10092349009533,-79.97155500986376,-81.67460124951444,-86.4106447225746,-87.7153559447174,-79.38131714973457,-84.72606890269131
1,-79.53180416265039,-83.03321087861703,-78.08467629447179,-83.26361546996358,-82.34967301258612,-86.03571027747122,-79.89405554081713,-66.23152760831852,-70.778740507754,-74.68290652394349
2,-77.4340797323014,-88.67103990659913,-69.06979630247565,-74.63318178325272,-74.64290367931032,-75.24341467699477,-74.8307039485684,-62.99859423253666,-82.45956447694806,-76.35171654285953
3,-74.33554617807789,-75.4142727689441,-92.66782751391807,-75.91317806275248,-75.8808678214812,-74.62013245407968,-73.77868344222708,-78.40672155725636,-76.05741892928458,-73.72994263233088
4,-70.69474656774275,-81.59125647881544,-72.51724929363982,-80.78961646057459,-64.22187379835533,-61.99367948952608,-73.53209205130011,-74.50239601697989,-71.97941590286973,-76.14897156207826
5,-69.88013817654569,-65.46667279718052,-72.04965348591566,-74.74445558406636,-62.05015323305309,-70.76333032603392,-70.94913441366327,-72.38127724601088,-85.1560144238693,-70.9895355192896
6,-71.59008807738411,-67.26723043973945,-73.78911874907942,-79.79225208397452,-58.11575231631428,-64.35420762669474,-72.69132768684935,-71.57791649873752,-67.7852359775179,-72.14804377796659
7,-64.9719663041507,-66.36220584916362,-77.20423204899153,-68.52770810011552,-65.05948384758078,-60.298894981058865,-72.5780968463519,-76.96115652370565,-65.50995173974765,-76.70522232964659
8,-71.11004815451042,-69.82670401014032,-66.71995128073357,-66.20404423763665,-65.71276836330924,-56.538399814921966,-68.76244594471967,-62.835708595271164,-67.3558196966543,-72.7414054820434
9,-69.29748577018977,-70.29433252009068,-71.91848156709827,-83.7939020983782,-72.97084240879806,-72.72457637329813,-67.98852859697718,-75.1263916563492,-64.65912114834468,-61.81355768503835
10,-68.85172931168788,-56.87260498352179,-71.45899470433761,-85.44050745820229,-60.82911276340443,-76.45945145691377,-53.19413717107838,-68.27163991057827,-79.87107901987525,-68.69954196890134
11,-70.57192002762426,-57.59106457268703,-63.658545645047404,-62.362996335110005,-61.755528473142945,-63.16071969843748,-65.16238242162414,-70.03179291601839,-71.90981335819734,-72.12516558269239
12,-66.72382708202659,-60.961081452079775,-69.1129748171733,-64.8412485379597,-65.40239755645842,-58.0376340337719,-76.24764708239272,-70.04580066646696,-61.161414462578556,-65.1724401998768
13,-73.93317017123613,-66.40235280569203,-74.32524815216009,-67.01168888157484,-60.23936445569391,-65.00704692959883,-63.37205864505814,-48.89564744772582,-56.07422412242889,-54.045489338539646
14,-57.62232093796426,-68.04806240272248,-64.92377823114802,-77.74928803521483,-59.3954427512858,-60.06429464550209,-56.62365276650051,-70.54570692181308,-63.25032151142683,-61.239452599105334
