iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-36.391524694852606,-36.9944913393746,-36.898820611625624,-37.76664957155306,-41.33700146428984,-38.59801642729637,-37.159267227933285,-35.84551670283207,-33.48122924518474,-37.697873797321265
1,-1.3980550876278344,-1.714021880608335,-1.1848529607928553,-1.4240397402717564,-1.2587524131727954,-1.4050110104987605,-2.467443562096995,-1.4760723490552585,-3.0399746276583475,-1.7614577986280349
2,-1.0608664238344732,-1.1491324345310612,-1.1746081566087403,-1.0919163799283358,-0.8819208948571987,-0.9486391622124286,-1.1933082636881882,-0.9580498361749749,-0.9586025069567758,-1.2138445652246705
3,-1.0113763484577507,-1.0866534379867563,-1.1650757660084774,-1.0444972222640985,-0.8432875287236565,-0.8952324844724416,-0.9775634439665533,-0.9318277925693539,-0.9470895738102663,-1.115927186534772
4,-0.9369870304320479,-1.0711534868768195,-1.0199216172459922,-1.0330475372830525,-0.8214176214723978,-0.8571341525332952,-0.8789544665681532,-0.908637752546895,-0.8938148090879176,-1.029566521394847
5,-0.8279312461511462,-1.0482763113950635,-0.8693310214716763,-0.9991656124624453,-0.8081709961923123,-0.8444729927951546,-0.8789544665681532,-0.908637752546895,-0.8651726617462085,-1.0165770199596365
6,-0.7841397969358147,-1.0073380469184994,-0.8406254797883336,-0.835323165911136,-0.8081709961923123,-0.8098441131370363,-0.8789544665681532,-0.908637752546895,-0.8135582166810799,-0.8445585988955646
7,-0.7279989039530093,-0.9514975114902611,-0.8102615042625014,-0.835323165911136,-0.8020698250624301,-0.7204130621895948,-0.84048291339964,-0.7794912189830883,-0.7947364333233373,-0.8429530065698205
8,-0.7279989039530093,-0.9176808736629107,-0.7722853470529388,-0.7927402199164193,-0.8020698250624301,-0.6928986410968272,-0.8125566327887797,-0.736760444533439,-0.7947364333233373,-0.8320605217417927
9,-0.7279989039530093,-0.8346510140841503,-0.7531254535291044,-0.7583893336621153,-0.7641285274075771,-0.6745712793543863,-0.7097292626085488,-0.6873004570582651,-0.7947364333233373,-0.804844227420008
10,-0.6546364960797535,-0.7778579728794658,-0.7338365515853493,-0.7308519230863603,-0.7526882214334683,-0.6653126890565653,-0.6694980959615188,-0.672842400948481,-0.7459025567012134,-0.7997985353081509
11,-0.5874613079998756,-0.7633542350949372,-0.7092460077810749,-0.7182376780468749,-0.7526882214334683,-0.6520756394804541,-0.6694980959615188,-0.672842400948481,-0.687507921827795,-0.738968563221328
12,-0.5781408718273294,-0.7380592512879852,-0.6959288665543331,-0.6925173475592403,-0.6850460939919663,-0.6492203748346037,-0.6597385563672511,-0.6305390239113132,-0.6614145468640473,-0.7049131534147794
13,-0.5659482816670001,-0.7200479553358143,-0.6657108675505217,-0.6474196450478176,-0.6842374230672562,-0.6098763057323607,-0.6198087157601427,-0.6303825834734188,-0.5990914048784965,-0.6802113543787345
14,-0.541566678027595,-0.6835758074616767,-0.6333038148074395,-0.6224385507079251,-0.6762510548316154,-0.5763725729954065,-0.5746718026118408,-0.5822616476169411,-0.598245634795245,-0.6611577747560714
15,-0.541566678027595,-0.6330674737925617,-0.567129084083591,-0.5847829885628769,-0.6607324054592815,-0.5639767238660037,-0.5475112699594986,-0.5275581883887174,-0.5892881982536413,-0.6423560871174712
16,-0.541566678027595,-0.6294233733409991,-0.5347575375294273,-0.5640896532940654,-0.6155144436909228,-0.5602055528377543,-0.537722559839157,-0.5233635269096094,-0.5778188768433264,-0.6404423352498533
17,-0.5348104149925822,-0.6188492113091073,-0.5118730660849655,-0.5640896532940654,-0.5696869757270187,-0.5240854036791995,-0.5293376037346385,-0.5233635269096094,-0.5755764925655025,-0.6155188512737708
18,-0.5318085862094563,-0.521467765049306,-0.5077584025765599,-0.5342683574575093,-0.538319670067764,-0.5132527060969767,-0.5293376037346385,-0.5233635269096094,-0.5505045805765685,-0.6115216790378297
19,-0.518761282825871,-0.521467765049306,-0.4998609451248074,-0.5342683574575093,-0.5181804181736591,-0.5074947086413482,-0.5129739150957419,-0.5130160594792812,-0.5070496228659342,-0.5990848313399375
20,-0.5032894209899932,-0.5169452640885641,-0.48770105966663435,-0.5286858741626523,-0.4917024506947685,-0.4954730884398443,-0.48284727151300083,-0.5070762950427082,-0.5070496228659342,-0.5506330509724593
21,-0.4749599499861238,-0.5169452640885641,-0.48770105966663435,-0.526642715344646,-0.4917024506947685,-0.4804846570791491,-0.46977793843022436,-0.5047740341408761,-0.4287731786284226,-0.5506330509724593
22,-0.45884011737081243,-0.5153845982268608,-0.48770105966663435,-0.5161386288874308,-0.4736344464732335,-0.4797191334153107,-0.44961372670575206,-0.5047740341408761,-0.423932968394517,-0.5234278735984019
23,-0.4559761539243807,-0.4910589006332665,-0.48770105966663435,-0.5161386288874308,-0.4736344464732335,-0.4797191334153107,-0.44959263579541775,-0.5010330813879509,-0.423932968394517,-0.5234278735984019
24,-0.4545156263856756,-0.48242801807285074,-0.48770105966663435,-0.5030714172307436,-0.46101901805440926,-0.464999959006975,-0.44959263579541775,-0.4891430081764881,-0.4184619455474946,-0.5221641345757115
25,-0.4384148861119348,-0.48242801807285074,-0.47739293024913865,-0.5030714172307436,-0.4407539516449858,-0.464999959006975,-0.44959263579541775,-0.4891430081764881,-0.4184619455474946,-0.48276112028931895
26,-0.4330511069911663,-0.48242801807285074,-0.47043977348745836,-0.4768688445680697,-0.4164304834982339,-0.464999959006975,-0.44959263579541775,-0.48894267327666585,-0.4184619455474946,-0.48045407988076494
27,-0.4330511069911663,-0.4558876491817668,-0.47043977348745836,-0.4768688445680697,-0.4164304834982339,-0.4431503348036111,-0.4173680654268398,-0.48894267327666585,-0.4184619455474946,-0.4791383652403979
28,-0.42965746532788973,-0.4558876491817668,-0.47043977348745836,-0.4662247573885611,-0.40123485831309635,-0.4431503348036111,-0.4009199303077718,-0.4736146522256451,-0.4184619455474946,-0.4791383652403979
29,-0.3902153549081926,-0.4558876491817668,-0.4613477643397422,-0.4611028694735679,-0.40123485831309635,-0.4256927533630345,-0.4009199303077718,-0.4736146522256451,-0.4184619455474946,-0.4678264456983341
30,-0.3902153549081926,-0.43380936537781756,-0.4457582867969465,-0.4611028694735679,-0.3951274282724728,-0.4256927533630345,-0.40021858260908255,-0.4731492668947146,-0.4184619455474946,-0.447221023697218
31,-0.38633858486277084,-0.43380936537781756,-0.44189394362856926,-0.4397879252951602,-0.3951274282724728,-0.4136209815261244,-0.40021858260908255,-0.4731492668947146,-0.4114539176606514,-0.447221023697218
32,-0.38633858486277084,-0.4302741134720206,-0.41539959926230335,-0.4334652005951446,-0.3951274282724728,-0.4136209815261244,-0.38347541264889523,-0.4699534139632826,-0.3847674237467073,-0.4404793779909345
33,-0.3861130783684551,-0.4116447885882871,-0.41539959926230335,-0.4334652005951446,-0.3790344222961529,-0.3990165138495566,-0.38347541264889523,-0.4699534139632826,-0.3847674237467073,-0.4238729981707968
34,-0.3785665371504049,-0.4116447885882871,-0.4133796591332576,-0.4334652005951446,-0.3788971306952986,-0.3990165138495566,-0.37591084516773354,-0.4699534139632826,-0.3847674237467073,-0.4025256690589542
35,-0.3667742096740263,-0.4116447885882871,-0.4133796591332576,-0.4212442074402867,-0.3788971306952986,-0.3990165138495566,-0.3681039418090089,-0.469750277628009,-0.3844488538515893,-0.4025256690589542
36,-0.3666983502979907,-0.4041754621573025,-0.4129663961362804,-0.4000488072894596,-0.3644629277232128,-0.3990165138495566,-0.3681039418090089,-0.469750277628009,-0.3844488538515893,-0.3977199964960434
37,-0.3666983502979907,-0.39600945356482287,-0.4129663961362804,-0.4000488072894596,-0.3595121350645699,-0.38209615647179784,-0.3681039418090089,-0.45422176360747635,-0.3704979595616623,-0.381954202667327
38,-0.3666983502979907,-0.39600945356482287,-0.4129663961362804,-0.4000488072894596,-0.3595121350645699,-0.38209615647179784,-0.3681039418090089,-0.45422176360747635,-0.3664419279252995,-0.381954202667327
39,-0.3654915597296372,-0.38867076342593987,-0.4129663961362804,-0.4000488072894596,-0.35097102985161843,-0.3752466977335298,-0.3681039418090089,-0.4396537233550313,-0.3664419279252995,-0.381954202667327
40,-0.3654915597296372,-0.37295966442254247,-0.39623359787988954,-0.39832840454811147,-0.35097102985161843,-0.3435038849343802,-0.3553492939788024,-0.4396537233550313,-0.35942653557989,-0.3740900146436275
41,-0.3641179877323948,-0.37295966442254247,-0.39623359787988954,-0.39832840454811147,-0.3459409518784111,-0.3435038849343802,-0.3499486355233481,-0.407881309865022,-0.35942653557989,-0.37201831290541787
42,-0.3641179877323948,-0.37295966442254247,-0.3833421301651433,-0.385666236670143,-0.34308741911025087,-0.3435038849343802,-0.3499486355233481,-0.407881309865022,-0.35942653557989,-0.35179852430338776
43,-0.3568979923966521,-0.37295966442254247,-0.3833421301651433,-0.36458690752307177,-0.34308741911025087,-0.3337398385356617,-0.3499486355233481,-0.407881309865022,-0.35942653557989,-0.3517849464145554
44,-0.3568979923966521,-0.37295966442254247,-0.37777037913764244,-0.36458690752307177,-0.34308741911025087,-0.3337398385356617,-0.3499486355233481,-0.407881309865022,-0.35942653557989,-0.35175656197799576
45,-0.35459322928857817,-0.37295966442254247,-0.36232279504646236,-0.36458690752307177,-0.33743308222769547,-0.3337398385356617,-0.3499486355233481,-0.407881309865022,-0.3532158991093628,-0.35175656197799576
46,-0.35116450553414247,-0.37089000810604533,-0.36232279504646236,-0.36458690752307177,-0.33743308222769547,-0.32952845812876713,-0.3499486355233481,-0.39276621413530666,-0.3532158991093628,-0.35175656197799576
47,-0.35116450553414247,-0.36551237922388446,-0.36232279504646236,-0.36458690752307177,-0.33049048738339026,-0.32044866553464324,-0.3499486355233481,-0.39107017199551314,-0.3532158991093628,-0.34288454428617904
48,-0.35116450553414247,-0.36551237922388446,-0.34644459758306606,-0.36458690752307177,-0.33049048738339026,-0.32044866553464324,-0.3497587180877291,-0.39107017199551314,-0.3532158991093628,-0.34288454428617904
49,-0.34704207980442375,-0.36551237922388446,-0.34644459758306606,-0.36458690752307177,-0.3257516055605499,-0.32044866553464324,-0.3497587180877291,-0.3838399463472554,-0.3532158991093628,-0.3413663241469743
50,-0.34704207980442375,-0.36551237922388446,-0.34635956839228144,-0.36326707823454013,-0.3247079203957799,-0.3187889330188052,-0.3497587180877291,-0.37847355104408853,-0.3532158991093628,-0.3342938218236845
