iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-86.37963405277941,-87.27375466274609,-94.03610117584945,-88.10092349009533,-79.97155500986376,-81.67460124951444,-86.4106447225746,-87.7153559447174,-79.38131714973457,-84.72606890269131
1,-1.3980550876278344,-1.714021880608335,-1.1848529607928553,-1.4240397402717564,-1.2587524131727954,-1.4050110104987605,-2.467443562096995,-1.4760723490552585,-3.0399746276583475,-1.7614577986280349
2,-1.6859375961794623,-1.5777484234176788,-1.8229980947540825,-1.4935887676358837,-1.0152464805561745,-1.1634817588098207,-1.2120734542829719,-1.1562346223006263,-0.9822841600558714,-1.6772370770481935
3,-1.8653828548084306,-1.5881917492810222,-1.9853410232628268,-1.5463479712724402,-1.6027878717643018,-1.5216554691741668,-1.3407678812575765,-1.5813794876967353,-1.7450909447011167,-1.6074922861871153
4,-1.5860198130713083,-2.0281623077307716,-1.4094058135100607,-1.8173694937068252,-1.781231977802079,-1.5747282856068034,-1.5697917385140814,-1.5669737083465185,-1.7166414287353393,-1.498874928849867
5,-1.4575589117247563,-1.4940320254491033,-1.4709646736782065,-1.6225527829067707,-1.5849409472031577,-1.601255934618005,-1.6776754325163734,-1.6401658207332446,-1.8796349134342663,-1.8880086272759324
6,-1.4706742595205402,-1.769423757480604,-1.659138507139414,-1.2852108237006865,-1.5834472919050397,-1.4060066250279055,-1.687674973753692,-1.8329867977211727,-1.61270995979661,-1.265494456412223
7,-1.4137446198054873,-1.5316668487684275,-2.066950727716735,-1.8278351984074512,-1.8022854906102292,-1.2207389411713858,-1.5793389547092673,-1.2467991665939493,-1.521926902405235,-1.5982425741695514
8,-1.8661274938813097,-1.3596163265889691,-1.7132762778257908,-1.3434970216541924,-1.5544867493312222,-1.6221637625464647,-1.422046052065963,-1.7755096618850175,-1.5934438729627909,-1.600947817798668
9,-1.4183138984159578,-1.4234214048672564,-1.5165029202880476,-1.6067130068104345,-1.2814018644398404,-1.459566896771097,-1.2887422782847273,-1.611812399592738,-1.44753800510432,-1.6456058170747347
10,-1.2580478467261305,-1.4700747308462145,-1.4074673608537476,-1.3356539547022503,-1.655913388048492,-1.3559419264994172,-1.4201768471524443,-1.2813136704552155,-1.7149185612601223,-1.631290100530498
11,-1.200698051061589,-1.3618053314225038,-1.265971471440348,-1.5993105209129779,-1.5552956560611317,-1.0942540540064591,-1.3144854286130925,-1.432824687868851,-1.2168614310149688,-1.2393973911626035
12,-1.4108143327059468,-1.2709487707926848,-1.535957747735702,-1.2796228470980755,-1.3641033562596854,-1.2317030964878202,-1.3141615332237828,-1.3213547506569836,-1.3614493931811906,-1.2907988402971928
13,-1.1902628024100674,-1.2256281970390264,-1.4012039334291115,-1.1237308607577332,-1.211492911440065,-1.2420904435503135,-1.0484272619699064,-1.2666870675078683,-1.1782703193367836,-1.2142337835717838
14,-1.192959894357934,-1.106921658367939,-1.1853726777217068,-1.1423480207967727,-1.2176406799536001,-1.2809167071558762,-1.1001255697589785,-1.1432780125466961,-1.240678329191474,-1.2147546053101772
15,-1.9619645678504953,-1.1367484563816914,-1.2153015362323667,-1.2047841714064234,-1.1746907196533916,-0.9796410524390374,-1.0881296590877203,-1.0209215013913684,-1.2458226458486903,-1.214090315635381
16,-1.194843545889475,-1.3633452011732954,-1.1709949575619851,-1.0074876636214545,-1.0008661851700598,-1.0882425211321411,-1.1109687560014354,-1.3369001179222142,-1.1409071634491919,-1.411344087234438
17,-1.2013502446783213,-1.0669111205669326,-1.162568083710881,-1.2803877968170583,-0.9943806947462095,-0.9276693840696881,-1.2077879948859016,-1.2753251301853312,-1.0290407500180516,-0.9498393187645686
18,-1.2942497700718691,-0.8021887222502375,-1.3334055452902727,-0.944962754568896,-1.0346211295638188,-1.2670234728299783,-1.478926343523594,-1.280819120178947,-1.1468035648590948,-1.4735648951231293
19,-0.9399043298016365,-1.1286539204929884,-1.064542539787405,-1.5191435181685327,-1.0288010669899976,-1.070648969074925,-1.4093600112357234,-1.1533130840728312,-0.9264830422673532,-1.4864009927267756
