iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-36.391524694852606,-36.9944913393746,-36.898820611625624,-37.76664957155306,-41.33700146428984,-38.59801642729637,-37.159267227933285,-35.84551670283207,-33.48122924518474,-37.697873797321265
1,-13.803135343120069,-17.512340046278027,-12.638003364052768,-14.999769790059734,-15.143342763842732,-16.23392279079403,-15.32640634737945,-13.770253132648104,-14.857510838863842,-15.28398746471525
2,-8.19811980043221,-10.328644967466534,-6.880415040783192,-8.666531279679377,-7.694047188144603,-9.176202234806944,-8.434091700606142,-7.986295447381708,-9.003578823125435,-8.6207146876009
3,-7.458340136970085,-8.538006359342681,-6.315788745239113,-7.750839164208198,-6.007565794014646,-8.032257180278037,-7.564488600935121,-6.904422603949184,-6.940698925263238,-6.632220504138916
4,-7.083989434420513,-7.227635273053899,-5.718549320301708,-7.519954905726429,-5.6725547955415205,-6.943276400917483,-7.0768292022461,-6.5610075251941975,-6.237343777973233,-6.009025888907745
5,-6.9257352896282995,-6.851355690858601,-4.820903299915548,-6.917318187819667,-5.6224912197092545,-5.8857054880166775,-6.758626291087337,-6.319679379844969,-5.562678221014967,-5.395521355392781
6,-6.6053630375311645,-6.111201190896153,-4.307282007441129,-6.421689844276392,-5.458899040936363,-5.600719817407411,-6.104620716082694,-5.794245147156609,-5.109110750472592,-5.02351553384538
7,-6.18508907835103,-6.051469395107823,-3.7444614364798046,-5.294551622096065,-4.7546181927902635,-4.6029994693122465,-5.756029205396893,-5.432792300178361,-4.728454208564568,-4.726362609757079
8,-5.06827332597233,-5.38149021892454,-3.4087526871278824,-4.588555854216779,-4.441684770631423,-4.2694779219587335,-4.813208858178708,-5.029461033608816,-4.020422873941405,-3.7352593635138827
9,-4.255955112042375,-4.7373476427982775,-3.1316424539219607,-4.107375111039709,-3.547369778582955,-4.19129403731587,-4.087607156566868,-4.160802914797457,-3.632337500481438,-3.455423826210004
10,-3.5663009595896664,-3.983602445485168,-2.967048344081083,-3.8071876474465305,-3.4217988445877348,-3.8566750157431353,-3.6251889507326713,-3.49672583450851,-3.2757844456014595,-3.163060985203672
11,-3.199724632870129,-3.7102981429726896,-2.8177289385363,-3.3521929809534887,-2.9073006419299254,-3.6202720604944285,-3.236621963450757,-3.2056775587565474,-2.8505727948434725,-2.710750017112529
12,-3.1011178227636673,-3.5650764033830065,-2.6175407828825206,-3.0451733595178605,-2.5983344380225994,-3.293161198181743,-2.9517356036703046,-3.154638589746538,-2.6051847777124584,-2.6625400233046115
13,-2.6619716224041925,-3.5579214074922385,-2.2784595693076843,-2.9165953615705957,-2.213910516619432,-3.0021328372209815,-2.7894202047750842,-2.5742287797630983,-2.5598438430442756,-2.6625400233046115
14,-2.5732741506144743,-3.2883174058536846,-2.1402930076418034,-2.593996604566261,-2.16043038114686,-2.622987875369073,-2.613716476803344,-2.457537840716908,-2.5591645560755163,-2.252001212892395
15,-2.4772782695169533,-2.7851601430455952,-1.9761173911045002,-2.5035042649327464,-2.0165070414183,-2.450721069281572,-2.458531019705198,-2.3297428475279855,-2.356583242889135,-2.1429307110221676
16,-2.401615849653863,-2.6925339510564426,-1.799288968110756,-2.336587510504893,-1.8797411469846512,-2.2989463212913948,-2.458531019705198,-2.3297428475279855,-2.176281513415261,-2.0269445448990497
