iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-86.37963405277941,-87.27375466274609,-94.03610117584945,-88.10092349009533,-79.97155500986376,-81.67460124951444,-86.4106447225746,-87.7153559447174,-79.38131714973457,-84.72606890269131
1,-13.803135343120069,-17.512340046278027,-12.638003364052768,-14.999769790059734,-15.143342763842732,-16.23392279079403,-15.32640634737945,-13.770253132648104,-14.857510838863842,-15.28398746471525
2,-8.19811980043221,-10.451709884697943,-6.880415040783192,-8.666531279679377,-7.694047188144603,-9.176202234806944,-8.434091700606142,-8.009429148196247,-9.003578823125435,-8.6207146876009
3,-8.991888200325317,-9.17900449697783,-7.390737096651394,-8.713754006592655,-7.488976126181936,-8.95070895466418,-8.881950447041799,-8.052522204474151,-7.42751990585481,-7.556418083043891
4,-9.536308873324778,-8.98667055185875,-7.637948165702612,-9.582640596725216,-6.805466245869082,-8.31029890090391,-8.433233659936203,-9.176835963496286,-7.392797248639475,-8.175170657582015
5,-9.440717112603659,-9.040721086054557,-6.940252588851696,-8.800528780781143,-7.900584527294349,-7.440894376837498,-9.213250527638946,-8.580577218142505,-8.918429094325077,-7.493714578102921
6,-8.839717476935933,-8.037501415049832,-6.7909707936518,-8.20145389536945,-8.503051639990613,-7.85173381022393,-7.751696478017438,-7.874952666811989,-6.368245203039377,-6.845362785459816
7,-8.280428274819648,-8.723463888224318,-6.096349810890717,-7.104486534541361,-6.604201150420133,-5.750556941319376,-8.096127514145438,-8.071446489150048,-6.37010807495229,-6.136950605482404
8,-6.530494665549388,-7.289608663335539,-5.0489565451144225,-6.139102437853633,-5.771117680665421,-5.804182329725273,-5.961506010480907,-6.581941785334704,-4.729021693357925,-4.7868033878210206
9,-6.401165269970145,-5.950446697368857,-4.59031623403143,-5.103994625047413,-4.37338904455435,-6.574165220945311,-6.598179885813546,-5.604317178979654,-4.849082032781141,-4.401761118486625
10,-4.6584940286813445,-5.389569293055487,-3.950460853616281,-5.274700470913485,-4.525242767263595,-5.928547381373204,-5.345368225685756,-4.6730763143611895,-4.674820492317473,-4.690538938252679
11,-4.586531542174906,-5.410292263298464,-4.139558068039143,-3.7837892226092817,-4.021690136836385,-4.8487943093305255,-4.303048580957949,-5.526601423924108,-3.925744848995956,-3.9792300737186084
12,-3.8533825939730906,-5.795450892936049,-3.5435801936253055,-4.598030507835916,-3.582683176392883,-4.404144338578548,-4.1842587793910875,-4.601640617624915,-4.151155725745562,-3.9939434640482796
13,-3.3795541897907224,-5.0808442752427005,-3.511010750386734,-3.879706785246196,-3.3306838048369993,-4.012070683306665,-4.175513301959219,-3.6556212694691217,-4.101585401654365,-4.29967650390195
14,-3.7320262920780083,-4.219207966104244,-3.323750457512414,-3.410406796656272,-3.8003902169253907,-3.4273206016085394,-4.2600902446536395,-3.7312888024102024,-3.6839613819966637,-3.4684062634468336
