iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-36.391524694852606,-36.9944913393746,-36.898820611625624,-37.76664957155306,-41.33700146428984,-38.59801642729637,-37.159267227933285,-35.84551670283207,-33.48122924518474,-37.697873797321265
1,-36.391524694852606,-36.0897707430358,-36.898820611625624,-37.76664957155306,-41.33700146428984,-38.58631553652175,-36.98257662818584,-35.75161335333452,-33.48122924518474,-37.697873797321265
2,-36.391524694852606,-35.809812572558826,-36.374649394806625,-37.76664957155306,-41.29763756758695,-36.60419244535654,-36.469761968613795,-35.46500747455965,-33.48122924518474,-36.9532687119777
3,-36.12893328237729,-35.55076267684275,-34.48531741724365,-37.76664957155306,-40.89612057735046,-36.60419244535654,-35.2048844470843,-35.46500747455965,-33.31048305792524,-36.50971703296156
4,-35.9243258622001,-35.19762213683436,-34.2578136577138,-37.41014203887893,-40.834690884683965,-36.107482842443545,-35.2048844470843,-35.23293997986438,-31.42452461845672,-35.84051926980957
5,-33.89395298091435,-34.7037758226395,-32.86255593647881,-36.519836111355495,-39.74661821335849,-35.0063526606088,-35.2048844470843,-34.5001907965351,-31.42452461845672,-35.529137514927186
6,-33.89395298091435,-34.7037758226395,-32.86255593647881,-35.98855222728547,-38.97717296669418,-33.72162574600102,-33.80113978578454,-34.5001907965351,-31.42452461845672,-35.529137514927186
7,-33.89395298091435,-33.926440419144846,-32.053079155017116,-34.80961754398232,-37.157840436147794,-33.162742661050984,-33.679075866755866,-33.51021790431723,-30.237584678635457,-35.529137514927186
8,-33.361816745641164,-33.926440419144846,-31.20706574064047,-34.72363332422377,-36.029929219282636,-31.61732585531845,-33.308350779198456,-31.30207065993116,-29.437469173406463,-34.88474555403461
9,-33.361816745641164,-33.46096271756062,-30.882223871088083,-32.561769743919825,-34.3595409899982,-29.81688185929817,-32.562714845048575,-30.336185120206917,-29.29572371809887,-34.14092686269695
10,-30.235353349839343,-32.310665653744806,-29.686496718263413,-32.561769743919825,-30.63344824862767,-29.81688185929817,-32.562714845048575,-29.84097615382779,-29.29572371809887,-33.36311360069326
11,-28.990141867859457,-30.62151323159127,-29.686496718263413,-30.993096256772127,-30.337184979222293,-29.81688185929817,-31.880569136234556,-29.84097615382779,-29.29572371809887,-32.802592503096506
12,-28.526130990305575,-29.871827184542777,-29.197601596929317,-30.51431890714538,-30.24735517269815,-29.560524614043523,-31.880569136234556,-29.116714403165915,-27.82573040986414,-32.802592503096506
13,-27.693976583609015,-29.64469335958902,-27.320684881426722,-30.264920140464675,-29.015594521824056,-28.86645311818376,-31.627661026022896,-27.952590382662493,-24.958591529529084,-31.126752378747696
14,-26.52305065157663,-27.44537710253453,-25.597197214852887,-30.264920140464675,-29.015594521824056,-28.86645311818376,-30.83120854911477,-27.443980766530032,-24.480919043806672,-29.31726703334582
15,-26.045079942698422,-26.84317221541549,-24.428549849849006,-30.220235148521944,-29.015594521824056,-27.872952576910517,-30.58605536465594,-27.384322456334885,-23.825981068896084,-28.648738099646923
16,-25.83647878311059,-26.84317221541549,-22.955292572218383,-29.426402304880494,-28.18956835910268,-27.872952576910517,-29.560421259748658,-25.56683167075323,-22.264309662666403,-27.69107464919579
17,-24.71467063286449,-24.39459560192394,-21.44846490100506,-28.050580583974742,-26.954325621084017,-27.872952576910517,-29.544811532994046,-25.07615803538078,-22.264309662666403,-27.441714397754538
18,-24.71467063286449,-24.37528261953758,-20.986825018899545,-27.45248625491765,-25.709839249080577,-26.96926693391608,-27.4458944609122,-23.9859822980681,-22.120411960352325,-27.441714397754538
19,-24.49866441501257,-24.37528261953758,-20.656540133320657,-27.418684546328958,-25.709839249080577,-26.96926693391608,-25.768707518512244,-23.425664238220165,-21.931614273137313,-25.348763285044743
20,-24.277726745382424,-24.240205325904142,-19.89482541816148,-26.46908064392157,-24.895244699840458,-25.067259758300366,-24.579870729481993,-22.98023473402057,-21.718509401372643,-24.93026582774535
21,-23.678609297709443,-23.966040745574446,-19.72386123559161,-26.29427267292722,-23.514849637524506,-24.983503659119627,-24.26637114767301,-21.806687621586704,-21.718509401372643,-24.65010856260737
22,-22.235609927205118,-23.966040745574446,-19.510255452035942,-24.900106596761503,-22.617599915537603,-24.983503659119627,-24.214084194542504,-21.252219280352193,-20.245939479854133,-23.871437322418238
23,-22.171639975893385,-22.730597056681752,-18.996065863730397,-24.672394732180372,-21.35613211341584,-24.659528600982398,-23.469160557789202,-19.569756315707558,-18.999446832244423,-23.63030979455598
24,-20.990807000447695,-22.730597056681752,-18.858653942712436,-23.77684891148035,-21.35613211341584,-24.138882340536334,-21.90084868817203,-19.269974301693495,-18.502904922809165,-23.494653417877572
25,-20.099555319119077,-22.61374227566106,-18.858653942712436,-22.67601299486841,-20.91093381741043,-23.212468508443315,-20.704500497955095,-19.269974301693495,-17.8264869625887,-23.494653417877572
26,-20.010303659395912,-21.122539672661958,-18.858653942712436,-21.319543305200344,-20.694620655482318,-23.096089843484332,-19.26065835443284,-19.04820110803846,-17.386326887446593,-21.02063585354502
27,-19.760256673349158,-19.62450094855792,-18.858653942712436,-21.270549890706157,-19.836340657384397,-19.938962150393515,-19.098037396081487,-19.04820110803846,-17.386326887446593,-20.99992429196932
28,-19.220187550970735,-19.05338971859032,-18.83308422667135,-20.711239079327967,-19.461847491734893,-19.121952289313384,-18.429572668219908,-17.671484176553847,-17.386326887446593,-18.5667763180579
29,-18.068346253004748,-18.219617921709208,-18.03649011254329,-18.484619490694904,-18.38742607284331,-18.04084809922142,-18.429572668219908,-17.671484176553847,-16.92959426573932,-17.577403507506695
30,-17.175066122613785,-18.151159075380615,-17.343615934346513,-18.21015341840464,-17.04953320294498,-17.34435895569218,-18.154975548525933,-15.94513388497579,-16.738706352005174,-17.462932538940493
31,-16.487764411094698,-18.151159075380615,-16.302544786227685,-17.535174453743835,-16.573613083392722,-16.033924806902085,-15.562749429437025,-15.587539985557266,-16.103804128753264,-17.462932538940493
32,-16.487764411094698,-18.151159075380615,-15.88425873776313,-17.20484681970542,-16.202990862192102,-16.033924806902085,-15.127174929567301,-14.836296532257652,-15.938385295638211,-16.694148083189695
33,-16.092150718944584,-17.573548310063508,-15.102280821909048,-16.47418727236253,-16.127329526841052,-15.98734705597645,-14.988954931307097,-14.134065966241925,-15.938385295638211,-16.205775655059853
34,-16.092150718944584,-17.167087085282844,-15.102280821909048,-16.351768845506072,-14.505613630144632,-15.98734705597645,-14.060070988404977,-13.685597974660327,-15.538433154326489,-16.010204697387604
35,-16.062743027520472,-16.675421793128315,-14.460954925024032,-16.00257540623283,-14.394140313247586,-15.587634888490753,-13.27487172421894,-13.647840217158983,-14.363929060498414,-15.986921124717348
36,-15.390233385896483,-15.603699611530763,-14.002436508123159,-15.157142963025635,-14.171454512192451,-15.38648574174985,-13.27487172421894,-12.681395445676962,-13.956139237086758,-15.13679636724153
37,-15.25423452968241,-15.250264584655056,-13.911924162334202,-14.775289123613703,-13.988813420345181,-15.151786889280496,-13.27487172421894,-12.681395445676962,-13.477433864810024,-15.13679636724153
38,-15.233652403860951,-15.104302516780317,-13.911924162334202,-14.201174755268669,-12.917881534843067,-13.153903506019434,-13.27487172421894,-12.681395445676962,-12.942231976864836,-15.036631820120196
39,-15.233652403860951,-14.346986947485275,-13.231069633991288,-13.667490519585611,-12.890575617424208,-13.153903506019434,-13.27487172421894,-12.12743365903322,-12.795395979476115,-15.036631820120196
40,-14.535840047713688,-14.168081192604351,-13.231069633991288,-13.623673116352727,-12.371569623383442,-13.153903506019434,-12.712233160299839,-11.942584940240078,-12.795395979476115,-14.929301760448299
41,-14.079333032741587,-13.821828474676567,-12.638365428295073,-13.592374800291637,-12.371569623383442,-13.03463227024665,-12.262043851129352,-11.714559681580564,-12.40431383596195,-13.981395468152106
42,-13.929516723293697,-13.352299376121515,-12.638365428295073,-13.105694108466263,-12.371569623383442,-13.03463227024665,-11.853577354110806,-11.560892787881446,-12.40431383596195,-13.981395468152106
43,-12.927143801403183,-12.895525435029857,-12.18581233508502,-13.092417145442903,-12.001691502869752,-13.003595477492034,-11.408859107395704,-11.560892787881446,-12.26546872566597,-13.617965357494379
44,-11.989749993428655,-12.523382504441555,-12.030116801070825,-13.077189068858036,-10.777091274544198,-12.691933484653536,-11.07122422696937,-11.556746271121787,-11.683764755266052,-12.958906931244016
