iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-86.37963405277941,-87.27375466274609,-94.03610117584945,-88.10092349009533,-79.97155500986376,-81.67460124951444,-86.4106447225746,-87.7153559447174,-79.38131714973457,-84.72606890269131
1,-78.40068040341609,-88.57786470102215,-76.43914391960614,-71.38874726256715,-83.47323078104185,-83.95222432407041,-77.21172719331103,-78.83421871672233,-76.31827513449596,-84.92755087746947
2,-66.6854047970975,-73.97890869705724,-62.64845535715598,-78.4503197301601,-74.35393279990917,-66.62064785844723,-77.1280727272693,-65.31437699314138,-81.45391821205209,-71.37400164703
3,-65.39578914310611,-75.64196170095806,-71.69723728228973,-78.63352608894198,-72.22641209868767,-74.23221889613194,-66.75267868172662,-77.87147829451507,-79.11314342117024,-72.11138154448335
4,-73.69397607341618,-67.75799676932341,-77.25397395319538,-77.78628758628419,-69.73020756185772,-74.65858478093506,-60.18949826835225,-71.14807258111622,-71.58486500940015,-73.74945028954785
5,-70.59630743142549,-78.07272230346598,-73.01489402273589,-77.9182184576866,-68.4702978698364,-65.7930902545285,-67.4477684277606,-68.1117868043464,-76.0902412924286,-75.76847986535776
6,-72.97634467034936,-79.35367820844303,-71.5611482304696,-80.94850503306635,-59.95564475104678,-74.84477245521676,-57.121501520981596,-85.05866615051151,-71.18488324389403,-82.0861498460442
7,-75.91657240758686,-76.83637424563476,-53.61570356054766,-74.36267660888728,-75.35880949779782,-72.2237979864057,-67.18725524976257,-73.52952878771168,-60.72762803790074,-84.52531647302399
8,-75.78657731560408,-69.48958229960952,-55.81120295974154,-63.073582615122106,-69.05874080269679,-75.48398739257371,-65.26397467383742,-66.89431636323319,-68.67384843459361,-65.64330850318738
9,-74.93306464855843,-59.44318526556451,-67.2522378941739,-61.8940418890496,-68.63176179633929,-74.43045302223862,-66.8212859898116,-62.232822243116914,-69.65088770047313,-68.44460143957927
