iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-36.391524694852606,-36.9944913393746,-36.898820611625624,-37.76664957155306,-41.33700146428984,-38.59801642729637,-37.159267227933285,-35.84551670283207,-33.48122924518474,-37.697873797321265
1,-11.38911138400133,-14.497677732128185,-10.111700137257348,-12.485733118304791,-12.383449534780716,-13.54773223024954,-12.769014081992506,-11.596705968617213,-12.590679983357802,-12.80380329924898
2,-7.548054927854675,-8.782730819491233,-6.083879277189523,-8.042070299044806,-6.150439971635292,-7.874300355495978,-7.313843902861459,-7.045549829630836,-7.917139565378302,-7.52936338194829
3,-6.733879787192135,-7.512288107681208,-5.264887914256377,-7.195675398471329,-5.141372859804629,-6.843005375479904,-6.31162976275613,-6.123542922072155,-6.0293997422734265,-5.964165193908256
4,-6.503187104203354,-6.759475772578706,-4.871040439791553,-6.683347826224149,-4.981085506262564,-5.856159174039469,-6.123222681393314,-5.844980958011737,-5.378587792829663,-5.513617740230666
5,-6.3139739572507585,-6.723462584508033,-4.601563587863545,-6.349721425646208,-4.747393136808886,-5.37513817652232,-5.852884193243604,-5.530982043728334,-5.009810251740781,-5.028182716990892
6,-5.915177364729536,-6.0321317970022506,-4.267155560285766,-6.017959759772435,-4.677099885920558,-5.283243253952596,-5.296268019094863,-5.427522261964018,-4.870752206558794,-4.3744957732074745
7,-5.270872294817467,-5.793552017776147,-3.8503166968751503,-4.691909645545469,-4.320201174267247,-4.849163375342182,-5.044904505918877,-4.983786955618484,-3.9999840631341104,-4.002708382345489
8,-4.334096014344316,-4.337099457397944,-3.8503166968751503,-4.073627347083102,-4.180260856537897,-4.11577184074536,-4.1688396816107325,-4.610256657992055,-3.8044548929616635,-3.3043055619643127
9,-3.7367174967731716,-3.953664458639005,-3.4690776131580487,-3.6954774064201246,-3.481955263117654,-3.527924136638317,-3.7922837538055765,-3.6182215830551865,-3.179830836963244,-2.7841082247469036
10,-3.211966422325143,-3.213538956549734,-2.5292413945926295,-3.1883744860946117,-3.0027987488794863,-3.236318358280487,-3.1210633551403513,-3.241625849802324,-2.526137348806434,-2.3979493141644292
11,-2.7625613937427076,-2.979657315915085,-2.173290349533355,-2.393757515635068,-2.287128917586818,-2.6951208358347927,-2.476892234745196,-2.3307869447919782,-2.3510725573586555,-2.194538281878291
12,-2.0423480603647537,-2.4995960363263547,-1.3567425168704517,-2.0344425981417045,-1.3567143236804857,-2.0025092515018605,-1.936518213131207,-1.592783237418841,-1.8185660095530096,-1.7478607980577323
13,-1.830333397880984,-2.097271885657498,-1.2805180422642863,-1.9690847409670877,-1.2127828988299223,-1.7519832640669732,-1.713238427350156,-1.4501821253860148,-1.4951130381128845,-1.4449941181350536
14,-1.7734690759722715,-1.962220018309036,-1.2692752783868826,-1.654866712568169,-1.1169300056789373,-1.6352338592445843,-1.6084356681092093,-1.4034334826508361,-1.4042118939885637,-1.3215226227523
15,-1.6087037509606303,-1.8799541981064107,-1.2066395345324057,-1.6023475965405103,-1.0839618409734955,-1.4141851195677646,-1.5544754798441451,-1.3184777988728138,-1.2911947127086245,-1.2563306549074142
16,-1.587671569185365,-1.7391895145895226,-1.1768162294157078,-1.5659711210235443,-1.0384143432362418,-1.3382083663032724,-1.5144461475444038,-1.2753413334216397,-1.266602950488339,-1.2466700367375931
17,-1.4843941853378706,-1.695580352411307,-1.1705698407945146,-1.557985164197373,-1.0362891444780287,-1.3382083663032724,-1.4721891486480156,-1.252356064126352,-1.183638382048748,-1.2157963746064417
18,-1.418050664334607,-1.6609831947407399,-1.1065935104986524,-1.557985164197373,-1.0350441191915847,-1.3084682521092028,-1.4517639789911323,-1.2262128120196505,-1.1465422335111215,-1.1900046814374092
