iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-86.37963405277941,-87.27375466274609,-94.03610117584945,-88.10092349009533,-79.97155500986376,-81.67460124951444,-86.4106447225746,-87.7153559447174,-79.38131714973457,-84.72606890269131
1,-11.38911138400133,-14.497677732128185,-10.111700137257348,-12.485733118304791,-12.383449534780716,-13.54773223024954,-12.769014081992506,-11.596705968617213,-12.590679983357802,-12.80380329924898
2,-7.679464444959273,-9.09861814627828,-6.083879277189523,-8.198917106373152,-6.178187950016421,-7.92021106595228,-7.313843902861459,-7.221021799108129,-8.27378798780364,-7.52936338194829
3,-8.066043173893647,-8.791692725979225,-6.170006254125948,-8.167278651860283,-6.605733692502991,-9.120086255248657,-7.682694291542663,-7.895161940653979,-7.177371965313304,-6.987411269070412
4,-8.716349962151792,-8.63913680407361,-7.6676753302005505,-9.2644151808108,-7.215556602060048,-7.584033302128435,-8.594819153366881,-9.22354765467814,-7.343578834001265,-8.311596927335458
5,-9.406153416144612,-9.382964722409577,-6.691155398373012,-9.257937739130117,-7.498419459445076,-6.857492643085788,-9.123996173800645,-7.74786769138513,-6.62009766059728,-7.561809302219767
6,-8.55047033210372,-8.012008634131153,-6.171956573473244,-7.724239487601978,-7.344057827245799,-7.6651772041446025,-6.595816532154737,-7.663806316460139,-6.363767430240834,-6.5530167400995625
7,-6.643009931946258,-7.598843863799578,-5.314288265501773,-5.948597411367296,-5.904476292212349,-6.0644081389086555,-7.60520154602468,-7.392876899753857,-5.146902364154254,-5.610233720603656
8,-5.569127181701178,-5.385525668832258,-6.182797399802965,-5.088002979374815,-5.717243927360453,-5.960648686251835,-4.731471608840948,-6.228322425441805,-5.5077168100824725,-4.361693928788957
9,-4.685127972164173,-5.403079593776673,-4.683272727374089,-4.3994893959009955,-4.090581419915139,-4.391515342138398,-5.023108316781876,-4.764746944188735,-3.693699771029512,-3.5071003949048807
10,-4.160735845041112,-3.8156655580203194,-2.958749095608203,-4.33845515152418,-3.934650407107361,-4.581586907474115,-4.108864537243402,-4.187413450432107,-2.955988915440026,-3.0484999064992264
11,-3.3221943896874366,-3.499999050099605,-2.684808768418094,-2.9060650883843264,-3.0467774118423554,-3.3092326679361177,-2.65755502758621,-2.5756194360066997,-2.9169203991808894,-2.8074583818571677
12,-2.256190446999569,-2.64985472149941,-1.5476034259238742,-2.2648953495673996,-1.4724138308817427,-2.375028908641374,-2.1817822365231248,-2.0045876988362994,-2.2341363685581666,-2.126155967333548
13,-2.8247786951109894,-2.8056601345195373,-2.143404134391242,-2.653706275793269,-2.0247520491168776,-2.308455900994419,-2.269812772001873,-2.3123036346371535,-1.8867000651825943,-2.1906395973698225
14,-2.5961643828355667,-2.391673184336254,-1.9629610507485193,-2.0585886350689293,-1.9310328802669574,-2.4171846261048455,-2.234834703016735,-1.9499525191619556,-2.012670083462277,-2.0496192647426623
15,-2.1301939600480475,-2.553355115066922,-1.9119581986189578,-2.1742827620883,-1.8474378704820578,-2.034534855929711,-2.141224867732501,-2.0016942010235805,-1.8317600122887483,-1.77074130115457
16,-2.214619756397356,-2.1056895380993046,-1.9313656741739216,-2.2519315210294657,-1.7596604889913459,-1.9297632831475626,-2.205317608911296,-1.8259252750174775,-1.7460169989510548,-1.9590151892219314
17,-2.066922358513627,-2.332718080490773,-1.702771670066259,-2.3031023304585303,-1.7231029868784722,-2.0640978277812336,-1.9842147976003421,-1.895063771148503,-2.0506476055903082,-1.6265265363739567
18,-2.04637904031484,-2.196165344424128,-1.6310033141124092,-2.2048697123938266,-1.723619946730771,-1.8903471220852213,-2.0940372614698886,-1.8197941043867019,-1.7428329044521393,-1.8085276541784536
19,-2.2369175391757765,-1.9743217015036527,-1.740145659853082,-1.9554843299573363,-1.5193691706930412,-1.7607021961705946,-1.649366970850636,-1.872225945051352,-1.6915062937843741,-1.7162077691899695
20,-1.956195177740539,-1.9176693667838869,-1.7158348483878991,-1.9057125915090223,-1.5145626141080266,-1.789999491697414,-1.8634863525345644,-1.6853413274989983,-1.6565998480196755,-1.5665584349242172
21,-1.6599922111615908,-2.034581993751692,-1.42453315543391,-1.8113258647600237,-1.5425472311781392,-1.7449761402088826,-1.838394597476961,-1.7800016565957881,-1.5530257907983025,-1.7063308608633527
22,-1.6381207728643103,-2.0244528757021145,-1.446085775801901,-1.8967946712112695,-1.4671317844510712,-1.631154561274003,-1.7901485273497333,-1.4296723561731859,-1.5934122664058428,-1.483143719385221
23,-1.681541494993573,-1.933852407354398,-1.4109692878947009,-1.7471795208220635,-1.3654231268143697,-1.6737554394111709,-1.654340710204061,-1.4439464015110777,-1.421281905701074,-1.4501378262363795
24,-1.5729016044902617,-1.8354737309368558,-1.4504459598758284,-1.6337313803102516,-1.357265567943025,-1.4949701147166978,-1.503625748070235,-1.425742070630227,-1.3864081840204256,-1.4045708362527294
25,-1.6106154817928773,-1.8515862884475944,-1.331988340191822,-1.5379285613030085,-1.3415454346214262,-1.5530862566416435,-1.6114756087521713,-1.2702309153048368,-1.2964470679090632,-1.4081629909255267
26,-1.5436649169358043,-1.7291694362295638,-1.3419069532618657,-1.5615706164421501,-1.3405158903758407,-1.5959161421453825,-1.5738641076556745,-1.3825924924175452,-1.4208388576510902,-1.3506711127800055
27,-1.5450825999777296,-1.7932017272579899,-1.507878463857415,-1.5031571146935956,-1.2744242120166922,-1.5389585050873316,-1.5596758654309348,-1.2843416834044492,-1.3833540772956754,-1.387358076981792
28,-1.5961409503258481,-1.7845372999332347,-1.414368510396464,-1.5815350513439292,-1.359590342616482,-1.583872545390782,-1.595598317962816,-1.3712303533834178,-1.4187346474883262,-1.33494974213782
29,-1.568803348428543,-1.7154495658228015,-1.364002471908349,-1.5047047273856449,-1.3364667162342057,-1.5741200282402603,-1.573815924060089,-1.4530936144923254,-1.4136667494249717,-1.4482224496824228
