iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,204.91510099208364,214.5497355021899,215.9320709268032,211.07232844994107,223.1346441893433,210.8620256390239,213.81349804005822,210.03509387183584,207.59096733645814,215.25045370301928
1,237.96874367565118,231.69009764678208,227.29998721268743,233.67729606029627,241.3068888947596,222.9166396402145,254.8605300165679,228.60456220754952,223.24694869135695,231.91448528085377
2,263.3961166308594,252.80832372655087,253.68699485569311,256.95354193751245,255.32776271211904,254.08912175079914,266.02054348531203,236.59455526071298,240.65787477450903,234.7122281506609
3,275.2038211411809,264.09565339186304,272.0161188144551,268.79852957171227,262.5306500387121,265.2277429257445,272.7341652439626,241.16576112046656,254.03352242948347,244.60107160758872
4,280.43460747724794,272.3724961551827,274.8414432829661,269.5802413348049,269.49388135626606,277.3991049754569,276.4674756589184,253.74546107734136,258.61214560374754,253.94613832961323
5,284.10148214790377,284.48411567719484,277.70794912189524,275.63413611566233,279.0924491337525,283.4360089503466,281.85287596426116,256.45242508155087,265.1937366069824,268.5667560223767
6,292.9202770401379,303.0745231275789,281.24013535790994,280.7062944992291,287.4702001051065,284.70253294203883,291.7880271344958,259.7600840302319,272.8421525446625,286.3541702036757
7,301.9620477523903,313.5804011852405,287.35291671973704,287.6459327648838,295.52728541216055,286.4169420005599,302.18212907487685,265.3752184619615,273.01228772894535,298.9220022909418
8,308.0296260571134,320.2407072231201,292.7116661521694,297.4899770215303,306.83171763355307,289.5956398027881,307.9061571399649,273.9794475834146,279.10337636273243,302.9408046936045
9,314.3739923904588,324.3920087562435,299.1809093270464,304.36178938068997,315.0257066334908,299.0908683809653,308.59397661013975,286.66947128589544,283.0384382077199,310.2073891541687
10,320.36270515184697,324.5107237999174,306.98622646537126,306.8296925519584,318.39772995592364,304.9281716539664,309.8923481531172,290.9939396535716,293.5325924675841,311.4456873124235
11,321.91216373670204,328.13254741522826,308.5517290294163,308.71697937491547,321.6754634585048,306.43782949031765,311.7154096279393,297.17457010711604,304.163498494393,316.75864132012754
12,323.1551708798661,328.4561523467654,312.6299813383347,312.15789518671727,327.6922610184051,309.46671019101586,313.5560885779204,298.6341755026972,308.8032499650149,324.64122674239303
13,324.78954317185804,329.8234262681594,315.27435835539853,319.41339097843917,331.74274352172637,312.40114408871295,315.85961525977496,300.22065366516597,311.98938476524296,333.2333664556331
14,325.62526456738954,333.0950363163728,316.2875754458213,329.2924690348094,334.31409976079874,318.1957234503141,317.49537290632634,300.9018274508989,313.2980106452228,341.2228631706454
15,327.3503439042782,337.72485920606607,317.0691699012895,330.9354803830422,335.8856167761242,324.1171227635938,318.9525207450646,302.00809269213954,313.6801634483933,348.80822205071877
16,330.8631854847694,339.3618080755525,318.4279786644506,332.8262936440859,338.21975280086167,330.1133512549699,321.6434424991607,303.8436182777782,313.6801634483933,353.878502518388
17,335.6628069383199,339.5289167361259,319.8004442546018,334.3655693076132,340.85620777363414,330.1425566264455,323.85338175546406,306.5456731960027,317.24506978202317,358.1551989032512
18,338.30173366139314,340.90729406307156,322.43338703141603,335.79354034204385,342.38830593637636,330.61110853571097,324.1415281400847,308.3952395663771,318.43585721523954,360.28227927011585
19,338.4094775541994,342.89868135828044,324.7848525422469,337.1362080131555,343.96336951242097,331.977878836999,324.9795267847819,309.8154085502399,320.55031756682666,362.2496683857314
20,339.96292378739173,343.47063520698714,325.3180714935344,338.7795834437967,347.7414207422522,332.93066135830423,325.9492163280396,311.12970901475717,320.8176441265698,362.9546319703999
21,340.7094985036056,343.53183844565035,326.99584761473443,339.68272618361584,351.18629858091015,337.08666165745416,327.66694874933336,312.2865906827519,322.1731687004816,363.0732952503749
22,341.2891719209289,343.9501759185611,327.4810295356649,341.93490819554125,355.10662954866933,339.08800316082767,327.8459222555007,312.4902351546565,323.2215965034708,364.15922920806236
23,342.6998104055971,344.1453086305166,328.971428236415,342.802352925591,358.75617272235127,339.41963490111044,328.85569543864256,312.7860744527143,324.0902562191245,366.45867127832014
24,343.3838574737265,344.5406860443889,329.44500149884544,342.802352925591,363.1344109199816,341.0776025849335,329.2829438360311,313.63373744681894,325.63774998018215,366.8031586816886
25,343.5135555275211,344.7327395346863,329.593957387537,342.802352925591,367.0099633592839,341.96977925110224,329.6360248467105,314.25677352961804,325.9980614738634,367.82931623166013
26,343.6347169341843,345.1214747008609,329.7580696215107,343.2168168998585,368.4205837606527,343.4075756890045,329.7765850499422,314.9762623372577,326.9222393456015,368.8223439177686
27,343.6822493539375,345.48427057011565,330.2007447801626,343.6622367967783,369.23892265662533,344.38703391540156,329.7765850499422,315.52660905053176,327.6318685104826,368.983647435492
28,343.85927125770274,345.62660662589013,330.26477856127207,343.6622367967783,370.12347657158034,344.54382154422734,329.7765850499422,316.3297340143412,328.64067924864304,370.1442073579352
29,343.85927125770274,345.7336758311666,330.4852479628117,343.9190568005799,372.48229089282773,345.17474623743783,329.9698490652926,316.3297340143412,329.23206027290905,370.82772516942794
30,344.1948677876582,345.7336758311666,330.6528987683623,344.01533996725914,373.45816754149666,345.17474623743783,331.0130767331427,316.8425634038744,329.6121249979483,371.944322031478
31,344.8774421319632,345.896846081185,330.6528987683623,344.99823724859135,374.0364834191089,345.2658959817053,331.1048385348637,316.8425634038744,329.6550082521785,372.1682382085217
32,345.23490264230156,345.93456367489364,330.74278906780967,344.99823724859135,374.8537969741003,345.4753308793367,331.1048385348637,316.96608119397206,329.9444151168026,372.6146281372072
33,345.42423581597234,346.10444231756424,331.286434111983,345.44106858992,377.0687405756405,345.6170963986217,331.14101820996245,317.3186769983232,329.9444151168026,372.9056351460721
34,345.96902001312253,346.35046945838064,331.2908248178585,345.61388460138556,377.8092918685319,345.69543683174567,332.0169439008692,317.5437226453496,330.26876288189305,372.9056351460721
35,346.37459340208943,346.35046945838064,331.2908248178585,345.61388460138556,379.1128104261175,345.746933828018,332.0169439008692,317.6704344227457,330.6276239330892,372.9467052776554
36,346.4199840670191,346.35046945838064,331.3441766763599,345.628599478786,379.60932676484083,345.746933828018,332.17998684871395,317.6757937832373,330.6276239330892,372.9467052776554
37,346.58438837054314,346.4471880733592,331.4667412699208,346.0352852729029,379.7876099073482,345.8373942162986,332.37262714374947,317.72093686353674,330.7414970362129,373.0380231607945
38,346.58438837054314,346.4471880733592,331.4667412699208,346.1017517339754,380.6024675108364,345.8373942162986,332.37262714374947,317.72093686353674,330.77111954940904,373.0380231607945
