iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-4.09763291298299,23.134985513332182,-1.5476591747362853,2.0522260091516387,65.44485618734103,46.37774011837067,28.73942040285789,33.41797559130794,38.73975660982343,14.361105324412165
1,231.9366164737021,208.6871259373396,209.08821278505803,215.1751933260894,227.5090562736275,196.83690166118186,240.96381416376738,212.9072463461186,200.76504756362948,212.667922437863
2,238.3656839568933,236.04922084247818,237.91064136949984,237.5077634876828,234.19721671274783,247.16772055196387,245.40805146549098,199.63203814137077,228.10479984053654,204.35355935436678
3,256.4152073348806,249.78618676600172,255.2501175936879,236.42667728392803,237.25541501824142,244.74604066098175,244.64376960324574,212.60256146808783,241.59122014946112,210.81841822454606
4,250.74514932512312,249.86949715728764,245.41148940153127,236.78660495031522,241.78807391026453,253.09922003806167,246.6323888899443,247.5713192802619,222.6556746781659,230.44790822447126
5,268.0625844901597,257.99245470571816,242.81909031616243,251.27268347176553,264.10392573697914,277.9887266317383,255.28987855461466,235.43594877777667,223.06627261639767,247.70944839712814
6,289.75889408107116,293.9914297978388,256.1667694517608,250.63138361788515,270.47101167742517,260.15787395265863,279.91356299803476,240.04708752081459,247.83404491854333,278.4085820227347
7,283.7472211447433,287.0536583894675,273.12509010788455,266.26858315916417,276.47308518145593,253.48192695182405,285.7970202013894,249.14904569084104,236.96702206471116,286.668338887559
8,293.4202771705164,303.68181220303416,269.20862598602434,285.567905277748,285.4813254228812,275.70431642516587,292.15265892636717,259.9873998666854,257.55440548617594,273.22501181654616
9,301.34795823850106,298.3756677481508,286.72710931926315,284.10352344128324,304.1675347383102,289.0847029191491,285.0811300786597,273.8368733698958,270.8614732825221,293.73927984403736
10,302.4245732687192,302.9096710209416,292.9521719521035,289.5081980788392,300.89996190192363,287.84961104447314,291.2588657768893,262.1931891936668,280.6313707907494,295.0557148206518
11,306.970238676537,310.74276919303765,288.6244777722729,272.0791807615438,313.70291993403197,287.5240830033216,291.91909646279873,285.41779930038376,288.1964189976968,296.32019321656156
12,309.5625749356647,309.4011042108962,294.7076208968907,296.6402640198036,311.85903591981787,295.57746894349384,292.18261855739496,283.81322501279953,287.753282839095,306.65416553210036
13,312.9184011711151,301.7602171679352,295.5843474257701,304.95642412460313,314.7960284554699,302.06917131932767,300.0857058459304,285.6407891238201,292.0167785916986,325.89814948782447
14,304.48462102589673,321.62740122122545,302.91281342117315,321.07706529502025,320.55705079027996,278.5504387623729,302.04572043561376,260.94029351534965,291.3546296066305,331.53122400750146
15,318.8360592633297,322.3306357921108,299.81737193497884,306.4558084346012,320.52822728877516,313.7179730179787,304.0670988215934,282.4782423597784,291.6036708136575,334.4111158925458
16,313.50372090556345,322.1759555842752,299.3223839644686,314.5113591250124,325.876326094281,319.70502928349606,307.2994002554341,288.3062532202225,295.1435695818255,339.5196385904319
17,313.5972270817178,321.6040442216913,308.0096025703484,316.6666343083756,318.66379816353674,309.92725069989854,284.07101880350814,290.36596984853713,301.710284700137,342.5912396672631
18,326.00846276300774,310.36248450715993,312.12607635299605,315.3369181997013,326.08227225861924,302.2178056253064,272.83635674548816,294.75573968840627,291.64676025774907,341.9759134641577
19,311.2268871505486,321.02771750249724,310.1815112897141,303.34850125433184,329.7948759400748,308.3506743613592,274.91640381964083,289.35225727780494,310.6773609871161,346.9147680855177
20,309.2954331527005,304.79681613194487,284.46248362799815,315.0885845430032,335.1767398763203,325.8110612573374,296.2422209420306,270.9366592382953,287.9028055840923,347.08150673454975
21,304.1565071892173,305.97080416147236,260.8832381424078,299.8441116198337,317.84941980714336,327.8145852386209,286.887514278424,295.9039684363233,289.87310135407233,345.2974384121082
22,321.10459416584877,302.61002780194406,292.45186551006503,320.8978456031807,340.5747952411863,316.7573200942468,280.0131339248302,287.87958174701294,268.7131958133257,349.53439669099055
23,314.45128924632115,327.6757937408064,265.2384314948426,305.9733761374122,343.63900178579235,300.1988405465542,303.28061745084415,276.6766762842805,272.10252394842746,353.36514357466353
24,327.28557045858014,319.1549787812476,256.12683113668595,277.4558132941569,335.33478038244573,327.54963663263914,286.87574628646445,263.9155873506749,261.5134533130782,351.9073311572906
25,324.0813726063491,308.29703172685987,259.8119666308195,279.7034075855343,343.3597829515928,308.02662129634217,294.10609977190586,273.61459754821544,284.506703582448,360.94511530100016
26,309.1213242813168,289.04642491143164,284.18329689289556,300.37195153461164,328.89102389000664,323.7478150480708,232.51929508554414,275.487160166645,306.34165359889516,357.347278197867
27,292.9114651097058,260.48920487589885,251.07405447834236,324.98468360443144,328.1999360754367,294.1232774753528,282.715232569862,280.8916618388786,261.7749163850098,352.5457443485984
28,331.0189181574104,298.6216000275898,261.3938379590928,232.20465304301166,336.3223124455777,273.0918643323781,268.33322443727604,270.35871881246226,261.76018390484955,358.29473412492126
29,295.28144422281065,281.8710261960351,221.54124123041177,254.81009337605246,353.04952856492014,311.3246981797069,291.482974718284,278.2623983232652,250.7884582148829,344.35117302880985
30,289.1511452394325,275.65683349091097,293.8473018456176,240.68858591855695,343.0475456409076,307.7718617379462,273.61694162558763,266.82282818745335,255.72704699961997,350.88219274550306
31,315.0185435919642,234.736472594859,217.98033494448748,281.51051111056324,340.91709393653787,331.1980407507319,277.35154608047424,245.2413644978455,282.95141571807613,342.5601417743194
32,279.4295783420657,277.53477500408997,244.59327861356041,279.14613598367134,360.29234102191117,312.66047069836503,204.61522797206493,232.03177642412584,254.72572503877223,349.7017479431228
33,264.0142443979797,243.19073404112993,272.01134619737786,268.3556897255849,359.31975365474034,297.249759547744,243.22936597602077,264.4794863552163,251.08414454787567,343.0739216041118
34,274.83079828131724,263.73527962461446,256.5913420962944,268.75719598427196,361.76807058981456,280.2636434843242,262.0582179351306,199.17999877949705,244.10964741085206,349.0794084169212
35,317.74283911281645,223.31175364492003,195.5824196806014,251.19594912305456,359.7512884336861,253.32214929538344,262.97744506330787,259.9894021796814,229.15040974430428,341.45261296690524
36,277.98717145339435,279.5746248919825,248.35615380350018,289.5312910671031,324.2628224979885,292.6043592571582,268.9111623273199,233.99385379309743,258.49588800256583,307.65950514897406
37,265.40743053957374,239.94274833552936,200.87456788230662,258.83850770296016,348.339713513485,290.12725538123254,262.8221961247538,296.9667760365852,249.2274595381068,350.9096056870751
38,253.57469934706876,250.16161871634222,237.92677768337563,290.7888173848184,365.59864767278833,302.75875882000014,253.42041047819976,273.56477056724464,270.6780487083321,280.60316931663345
39,285.64922057729393,310.6199221473714,214.67328252407793,202.54415472653346,335.84133245111775,260.9225759139176,255.39354240614688,260.91104764451865,261.33111066074326,277.77594445801685
40,234.33150871227298,274.96567156147694,253.91234337162643,231.51246364463395,343.4114524188236,263.064078792176,264.12569130372685,260.0565570202548,275.6812846667291,283.76713200649266
41,315.7320374467985,264.6879265223085,212.64704330902046,264.3581546548455,343.4194638946258,200.33455715999722,281.1787954842584,247.25718571576914,259.1267527800081,333.675869975345
42,277.47444530894415,253.0333697328956,244.65457639747018,182.9760894222178,351.3770336452018,272.0392424960561,303.039843956485,252.2507446785866,249.46705096579336,315.50686459052145
43,252.88891686860285,219.4586610123747,174.41125749488185,242.95221584317335,357.390514436057,280.2765780889215,306.8763827722312,252.584309757636,237.96185490378025,280.3467750373733
44,247.91761722335556,280.572101224652,249.69881594631016,245.01353291387036,360.3316675529719,248.44991521552296,321.78579100886583,275.1361940611335,233.3854689879119,314.54195739130114
45,242.13084633897444,244.17171603219091,255.0429977258924,210.60690744561145,346.1068856963663,254.89323882731227,320.06925817118054,256.8154380446527,272.4251011187852,299.6767046940206
46,254.41743665024705,230.1088394433342,269.3863181726008,215.89565786027762,365.5380271784769,257.3674774717638,319.71698948795324,264.14488850358157,278.3682741336218,276.26033821298347
47,256.986871323422,242.36422257273733,237.5938127727764,213.65007418032314,364.6205411695745,254.57761389625318,324.88872772067975,266.6721282846509,268.78379873949535,265.1967024093476
48,299.2344014829298,255.81303902121093,261.98725280785186,233.76913005326378,360.6204686010742,227.36780358366192,335.5972809451446,215.7991689408788,247.42807136445697,268.4273460950461
49,283.6763241760462,254.13107579671225,290.85690411342387,261.43322141094393,321.7511146017397,229.8167841638796,315.533181521471,212.48131741601495,246.44175796032934,292.167196273685
50,266.3672796455942,251.57693961662383,299.2814867020554,274.0971634579364,347.50305327327874,275.08682276407666,339.69086593990664,271.0837915390685,217.75257809737104,242.6135286646525
