iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,204.91510099208364,214.5497355021899,215.9320709268032,211.07232844994107,223.1346441893433,210.8620256390239,213.81349804005822,210.03509387183584,207.59096733645814,215.25045370301928
1,207.0582739645376,217.19727972842932,221.26643920778855,211.72391769769996,223.1346441893433,211.6057447441203,213.81349804005822,215.9659604956673,208.84900087884674,216.61502326890854
2,210.52601226275925,217.19727972842932,223.9178855234299,211.72391769769996,223.1346441893433,217.39754544805947,213.82638942247235,216.04395116128347,208.84900087884674,216.61502326890854
3,212.85117293644552,217.19727972842932,223.9178855234299,212.12130038814726,223.1346441893433,222.59941855268482,218.30547951413092,218.8898271219035,211.55546980852654,219.3181770524962
4,213.03254053803178,221.4360567360526,223.9178855234299,215.02338423721557,223.30311043045003,222.59941855268482,218.30547951413092,218.8898271219035,211.55546980852654,219.3181770524962
5,214.5765282982039,221.4360567360526,223.9178855234299,215.71101263535206,223.30311043045003,222.59941855268482,218.30547951413092,218.8898271219035,211.55546980852654,219.3181770524962
6,214.5765282982039,227.20730383300588,223.9178855234299,215.71101263535206,223.30311043045003,222.59941855268482,218.42831519845765,218.8898271219035,212.07260489951398,219.3181770524962
7,218.27803380697532,227.20730383300588,223.9178855234299,217.87656947816257,223.30311043045003,222.59941855268482,218.42831519845765,218.8898271219035,214.01996942792792,219.3181770524962
8,218.49538614054595,227.6944876284237,223.9178855234299,217.87656947816257,223.30311043045003,223.13446202801163,218.42831519845765,218.8898271219035,214.34087608247802,219.70474029791345
9,218.49538614054595,227.6944876284237,224.6127510519069,217.87656947816257,223.30311043045003,223.13446202801163,219.0577284145267,222.7427599106789,214.34087608247802,219.70474029791345
10,219.37835037011277,227.70054816145165,225.947234779285,221.26849356428983,223.30311043045003,223.13446202801163,219.0577284145267,222.7427599106789,214.34087608247802,219.70474029791345
11,219.37835037011277,227.83175661350134,225.947234779285,221.9518308162818,223.30311043045003,223.42648819791597,219.0577284145267,222.7427599106789,214.34087608247802,221.0736925435806
12,219.37835037011277,230.33940310366972,225.947234779285,221.9518308162818,223.30311043045003,223.42648819791597,221.6027955364776,222.7427599106789,214.34087608247802,221.0736925435806
13,220.23613804254862,230.33940310366972,225.947234779285,221.9518308162818,223.30311043045003,224.6960710941477,221.61518820415844,222.90852549843683,218.13949128353119,221.37828251789898
14,220.23613804254862,230.33940310366972,225.947234779285,223.45402474484882,225.44994767640156,224.6960710941477,222.12855140926285,227.047384154028,218.13949128353119,221.37828251789898
15,220.23613804254862,233.53958099072014,225.947234779285,224.17387743293574,225.44994767640156,224.6960710941477,223.7462781869127,227.047384154028,218.13949128353119,224.603873842309
16,220.23613804254862,233.53958099072014,225.947234779285,225.81123612729124,226.41300670796795,224.6960710941477,223.80987186380912,227.047384154028,222.35542723461043,224.603873842309
17,220.23613804254862,235.88549220596371,226.5933526913745,225.81123612729124,226.41300670796795,224.6960710941477,223.80987186380912,227.047384154028,222.35542723461043,224.603873842309
18,220.23613804254862,235.88549220596371,226.5933526913745,225.81123612729124,227.26940046994048,224.6960710941477,223.9968817505302,227.047384154028,223.0194101633028,228.7635089582437
19,220.23613804254862,235.88549220596371,226.5933526913745,225.81123612729124,227.26940046994048,224.6960710941477,223.9968817505302,227.047384154028,223.0194101633028,228.7635089582437
20,220.23613804254862,235.88549220596371,226.5933526913745,225.81123612729124,230.34882304632765,224.6960710941477,223.9968817505302,227.047384154028,223.18863955514792,228.7635089582437
21,220.23613804254862,240.85526712145813,226.5933526913745,227.03208652370205,230.34882304632765,225.74480535400784,223.9968817505302,228.66615754104754,223.36059088087256,228.7635089582437
22,229.4308997318299,241.95784108166066,226.5933526913745,229.84542820311216,230.34882304632765,226.03626204879913,223.9968817505302,228.66615754104754,224.1509632224217,228.7635089582437
23,229.4308997318299,241.95784108166066,226.5933526913745,229.84542820311216,230.34882304632765,226.03626204879913,223.9968817505302,228.66615754104754,224.1509632224217,229.17386024016633
24,229.4308997318299,241.95784108166066,230.76324745889156,232.15606643792668,231.09592745445275,226.03626204879913,223.9968817505302,228.66615754104754,224.1509632224217,229.17386024016633
25,232.0629864749535,241.95784108166066,230.76324745889156,232.15606643792668,231.09592745445275,229.5421623787335,224.7431866529123,229.22770345487555,224.1509632224217,229.35024028926836
26,232.0629864749535,241.95784108166066,230.76324745889156,234.86285744730932,231.09592745445275,232.9346555404577,227.684619216687,229.22770345487555,226.0278670079806,232.89549489073303
27,234.3118467335172,241.95784108166066,230.76324745889156,234.86285744730932,231.09592745445275,232.9346555404577,227.684619216687,230.9662390909968,226.0278670079806,232.89549489073303
28,234.3118467335172,241.95784108166066,230.76324745889156,234.97622200586594,231.7920614452712,236.14560992859435,231.0661137256136,230.9662390909968,229.68950075701994,232.89549489073303
29,234.3118467335172,241.95784108166066,231.76316773896627,234.97622200586594,231.7920614452712,236.14560992859435,231.89917608848333,233.7357826154838,229.68950075701994,232.89549489073303
30,235.22308869510493,242.85799216101123,231.76316773896627,234.97622200586594,232.66266998862568,236.14560992859435,231.89917608848333,233.7357826154838,230.02653919642967,232.89549489073303
31,235.22308869510493,242.85799216101123,232.16792864717252,235.50600207819576,234.45966281650016,236.14560992859435,231.89917608848333,233.7357826154838,233.33175839794075,232.89549489073303
32,239.84199677947282,242.85799216101123,232.27869531982583,235.50600207819576,234.45966281650016,237.02438549556277,231.89917608848333,234.5630945966828,233.33175839794075,233.25041039946234
33,239.84199677947282,242.85799216101123,232.51779463344116,235.50600207819576,234.45966281650016,237.02438549556277,231.89917608848333,235.30139254065534,233.60133878949293,234.33181634664444
34,239.84199677947282,242.85799216101123,232.51779463344116,235.50600207819576,235.07412150243056,237.02438549556277,231.89917608848333,235.30139254065534,233.82731193410754,234.33181634664444
35,239.84199677947282,242.85799216101123,232.51779463344116,235.50600207819576,235.07412150243056,237.02438549556277,231.89917608848333,235.30139254065534,233.82731193410754,234.33181634664444
36,239.84199677947282,242.85799216101123,232.51779463344116,235.50600207819576,235.07412150243056,237.02438549556277,235.88476222102634,235.34134265267872,233.82731193410754,235.96281118591713
