iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,204.91510099208364,214.5497355021899,215.9320709268032,211.07232844994107,223.1346441893433,210.8620256390239,213.81349804005822,210.03509387183584,207.59096733645814,215.25045370301928
1,224.2599801161196,227.09360480600765,221.5921094611591,218.6879765473406,227.9928011057716,219.77363696550094,231.12624823896107,219.48670781498487,214.7798697404068,221.21519779911264
2,229.89321847536542,236.58638449796058,228.96845922914144,221.26188345044062,229.6799815058492,227.25050291899936,235.7692029730885,224.57834957892123,216.63763926745307,225.99067052842048
3,242.25346184201035,239.07596355454615,233.48117193965822,224.97688911585664,233.09469024266633,241.77179574297813,238.0967228026535,227.59072528518084,221.84570936846004,227.4386126008019
4,246.0593201699362,252.52436551507157,235.44078853298177,224.97688911585664,245.82245341029417,251.03267067392494,240.24885884217156,230.141602419121,221.84570936846004,227.4386126008019
5,248.5133983398783,257.0248900008804,240.89639810728755,228.30712584035882,257.54998718927294,260.4170355174266,244.54039523602756,233.93662322181294,226.45313532484215,234.4440947738368
6,256.37612626279775,263.0926280165515,249.61318665269525,231.29842689901196,258.06472794103115,267.8789389808653,254.89998066231885,242.25895113784853,227.72160104027068,237.437143793098
7,259.58982506479526,267.98811806173035,260.68944624330675,238.44420354932612,266.06361744717447,272.7189094133495,261.1869305781891,242.25895113784853,228.74952729031364,244.38711305659228
8,265.2245081422484,270.40525630486206,267.2124282272184,242.57092165082713,273.8595632448363,276.45324785803246,262.70428372016585,242.45342658021238,232.02988067193803,246.44823841931986
9,269.2088295081563,271.86948703459285,272.4914213179749,244.76683531208963,277.05985277726774,280.8256082058008,280.9997293977767,245.65414443022067,233.9683586706525,247.40589099722422
10,270.68499769381174,277.4001997464421,278.78313014656845,255.23135397195898,282.90090773306054,280.8256082058008,288.69758986320835,247.391430058457,238.29645488522686,253.9156464985025
11,272.37148042094066,281.175712887887,281.93371498210615,258.0718070136829,287.40354549308137,280.8256082058008,288.69758986320835,252.2504664910446,242.44871570096274,268.7461082890543
12,273.3199032345028,283.83143058395484,282.0526241434486,270.6811196280394,303.25706887466197,283.68547550031053,297.65819562607226,256.64595114827586,244.70913330496813,283.01564198043883
13,277.8705188550718,288.21604452804286,286.54622417458313,273.96935908813947,307.88667851340153,287.6690567890761,301.91015546288224,262.3489237243897,251.40318292009118,302.1967294858966
14,283.02063314778314,289.8303804171322,289.9863609395005,276.92609456044977,310.3527488952714,290.7293446750737,301.91015546288224,262.4499621353799,255.21974819168773,303.43894178422175
15,285.13510088316104,290.5604035090085,289.9863609395005,277.884528649173,312.10061748865473,292.4875648783772,305.21627044187403,268.70149401769197,264.3478659856485,304.49235752394316
16,294.42935013283113,291.7019948525887,290.04890417446387,280.49729534917753,317.597012898602,292.49790148635986,305.41890706372374,272.89600072600126,264.3478659856485,308.24221188061756
17,298.44567904854273,291.7019948525887,291.7860500212321,281.5002256473124,320.90173628348134,292.49790148635986,305.5092154145195,274.44331105226115,271.972698163043,310.70134598068864
18,298.44567904854273,298.89178066564034,294.8832582979753,282.331037441841,323.31296755692534,294.64447012009794,307.2684832727879,275.3836077881447,274.4776339015675,312.5040362513969
19,301.28564999117447,301.3656506478255,296.71009953944224,288.5272567810103,324.87501113171123,294.64447012009794,313.5280413440886,275.5371988017723,279.7145943793891,313.73007659799913
20,302.4740947274372,303.3034574521213,300.7944520971214,289.4925539877649,324.87501113171123,300.01514941996913,315.3832750491291,276.5508505180566,280.69047033897874,314.30941247224507
21,309.221323896596,312.5505037804438,301.0403962411527,290.59535564968553,324.87501113171123,301.5533391556873,318.5224433001472,278.2673239409652,280.69047033897874,317.20819894368015
