iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-4.09763291298299,23.134985513332182,-1.5476591747362853,2.0522260091516387,65.44485618734103,46.37774011837067,28.73942040285789,33.41797559130794,38.73975660982343,14.361105324412165
1,208.64309933645825,185.57418347638887,187.26124436192288,176.55759329639636,194.71862544551837,179.50622609740537,195.13033062858685,183.2831031029137,173.8686658046772,180.54148911884124
2,168.47432445791853,211.30163847954702,178.18304534681812,156.87100882951387,185.29701277593603,173.76950208465598,168.15707142528572,165.58862092868037,185.89652628012846,175.2866091795201
3,193.2132395952156,194.50587704942956,187.3800619121769,176.70009619502807,171.2904205538262,221.1894886571421,191.37483913779207,187.56891329420552,185.20171410004633,184.03171022144494
4,208.61739128707174,231.5139398731213,186.61779962651335,162.98544479242102,226.7865965247982,222.34604831804398,181.22414795771195,191.51197847116237,180.04683355029255,157.77449122213503
5,218.65830787538403,209.5374077887542,195.2394432552847,190.8954981412007,218.09154829026164,204.6241041816935,204.46041743402134,180.93091361170164,183.27289328197952,184.4271683220017
6,215.06979741401534,230.6965803434374,214.83435779434234,173.27052262471076,217.34290107983114,203.0351969786538,206.4875126182099,193.75834091474766,186.56267581378177,198.9516727713105
7,200.98129854170534,206.13785152259427,237.12486179195264,189.39579463024862,230.25209843054463,237.38889319109057,235.3053605665824,187.98555499052736,184.2667890538944,200.15888198633218
8,219.98269577530039,210.4889397763649,207.40552550664546,192.69853372937177,214.87302941300123,236.92242051012528,196.52197620535574,167.74396016350633,178.46289102466068,190.6624726506606
9,222.99134307950635,236.24420050764667,223.97985554756224,187.18037394345052,238.58552759208243,242.1848633016244,236.59167568438176,187.73838653413705,200.39540564781234,174.6516700612105
10,205.5455572221672,222.39702624272087,235.25560175915928,190.36939144945157,248.60404228928616,226.5306959446823,252.07651787596706,170.58272096082163,201.9617329418516,200.6618367698435
11,223.42037530295744,211.58182120726286,195.68720823607873,217.47846115466973,226.0712904937161,230.98499027839625,227.99901595171104,208.6030575787928,201.32630867245638,242.45541032728607
12,240.812285458096,219.6135706440225,236.63510497070007,231.17061608700206,279.5060414161146,229.86897572276965,248.419513015049,223.68808880704447,215.67039168913607,252.758897904895
13,231.101953838966,243.47960625046483,250.37387784882472,220.91057318683139,253.58066684901453,245.31492342900637,249.50343901553433,225.65442280555783,209.49282036500432,256.8498000988111
14,232.1850419568743,247.23334323733883,209.50927601794476,212.56446530199588,259.8896739774249,248.767359836139,225.682811087218,204.78805904100034,194.7514066808384,246.00873757046216
15,229.44350862818519,224.76729459222648,225.80393230631228,220.6446814489509,259.6449981799334,234.72070210830492,260.50605508816886,237.51256929623125,219.8188719667424,247.45702320000748
16,255.44235061905576,227.91978546036967,224.4394297575259,226.9216211680892,283.5207795317107,242.70215026226967,252.6335130789476,225.64960292429015,179.81809813431497,251.72490724312007
17,257.58876192244145,230.24853069703715,233.64397183213998,212.1348848024769,265.19367314118784,244.59015006785918,245.45694879818325,195.84751710159247,209.04800835063463,251.342762027597
18,240.72761727657462,256.41669102985037,238.98173810751695,210.44266345984488,286.4739141569203,251.9424115797394,262.8819656359402,223.34075345251352,211.10123374544145,254.76129841251156
19,244.33672651021658,229.41563528970374,254.10785366832533,258.70726931891005,282.94143250574564,237.12305092518778,278.88890956239436,191.7747261525738,202.36729228255723,250.50410208266007
