iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,211.6148309210866,213.06911841800337,213.2376957681717,215.6827199612107,214.82548362253905,209.35380586320287,215.80524022835607,207.5177292601598,219.36346729125646,214.65290261985922
1,219.62626756101184,217.00516918103312,214.26080412510373,217.16469449270988,223.28336497196602,214.13171042375888,221.20450259749921,213.0928470355504,228.67851573421336,217.09120802213786
2,224.0719022044824,226.4400132358592,217.9180595932276,219.5558188490038,229.5836153832509,215.5396954303484,221.80492596366182,217.85379451051784,232.5844451739079,223.9572276278169
3,228.93373221053363,229.61525656182613,224.51589084425277,225.97338587009247,230.91331357253046,221.62976635699056,234.44726274332447,224.8040329064817,234.74962971273828,227.97764541253673
4,231.3943483439349,237.19189516411015,235.90615652456302,233.11300305564174,236.35141217294472,227.01056831972406,244.13735298215295,232.99523485377148,241.05893294715213,234.61763926511006
5,241.5725895970849,248.86847641046177,238.1248869467509,234.23380525159337,241.06810822499637,232.79613279598402,247.661719686602,249.2321606478907,244.07011659649675,239.1984106335444
6,244.36537465293398,251.94208784058787,242.09167511066093,240.95859381376624,247.47388876179448,235.7047289284477,252.59315039408136,251.5728958254777,248.5744748120602,245.4081229057957
7,247.97699301029067,257.85780685575486,246.27003666782758,246.74284589350364,250.319656172179,242.94910489235423,257.1321246453613,256.7483140756061,253.89941696228988,250.46641092473575
8,255.23818240918212,260.41166236074054,251.60351054411635,250.87211110783107,254.50665185913974,247.6110631170699,261.6081779898655,259.34780128417424,263.3273297746176,253.70776964006404
9,261.2333799646668,262.0138675745305,257.62892044281,255.3538844274466,261.3427393881688,259.13170911612093,265.7818644930813,263.40298837713425,270.1043026837788,259.23735722976585
10,266.4395883213437,263.2794086423457,263.86666259236324,263.34969759314356,268.24180617670066,264.62184315190484,271.9438672787338,266.836735019965,275.38643161007917,268.00560529156564
11,274.5939986542189,269.46777230097655,267.9418390830484,265.09099581312057,274.0759817674642,270.6298359782523,280.1471116843883,276.32791243505835,277.06057751201786,272.793868419849
12,278.16117811027425,280.2264544589731,269.508765305878,274.0907242575529,276.6455450816037,272.79113333271437,283.40512984692896,278.3510542168298,286.8135526891827,274.8303318879242
13,285.79204681288417,289.0875404131498,274.9563864953053,276.53481555503123,280.74045208951816,280.61352304808884,286.8112691059632,282.4460421194248,290.7010024529869,284.1417768136767
14,289.66540715102326,294.19318298137654,277.7970006426328,282.30322337163363,287.3753968661788,288.43762093922624,292.5944750319802,287.5690843455352,292.29856175897504,287.59736965769696
15,294.1232440257523,296.5801230662303,287.14427611783793,287.0049452754821,289.3482312370283,292.0222957517193,296.2282340641149,289.58959250700514,295.79394568122444,295.72125380898126
16,298.3411423843961,301.8810844033931,291.1917959649229,292.67555080550784,294.5094818485678,295.5002384027752,299.48951061007494,295.334559728036,299.0051705785922,296.05266256851183
17,299.78251069903234,305.5501098427845,294.15228209870935,299.2886155770404,298.19985885280994,298.6232653613557,301.29640407010726,296.91530595690364,300.83974994659366,302.416482003274
18,302.0220519086328,312.02512511589924,296.34127455120756,300.33751923895056,302.1099159204141,301.8927798693336,303.0626167500483,302.2979371008412,302.86136225236544,308.0654740255952
19,304.8371809830387,312.73568626398844,296.923826111274,301.61276455321433,303.1678781103396,304.2782965303698,304.6663755112596,304.1735113330688,305.7705553726622,310.3789625946214
20,306.5273158897069,313.48952599464417,299.5214375333851,303.48050778714514,308.7879134023424,304.4887875042847,311.0170143635884,306.52858161309996,308.51193343031366,311.0003036881525
21,311.0330347887044,315.64175616649175,303.5734378840597,305.1333373739587,312.1239154882958,307.3097082280568,314.34378520114865,307.48529017763894,310.0803323425084,313.362446631432
22,314.4442129743699,319.29088089474544,307.0635398969723,307.6184908899679,313.1403634865778,309.87456300203337,315.03818802326066,309.21249189315586,310.8125526684424,314.23615537499916
23,315.73895439090916,321.9094154509382,310.1650656437258,310.9832291887883,315.09073578709194,312.103008743166,316.09937611071297,310.7679741919603,313.34590169728597,316.7190197657982
24,317.95656924238426,323.1728075721871,312.7937486201366,313.7433774233235,316.9130965602751,312.88380626386396,317.5133021939948,313.57720536558594,315.9354332885899,319.7701542325924
25,318.87518839654643,327.18246937131084,315.20248907735606,317.3914621633653,319.9567776884747,313.90723358613315,319.13640207890353,315.0857863525565,316.57175393863554,321.44936288324493
26,320.4978301617882,330.02752148934997,317.19445010944673,318.19158861145576,321.09307018330287,317.0243514027771,320.219481978049,316.8842949343976,317.8989834048868,321.95125338246953
27,321.40062324658675,331.53008039999946,321.4889342334609,318.94228793586984,322.80175498325514,317.5834047792482,322.92096632732415,319.3225641137019,319.45136652863044,323.14843779708053
28,322.5176143554487,333.6781415668315,323.078544125819,321.2042064839181,324.2708815473822,319.273319830962,325.38124412177103,321.0604515000379,321.6101330623605,323.6286314498326
29,323.12949774345975,334.3217069114405,325.35012249498163,321.87975642435003,324.2708815473822,320.15886026750434,326.8263806691549,321.2639417217481,322.02475932732636,323.8061081413113
30,323.3156622352237,335.2402733231739,325.86718984926904,322.4439728935988,324.9727512279993,321.4162050840636,327.5321871590963,323.7311788078752,322.2837388636405,323.95694586086734
31,324.1515607417818,335.4386846709258,326.74242799357285,322.46300920970594,325.5173140494509,322.38356902065544,328.37115321604574,326.1105560566573,323.47257403555545,324.89670572009004
32,326.27208785938546,335.9385660737743,328.23749746160536,323.763763552559,326.0026776936929,322.88131826409335,329.0944125294558,326.3845463018288,323.6817575459552,324.89670572009004
33,326.35288291285383,336.6755399767209,329.7903201149036,324.2579104456277,326.98142144370513,324.82105221172253,330.6705993424806,326.7105415316279,324.3559115494212,325.90825004770284
34,327.2725333332303,337.6923346534595,330.9051606266165,325.80195388910863,327.03708481660794,325.41932311806227,331.31318824548094,326.7105415316279,324.77996610024366,326.7867281510445
35,328.6901347545461,338.38418582933286,331.3995540335343,326.34012361553005,327.0575871398505,325.8466068748929,331.5566381384741,328.814416725632,324.88782684593104,327.0769583600172
36,329.10998737720297,339.0086685019105,331.76503274457514,326.55237852270284,327.25534835496387,326.64578495772736,333.4663021684563,328.92480948876334,325.7270415716203,327.2444290230551
37,329.6734597632711,339.8853479186115,332.27567642678764,327.4311610854645,327.8384510554787,326.9850488350762,333.5095828164341,328.95373468404875,326.55298770521136,328.1197748459678
38,329.9745649507483,340.1930866180313,332.7976245566593,328.72361648317957,329.6761290444127,327.103307332988,333.53343453149853,329.06623182078033,326.67677342126444,328.1554261461805
39,330.5148334310847,340.62734013601676,333.13600123510196,329.18767944054866,330.0435774410478,328.261038250046,334.06069501283855,329.4864377974857,327.20291553472833,329.4322705158257
40,330.58782041362326,340.95167799899696,334.23560447227806,330.31334865179986,330.11133749180715,329.37654082547476,334.66936182167683,330.08280089767857,327.21382876550456,329.6566675465069
41,331.44847385171613,341.06730052617314,334.28236183319973,331.04373383040274,330.13928914762005,329.46773358985456,334.9735552849599,330.10518347109894,328.22014576515437,329.7971812032196
42,331.520538028661,342.7944102888324,335.2891510289282,331.93981605158996,330.6412733776063,330.89153009821916,335.3397540624627,331.24190796768585,329.174615872122,330.0608630295179
43,331.5898828864257,343.2976865279301,335.6949424787823,332.8634876505085,331.30594574895076,331.17680328137203,336.32190748853833,331.4074029516456,329.2709254687707,330.3870536717043
44,331.5999329579445,343.38765069388796,335.76248385057715,333.36388214669137,331.4279629814214,332.02107007920307,336.8612150960605,332.8948131270379,329.71966855193455,331.1597190581898
45,331.7710796942563,343.4296797200458,335.8812412256656,333.7238369428402,331.46597468023737,333.5605136693376,338.5658560006016,332.9508710144214,330.20465230914715,331.1597190581898
46,331.8264033648999,343.95497304383554,336.0791558193163,334.253665919432,331.7592488700178,333.96884750888603,338.5925984788122,333.349473572303,330.20465230914715,331.28077255086316
47,332.22443706806604,344.0390348917766,336.10312386771716,334.8834869341987,331.77899357506635,334.43702353882543,338.7646321402211,333.4636033233966,330.7948288204525,331.641304583602
48,332.4163206388144,344.0510228086915,336.10312386771716,335.2178476690117,331.785383300945,336.1710521517018,339.0541671754776,333.62762290042633,331.3171764194163,332.1890319323753
49,332.52989312529274,344.605847851122,336.1890199698992,335.2468871309886,332.207424951999,336.8840000354138,339.12702889988026,333.9016388508905,332.0424859664798,332.1890319323753
