iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-9.607481571227986,8.17307871263636,-33.442327024753,22.76065694574492,73.98776330695267,36.09408229923963,23.940485436947935,21.97822645620385,16.66187817870386,12.450204707074313
1,177.77923371199273,183.87361092497932,183.01835841797464,172.51545009720593,189.75282137411796,174.15226656750437,193.7336489920844,180.76780048977088,198.55487143310012,177.77067061178005
2,193.07903068956227,204.30103644146595,175.62612953654065,190.87009388581512,200.92891226111033,173.7364030247384,188.6798703255987,176.95817101294404,194.2974161552055,199.07035531342126
3,200.46926168992587,202.05395021515454,203.41334115735938,185.38240919200533,213.0478770365309,201.6657152539632,219.3186417015345,203.9424132696323,209.4428749335977,188.07705835122454
4,207.95776989105568,210.09560350691868,210.40988102932653,215.85697519625805,207.30807784161584,201.01450356185978,219.6125590388211,205.22923714989028,213.08870943922733,205.80984945938349
5,218.80343230167534,221.09536664797773,202.8497551970379,211.2511423273986,207.58292673816487,205.63594641687328,220.57776963698402,241.24103415503444,216.3783089857492,221.79470643825056
6,222.86840342046278,219.39718976546442,220.7325255615721,213.20744672486722,229.91115807795808,224.2425578353612,227.74037721340238,229.9512015203432,235.46619352144472,224.80664188880135
7,220.18276499436257,230.45517637591107,226.9650447357443,227.95728806625948,220.24695377112343,229.2032602373328,233.26302957040247,242.78558164884862,225.40990033357937,221.7360482713749
8,233.09828285440108,233.03026066994357,232.70744171242876,241.7536568444729,233.54363543837994,232.10982728155668,247.20657339832917,238.63693317172715,230.6549027348983,232.18745430147575
9,249.64081633620958,244.49903315963553,232.36359986894846,231.36087401842428,238.221359606737,240.53740523031823,243.50163297212146,242.21052048474672,255.436282222203,243.80993882369427
10,236.88337036350015,227.00647684369056,244.98966100655866,238.8851374554335,257.9301831129317,251.20026057719508,251.65063796681832,246.52049331636024,259.72816630592666,256.52639874353497
11,259.4369401120821,257.56696892372764,248.76076481266182,232.05541869564507,252.531985106844,247.1670899627486,262.7948093016113,257.7995362315329,255.24238311150907,246.19870408445422
12,259.77650784454875,264.3968752406148,242.89855835530076,260.7945653775349,247.46625595219504,248.08097830036385,264.8877644301165,260.7587385721289,277.46153115397055,250.47599079428477
13,279.79913270149154,251.02894989616826,260.49057953409545,253.79326902825483,267.4847719712593,265.8694896733949,269.2602637239898,270.90691154185777,270.58071996476303,272.50727083822443
14,271.9559365249312,281.04584663893706,258.9868252661225,266.73882083683895,260.7467333461112,271.54437865807813,276.7264661561592,276.3456524462583,273.1413996907178,265.62123561963426
15,286.35700272649143,273.1240478558466,263.3560680535908,269.74342355642534,275.91891897539017,261.129805087264,258.4732293789189,270.722896419461,279.9967350962821,279.26232406268406
16,278.8254883808139,289.2694310132328,262.4239563150204,264.98169794183474,280.6237690741289,281.27846261359224,285.8427944963624,284.8384455889385,283.8140148211072,273.10136575327465
17,276.3708993402395,263.8492107226075,260.10851603929564,262.70747487851156,285.6990942796812,285.86546030643865,260.39050863642774,268.71652024268286,277.54554685779306,292.1212908162026
18,280.1478171584847,292.0529429947266,265.2525747242978,270.0632717610873,260.83250700398605,275.69064554569445,281.0307399119034,289.4414594407215,276.44009042274513,269.82069104199144
19,284.978326487864,297.34258466152414,247.92874188591176,284.98952098405823,289.8459401812617,286.52542467458073,282.98716534708296,275.88679541790884,288.82203400223506,289.8375270657202
20,276.34079183563034,287.584998656135,276.19925151769553,284.2519081289044,300.4923063898398,286.7300103708084,295.062626209879,288.1966540596961,279.9935134963348,281.1779655755677
21,265.84827516639587,301.8857386290222,276.51755146495003,280.2609612202067,288.5175130658147,290.5611655408858,283.9554605075902,287.0013158632879,272.5447877046596,296.42610747735233
22,302.96032750440156,308.66362073961136,293.0355852008291,294.8201536524948,275.0501421910211,280.93131729324,289.98039237649385,280.38989665161716,292.0559894874331,297.1462914366689
23,281.9551813354236,309.5453316595794,284.5992853565017,299.161399808183,283.9406419686828,276.8021427384268,274.0951053477611,282.13707268345536,273.18408630139317,276.3529451722423
24,283.8914577904418,287.25096937698737,283.68062926555797,278.53340430126946,303.3573484352704,294.0609743865714,275.5911819683881,294.34974632286935,298.2758608475086,286.2735795881862
25,312.6520533302414,310.51333416002603,304.1924897595593,285.18211832224245,296.50467744204235,285.0293135538235,263.8285479157913,285.58174540346755,280.6410475793066,296.10919672150555
26,284.76745526497336,297.6598300746562,300.60160094002015,288.08843680867574,283.83270175305574,299.3208621300613,307.58465110088906,299.2606234728438,279.0953354123645,285.80449986130054
27,269.4528821447702,300.35780283556505,314.90378738034417,261.98736466528953,293.0023250159085,265.81061720436327,299.12161577018844,291.24850596186434,278.5161341107547,256.82718432947377
28,287.9062615503605,303.9046682785744,278.79461544174404,274.6818119404618,309.6324768230775,275.1113369735691,308.0927232052321,285.8850817063255,297.69015918696533,279.26953671651074
29,299.33677988292743,315.69980263724506,313.47598941286014,290.3332131180556,290.5854652031065,292.24421049054877,300.59282087045426,281.9693277845087,292.6562114586775,280.481194006411
30,296.3646737219297,300.0398604489693,266.86809029445135,275.77594749779723,289.65444598637185,299.9184304482449,282.1479213934935,282.1046721431271,304.1035440558741,278.63547701362234
31,259.11931805509664,295.80146112413877,250.7479012645875,266.5028904899221,288.2178960495558,288.30818259649124,315.8381770028536,280.9556178267609,296.87353115976873,264.9005858496814
32,288.20918557383834,288.83171283562217,275.75081340508916,272.2676653340732,296.31623519979814,289.67895262125825,302.51901704159695,243.6217696735132,262.75322241087036,266.83940190571985
33,262.1732478225384,284.01613670230347,280.65232370484347,297.0567936650808,310.3640428614298,301.1607042372823,300.5272790556379,266.0650168024109,272.2054446574736,236.02496744461337
34,297.98597996155047,321.9840508379814,294.6513955113917,287.6627000014321,291.22419496368894,307.8402954829759,325.63027096348236,261.655042386994,246.15111369366048,229.42263954798028
35,271.1254383458605,322.0120240777351,291.9411561701196,277.1890107996824,275.04571487584025,279.2284296804687,316.26347386090106,275.5065993135106,241.84270848005394,266.563718377242
36,250.74350488695453,301.23811374211294,279.6178203299295,261.11925210258346,289.95661046151605,266.9518087028738,308.3163565572874,285.2704389062525,280.9447293170393,268.55847559428514
37,283.86513409238825,318.89167263264716,298.0940088602093,252.07226861399067,255.05698418446923,297.8159588923153,279.5993763376164,272.5339340824278,257.21074884616917,270.7354352461342
38,288.9829167273225,321.2736086167385,261.87464559719916,271.4392447505173,251.92652705879084,272.86591609568814,240.61187228702488,295.79090683647803,254.193072570222,250.9845618878546
39,297.47550601730876,304.518822390898,294.82771450066264,296.06317672865754,259.35040879788596,281.14480850813436,293.3210588522883,293.4356107517042,276.8889585615725,238.15724480479668
40,260.78905607302454,278.25990122397974,273.55272910297776,253.9115815596573,269.94876650473054,308.83431517570705,307.1359014924021,285.05826422239113,266.49049006350447,252.89161412378283
41,276.5087131706986,302.0979480124849,279.8146285952361,259.64190352597166,269.7504842674347,308.0272171205048,290.7034935484319,256.847864039265,277.53843674799157,275.1845093779816
42,242.64822486268756,276.90085958780185,306.37313856567823,259.22313818932855,252.4203538538717,274.2064956170843,260.3580846797502,294.55234910122965,249.3357712501149,248.81281911079498
43,264.76943264358687,282.04336330843284,277.65649567174995,257.17535041687006,300.27018141935184,300.0371999018944,263.5129366440155,285.0688599939775,252.92326263644304,232.25562360044128
44,245.47632664677718,261.87405596209476,287.2122556031894,257.43813438666496,283.6310337955554,287.26207917535123,293.3252501391413,322.0235356583721,292.41029896876194,263.6464431960586
45,259.98332226997456,283.97536442420073,315.6868688696034,286.35086018854486,300.8332915104683,250.150468655772,275.9767066412513,269.10392693996005,284.04917394688437,201.10447793117106
46,287.4689167455847,267.65313470879886,296.5619256876109,294.09629046990165,270.58203015212825,261.4003670599691,286.0434536085424,284.9558022512474,277.3316361273105,229.82846743710775
47,294.9525437813712,295.1638472944269,314.3336691123403,299.95906736183866,278.5932463534124,248.34457521814642,292.81277409533743,306.25667854591984,260.4884473422755,242.20448056416285
48,234.15159845337752,312.25505749555566,286.55026977434045,271.11929409544285,230.96054913152557,282.42839877232905,256.3235405565001,305.3828119330327,242.23032667394105,252.23967381268096
49,239.11289388863452,270.87546242192525,264.3179955806936,252.3636110861384,258.76377080687695,301.2816266122858,279.3728467270511,329.73985353312514,252.56803821123424,173.66178570951024
50,211.16267314489875,263.56738129944085,286.5562480163206,273.9558293614558,252.57240861096273,288.1063939249296,305.57412798108896,323.32758867026024,234.47477878225146,243.15906787281824
