iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,206.76766899354766,201.6164859735511,220.82122982769982,201.5381477912396,221.69013393065168,208.17330838812472,222.80982389874427,219.09738116654034,202.8303275221435,207.89489566720937
1,208.53894709674574,201.68758413614339,220.82122982769982,203.42524460910352,223.3879451101614,210.63376265839372,224.10334989924564,221.5486659328468,202.8303275221435,207.89489566720937
2,208.53894709674574,217.39782620018093,220.82122982769982,203.42524460910352,223.3879451101614,210.63376265839372,225.07046216845444,221.5486659328468,202.8303275221435,208.62489523989117
3,208.53894709674574,217.96002624113035,220.82122982769982,203.42524460910352,228.61215235863523,214.2158849169884,225.07046216845444,221.5486659328468,206.82163737962705,216.87212994695142
4,213.5165174413567,217.96002624113035,221.2675951815482,203.42524460910352,228.61215235863523,214.2158849169884,226.87162879870368,221.5486659328468,206.82163737962705,216.87212994695142
5,213.88620843520948,218.63189340410264,221.2675951815482,204.33560377028493,232.06144094433324,216.408742835306,228.64667259097956,227.3813779286447,213.20448956206008,216.87212994695142
6,214.17049508291848,219.8544075940423,221.2675951815482,220.29002069885874,232.06144094433324,216.408742835306,228.64667259097956,227.772991391274,213.20448956206008,216.87212994695142
7,214.17049508291848,219.8544075940423,223.10785595157836,221.19576980447962,232.06144094433324,216.408742835306,228.64667259097956,227.772991391274,215.19974143562024,219.2825862198291
8,214.17049508291848,219.8544075940423,225.75691121783169,221.19576980447962,232.06144094433324,216.408742835306,228.64667259097956,227.772991391274,215.71675550740144,219.2825862198291
9,214.17049508291848,219.8544075940423,225.75691121783169,224.01197984956798,232.06144094433324,216.408742835306,228.64667259097956,232.20887234199466,215.71675550740144,219.2825862198291
10,216.56168918186978,221.3797973551731,225.75691121783169,225.6856848943733,232.06144094433324,216.408742835306,228.64667259097956,234.581119966197,215.71675550740144,219.89777856195798
11,216.56168918186978,223.44950875772503,226.2320676260369,225.6856848943733,232.80292605047305,220.05703912739403,228.64667259097956,234.581119966197,215.71675550740144,219.99517870377275
12,216.56168918186978,223.56491987693835,226.84127996317352,226.6357417825214,238.03025658085716,224.54411490475977,231.78545051095244,234.581119966197,215.71675550740144,219.99517870377275
13,216.56168918186978,223.56491987693835,226.84127996317352,228.52942219947775,239.00177086745148,224.54411490475977,231.78545051095244,234.581119966197,215.71675550740144,219.99517870377275
14,216.56168918186978,223.56491987693835,226.84127996317352,228.52942219947775,239.00177086745148,228.63913314832266,232.29146634650476,234.581119966197,217.81040759120526,222.1167367119334
15,216.56168918186978,223.56491987693835,227.9470121968704,228.52942219947775,239.00177086745148,228.63913314832266,232.29146634650476,234.581119966197,217.81040759120526,222.1167367119334
16,216.56168918186978,223.56491987693835,227.9470121968704,228.52942219947775,239.00177086745148,228.63913314832266,232.29146634650476,234.581119966197,218.27432937267628,222.27806987825676
17,216.56168918186978,223.56491987693835,230.28975787898585,228.52942219947775,239.00177086745148,228.63913314832266,232.29146634650476,234.581119966197,221.04982264895582,226.21738916247654
18,217.45093222399532,225.24172402315202,230.28975787898585,236.92068314993804,239.00177086745148,228.63913314832266,233.23220586426353,234.581119966197,222.39160892498302,226.21738916247654
19,217.45093222399532,225.24172402315202,230.28975787898585,236.92068314993804,239.00177086745148,228.63913314832266,233.23220586426353,235.45249894933636,222.39160892498302,228.7145197596322
20,218.20922847329228,225.24172402315202,230.28975787898585,238.65012552956145,246.13527997938021,228.63913314832266,233.23220586426353,235.74974125051656,222.39160892498302,228.7145197596322
21,218.20922847329228,225.24172402315202,231.13007534631214,238.65012552956145,248.6218597151399,228.63913314832266,233.23220586426353,235.74974125051656,222.39160892498302,228.7145197596322
22,224.6218440086053,227.53470790516332,231.13007534631214,238.65012552956145,248.6218597151399,228.63913314832266,234.3746740197752,237.6784186413491,222.92416091819604,228.7145197596322
23,224.6218440086053,227.53470790516332,232.5759293199159,238.65012552956145,248.6218597151399,230.80411484251366,234.3746740197752,237.6784186413491,222.93971556403622,229.1040812439026
24,224.6218440086053,227.53470790516332,233.55079640668617,238.65012552956145,248.6218597151399,230.80411484251366,234.3746740197752,239.26834247279925,225.79254732245897,229.45109920586407
25,224.6218440086053,227.53470790516332,233.55079640668617,239.73110415964584,248.6218597151399,230.80411484251366,234.3746740197752,239.26834247279925,225.79254732245897,230.75904324712678
26,224.6218440086053,227.55500552488033,233.55079640668617,239.73110415964584,248.6218597151399,230.80411484251366,234.3746740197752,239.26834247279925,228.0709483134846,230.75904324712678
27,227.60654976975695,229.85690227924346,233.55079640668617,239.73110415964584,248.6218597151399,230.80411484251366,234.3746740197752,239.75959608927712,228.0709483134846,231.26034961183134
28,227.60654976975695,229.85690227924346,233.55079640668617,239.73110415964584,248.6218597151399,230.80411484251366,234.3746740197752,239.75959608927712,228.0709483134846,231.82780144637144
