iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,211.6148309210866,213.06911841800337,213.2376957681717,215.6827199612107,214.82548362253905,209.35380586320287,215.80524022835607,207.5177292601598,219.36346729125646,214.65290261985922
1,213.24910358370306,214.77933294382015,213.2376957681717,216.64909560345137,215.1559006156962,212.27254895128183,215.97295182683843,209.42016542453956,219.36346729125646,214.65290261985922
2,213.24910358370306,214.77933294382015,215.2900992157459,216.64909560345137,216.3228850771043,215.21378617919606,215.97295182683843,210.59084361802252,219.36346729125646,215.09033207828625
3,216.9315025666067,216.03623502663334,215.58170152386114,216.64909560345137,216.3228850771043,215.21378617919606,218.52882641646738,212.35928411710694,223.20743402262087,215.09033207828625
4,216.9315025666067,219.57947312753117,219.09489786466767,218.8698106158318,217.9538401469232,215.21378617919606,219.6815077796595,212.35928411710694,223.20743402262087,215.41806216211216
5,218.35006416473368,219.57947312753117,219.09489786466767,218.8698106158318,217.9538401469232,215.21378617919606,219.6815077796595,214.0538242040226,223.2890574090109,215.41806216211216
6,218.35006416473368,221.35105868520748,219.09489786466767,219.55858216093182,217.9538401469232,217.2381876334186,219.6815077796595,214.0538242040226,223.2890574090109,215.41806216211216
7,218.35006416473368,221.35105868520748,219.09489786466767,220.07120852254442,221.00409801088608,220.8934828855501,220.92002357425045,214.0538242040226,223.2890574090109,215.41806216211216
8,220.7200446266959,221.35105868520748,224.3798655485088,220.07120852254442,221.00409801088608,222.43294335987383,220.92002357425045,214.0538242040226,223.2890574090109,215.60516507637095
9,220.7200446266959,221.35105868520748,224.3798655485088,220.07120852254442,221.00409801088608,222.43294335987383,221.569888946123,216.33940031382565,223.2890574090109,215.60516507637095
10,221.7366208701604,221.35105868520748,224.83623371688674,223.09066912625775,221.00409801088608,222.43294335987383,223.51576011239925,217.37375109937932,224.5934029816214,216.3980215535874
11,223.07843148738132,221.35105868520748,225.55050676021781,224.41589306093894,222.51686696837157,222.43294335987383,223.98169749466084,217.37375109937932,224.5934029816214,216.3980215535874
12,223.07843148738132,221.35105868520748,226.29205070026057,224.41589306093894,222.51686696837157,222.43294335987383,223.98169749466084,221.60935113554547,227.3982513639152,216.3980215535874
13,223.07843148738132,221.60408247945145,226.32637492166486,224.41589306093894,226.7039872110442,222.43294335987383,223.98169749466084,221.60935113554547,229.0921852201688,216.3980215535874
14,223.07843148738132,222.08153502756915,226.32637492166486,224.41589306093894,226.7039872110442,222.43294335987383,223.98169749466084,221.98161599575138,229.0921852201688,216.94164972712585
15,223.21463473423074,222.08153502756915,226.79433582419517,224.95152333733523,228.3570799309906,222.43294335987383,223.98169749466084,221.98161599575138,231.01507424085173,218.5450842274753
16,229.1280298248259,222.08153502756915,227.29370925462763,225.2869777782921,228.3570799309906,222.43294335987383,224.4666213867151,226.6708383558846,231.01507424085173,218.6892315957719
17,229.1280298248259,226.83839837588823,231.5810490538538,227.19322615498496,229.81443555871968,222.43294335987383,225.77058410804943,226.6708383558846,231.01507424085173,218.6892315957719
18,230.2644500136733,229.7719742056878,233.4062551248515,227.19322615498496,229.81443555871968,222.43294335987383,225.77058410804943,226.6708383558846,231.01507424085173,218.6892315957719
19,230.2644500136733,229.7719742056878,233.4062551248515,227.19322615498496,229.81443555871968,222.43294335987383,228.13238259513102,227.05192078359374,231.01507424085173,218.6892315957719
20,230.2644500136733,230.24120755701415,233.4062551248515,227.9393278022419,231.46387500934404,222.43294335987383,228.13238259513102,227.05192078359374,231.01507424085173,218.6892315957719
21,230.2644500136733,230.24120755701415,235.06049645577818,229.71373969907074,231.46387500934404,222.43294335987383,228.13238259513102,229.9202220151343,231.01507424085173,223.70762905576424
22,231.62008514956125,230.99065880117536,235.06049645577818,229.71373969907074,233.92251062070918,222.43294335987383,228.13238259513102,229.9202220151343,231.18870109218494,223.70762905576424
23,233.5486823606732,231.02056427218415,235.95780100495188,229.71373969907074,234.22200900843126,222.43294335987383,228.13238259513102,229.9202220151343,231.3712435404055,223.70762905576424
24,233.5486823606732,231.02056427218415,238.3227539205448,229.71373969907074,234.22200900843126,224.5273139869022,229.00474816166235,229.9202220151343,231.3712435404055,223.9888121138543
25,233.5486823606732,231.02056427218415,238.3227539205448,230.09817287034775,234.22200900843126,224.5273139869022,229.00474816166235,229.9202220151343,233.24521878339095,225.80557378751115
26,234.2733374032356,231.02056427218415,241.6900258588791,230.38775579983087,234.22200900843126,225.3670380396332,229.00474816166235,229.9202220151343,233.24521878339095,225.80557378751115
27,234.2733374032356,231.02056427218415,241.6900258588791,230.38775579983087,234.22200900843126,226.36446076040085,229.16628102324898,229.9202220151343,233.24521878339095,226.99271380262311
28,234.2733374032356,231.02056427218415,241.6900258588791,232.20016177052486,234.22200900843126,226.66995920999017,229.65847737062273,229.9202220151343,233.24521878339095,226.99271380262311
29,234.2733374032356,231.11209337091861,241.6900258588791,232.20016177052486,234.22200900843126,226.66995920999017,230.15887731687923,229.9202220151343,233.24521878339095,226.99271380262311
30,235.53815329238722,231.47016974301678,241.6900258588791,232.20016177052486,234.22200900843126,229.72531548731098,230.18702004655785,229.9202220151343,236.77303397867016,227.3429662220757
31,235.53815329238722,231.47016974301678,241.6900258588791,237.81471779463394,234.22200900843126,229.72531548731098,230.18702004655785,232.03802989924492,236.77303397867016,227.3429662220757
32,235.53815329238722,232.1146313160184,241.6900258588791,237.81471779463394,234.22200900843126,229.72531548731098,230.18702004655785,232.03802989924492,236.77303397867016,227.3429662220757
33,235.53815329238722,232.1146313160184,241.6900258588791,237.81471779463394,234.6394246237083,229.72531548731098,230.18702004655785,234.72306775196662,236.77303397867016,229.37879450298752
34,235.53815329238722,232.23045691760868,241.6900258588791,239.6771130118525,234.6394246237083,230.89065780668307,231.7781332773717,234.72306775196662,236.77303397867016,231.3106046270232
35,236.60797277015388,232.23045691760868,241.6900258588791,239.6771130118525,234.6394246237083,230.89065780668307,233.21741651205184,234.72306775196662,237.13835060093945,232.16394971197312
36,236.60797277015388,232.23045691760868,241.6900258588791,239.6771130118525,234.6394246237083,233.78959409462905,233.34539581678433,235.31919016985455,237.13835060093945,232.16394971197312
37,236.60797277015388,232.23045691760868,243.34938271698832,239.6771130118525,234.6394246237083,234.49934028627587,237.25516704821973,235.31919016985455,237.13835060093945,232.16394971197312
38,236.60797277015388,232.23045691760868,243.34938271698832,239.6771130118525,234.6394246237083,234.51716848657924,237.25516704821973,235.31919016985455,237.13835060093945,232.16394971197312
39,236.60797277015388,232.23045691760868,243.34938271698832,239.6771130118525,234.6394246237083,234.51716848657924,237.25516704821973,236.95079281439638,237.13835060093945,233.2350066640828
40,236.60797277015388,232.23045691760868,243.34938271698832,239.6771130118525,234.6394246237083,234.51716848657924,237.25516704821973,238.61244985383388,237.13835060093945,235.48626614501535
41,237.72773190699525,232.23045691760868,243.34938271698832,239.6771130118525,234.6394246237083,234.51716848657924,237.25516704821973,238.61244985383388,237.13835060093945,235.48626614501535
42,237.72773190699525,232.23045691760868,243.34938271698832,239.6771130118525,234.6394246237083,234.94986700122314,237.25516704821973,238.61244985383388,239.0917614831509,235.66054250932766
43,237.72773190699525,232.23045691760868,243.34938271698832,240.98459931037596,234.6394246237083,234.94986700122314,237.25516704821973,238.61910902029874,239.81913567964983,235.66054250932766
44,237.72773190699525,232.23045691760868,243.34938271698832,240.98459931037596,234.6394246237083,234.94986700122314,237.25516704821973,240.0241820548319,239.81913567964983,235.66054250932766
45,237.72773190699525,233.26527826219748,243.34938271698832,243.68522273721837,234.6394246237083,234.94986700122314,237.25516704821973,240.0241820548319,239.81913567964983,235.66054250932766
46,237.72773190699525,233.26527826219748,243.34938271698832,243.68522273721837,234.6394246237083,234.94986700122314,237.7981974125966,240.0241820548319,239.81913567964983,235.66054250932766
47,237.72773190699525,234.0705701784536,243.34938271698832,243.68522273721837,234.98213659840195,237.11230452940663,240.23522568928604,240.0241820548319,239.81913567964983,235.66054250932766
48,238.57440392113307,235.1066766244253,243.34938271698832,243.68522273721837,234.98213659840195,239.41052163427776,240.23522568928604,240.0241820548319,239.81913567964983,235.66054250932766
