iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,211.6148309210866,213.06911841800337,213.2376957681717,215.6827199612107,214.82548362253905,209.35380586320287,215.80524022835607,207.5177292601598,219.36346729125646,214.65290261985922
1,211.6148309210866,213.06911841800337,213.2376957681717,215.6827199612107,214.82548362253905,209.35380586320287,215.80524022835607,207.5177292601598,219.36346729125646,214.65290261985922
2,216.6445691335569,220.1898996618169,218.648576055727,219.07406649192606,220.6789036848059,211.35284809735577,224.0419846203152,212.80784489298884,226.43650600101273,215.00001393020688
3,226.77892564437093,222.06431109444546,218.8775855994759,222.16596797549687,220.82854627151477,216.11743494970688,224.28324150670755,215.90261047513061,233.23828334598645,217.69907425621307
4,229.39690479869967,224.54716351486107,220.90072843371644,222.16596797549687,221.16547153979482,218.30802909461238,227.34286500467948,215.90261047513061,236.59167084170906,223.22673514395166
5,235.3655667094639,232.36336887451668,223.16001926357848,226.43304170377547,223.50583920787713,221.57938612804736,229.0967808982221,222.18523534164703,238.57916924590805,225.0558852423329
6,237.68630873896046,234.05672352519622,227.27061068713144,227.644326480267,235.1783983667907,231.30069052450978,239.70958729418746,229.5011698388252,242.45593556705688,226.42983802772153
7,240.83474872647713,235.90846618017588,239.50826155348312,231.28948889563924,242.0532477317554,232.36159523758698,244.84828763205957,229.7316575575539,247.22105082088441,235.75173417364363
8,241.38843696688477,237.34987999876427,240.88598876173634,231.68979897837232,245.50313954505455,234.88009447127786,244.84828763205957,230.37282933961666,248.21210037118288,239.45602184095117
9,242.7753407237395,245.19681087008738,244.1165472370138,232.61362976805438,248.97089469135975,238.2963907757563,252.035053954209,231.93680428794764,250.0666334245281,244.08286963636405
10,250.50679184537668,246.23133923789428,244.1165472370138,238.3734969520574,258.9284008874767,248.45356781180448,255.40264951151136,235.63876439073934,253.5050381290463,245.4545958426873
11,256.70990463484395,249.57336580232214,245.46309388065748,250.76321660038212,259.6628639571101,251.76367563049467,256.40983791621926,241.71241189886604,256.41395680432595,250.80292279943757
12,259.3271011631955,254.03215299439287,249.3860505781787,254.88733270230034,262.717682284589,255.21410104921972,262.6559602307345,244.30567692683275,260.10519542497866,258.36804563573793
13,264.85073388581174,256.0257789136199,255.6292307057786,257.41527072256827,272.7515700749021,256.7346931472549,265.5152015508521,251.19403687691582,262.4138463390459,259.00031156041166
14,269.060595570781,263.55083366178064,258.9812126561417,261.5040964676006,273.1021924268198,261.40162778509625,266.2848356550172,259.6681080072344,263.7056348128108,262.1232529581785
15,270.4526656407829,265.67104973137543,265.51832563337916,267.60430043528186,274.3031008767174,269.5271588368568,268.6268593737192,263.18778979694474,270.07262534218364,268.09526811113284
16,276.5617263494168,266.0641569836561,267.5124497369059,269.6646269362517,277.8265050099502,273.55122726302545,272.52435159629766,264.6653618955059,270.63169015765675,271.5101249255739
17,278.55912584621973,267.3943998519874,271.2080399765807,274.1689014126573,277.8265050099502,275.41949477747227,277.4196063411664,267.53010486970174,276.146252326841,274.7030004884244
18,279.2516469231855,267.41977457915567,273.70171102846155,274.51774408804715,281.44548109837274,280.15760247433684,286.2833100223073,268.3044510289727,276.7276571876854,276.29282551357846
19,286.30571753839877,271.02878895427716,276.26475757184244,275.5364710824865,281.93778106675086,286.0826127149585,289.1402576228129,274.0715545598888,277.69365862160555,282.2935291474471
20,291.6217420770183,274.11534602389804,276.66071765079903,277.0909181857063,283.8608363426258,286.6718991945196,293.6091143472786,277.47831172311925,285.0949268167767,282.2935291474471
21,297.85016912165634,278.99291832627466,276.66071765079903,284.0533695222732,286.9357653458295,287.9732805345472,293.6091143472786,280.55182614633645,287.34609720566505,286.79113504080794
22,300.1537503896341,281.7047161250071,283.2038029437863,286.11741750934095,290.7632679769766,291.6387200032737,294.7963990057011,282.0941360658733,292.7785390090313,290.98022609827524
23,300.1537503896341,286.06796337158187,286.207591873983,292.10654807693385,295.0912811418082,295.2022511100136,296.35796439979885,283.0640512715886,292.953256802798,293.74297686025426
24,302.11769111855676,292.07151128816224,287.41802371526444,293.0088773566886,298.4568382940454,297.5821876533062,301.47651634653727,287.412271818984,296.2225832341137,295.9354656813004
25,303.3731220309378,295.1480069919745,291.77933368554017,294.70581642624984,306.55051903079095,297.89350866881205,302.23276439665324,289.9124085235293,298.6013447247697,299.21387792827215
26,304.81944095235565,295.57690540263815,292.89112617113864,297.0272383279823,310.43281640027897,301.5002122106346,302.72135731239246,291.6277006585598,299.46983589690456,302.2226435141938
27,305.50273399897435,297.18349869316785,294.27829408275784,297.08509539395465,312.034194896372,302.59362574224957,303.9225975141138,295.0945085157909,301.1476285525231,305.1444468390305
28,307.3154486082819,297.7231269514877,296.04872073046084,297.28257044654686,313.04767619503417,304.39509617091323,307.45932978183686,300.249426971624,303.0833971950616,305.3894643173046
29,311.0482823641661,300.08915650639085,299.21112816379843,301.80387313309393,313.7072300955808,307.13174540941407,312.7337693142707,301.95173593268595,304.27526684370434,307.8643527356462
30,314.18878992752525,300.6527868616397,301.1750741408754,306.88068027834066,313.7072300955808,307.13174540941407,313.1509407534029,301.95173593268595,304.85972659462584,311.86457777187707
31,315.81947230756487,301.8874132478277,302.6363507153305,308.60564339697265,314.80088292732853,309.6051837292166,316.3191406632067,303.93716256463426,310.3548969909397,317.02271411646683
32,316.0950432167709,302.59930218151385,303.65210809655275,310.54377522743346,316.87866921946375,311.82705359583025,316.98502500801163,305.5449271519963,311.0059900842596,319.88422648275923
33,317.869521124785,303.2892908889304,306.0551400461567,310.77603202898456,324.0741040802336,315.0188990077479,317.9413063678248,306.6649860128836,311.73223024633194,320.5771553693596
34,319.9592759502221,307.09085425542617,308.4701525705119,315.08166554357,324.5121922355739,315.7302790124704,322.0385411917146,307.8973819153681,312.13194023506946,322.61366829286374
35,320.94460262500354,307.89755887948303,313.82479209706486,316.89517365664676,325.3867597446394,317.11311277898403,322.3798393483771,309.3552387669987,314.2879431768933,323.53286285182753
36,322.1480066438445,312.1163216008162,314.64858490724777,317.35424006915775,325.40545347089653,320.7937155438757,322.7345703518288,310.0799427700115,316.24159330644767,324.3338133693318
37,322.6430649259805,312.44703472787717,314.64858490724777,318.0288356707375,326.5887795650869,322.75866272062166,323.73803870152807,313.10084821046274,318.8183954649417,324.34846241664513
38,322.8481483468065,314.26672210987147,315.2789629806098,318.5421832072013,328.361273172265,323.22902546820853,326.99298948937457,314.9314994308245,320.2925827836515,326.42773964865074
39,323.4535448100817,316.9690791410849,317.83863957898495,321.6194313478246,330.18171845167774,324.4233952491396,327.3390641113015,314.9314994308245,320.7573183688261,327.51168498015363
40,323.67697895336596,318.75327698088876,319.55251890071526,321.72183596811396,330.89712416821266,325.21130883908637,327.4990021315273,315.6943067707963,321.1700779322058,328.16117677849576
41,325.24498160941545,320.6188139978149,321.8529548757067,322.5759826045478,333.7249367957385,325.8760327563069,327.6059323849479,317.4844528303029,321.9656341069555,330.275839131579
42,325.68236024886545,322.5524244152634,322.869790137315,323.23164730579094,333.8766960164466,326.2026208697647,328.0276229139255,318.6050675548564,322.8877158937951,331.95444305039223
43,326.5297848957416,323.48584222433806,324.88614949128623,323.77296927262864,334.79915536048793,326.83187500216366,328.759879727535,318.77720864552316,324.8768816813838,332.1425995424346
44,326.96082505698115,324.241339029788,325.5502220514624,324.97776365433333,335.49445718261745,331.09106324824336,328.7887367164881,318.93968654980927,325.5873242990074,332.8475372524834
45,327.49156276233794,325.45120276724253,326.41445114085064,325.8338717878796,335.6365047807544,331.21464138925734,329.09272031825435,321.3819097293339,326.95018819048124,333.6160144838086
46,327.6123977692454,327.67108029658027,326.68412533719004,326.0391019441646,336.0252512721486,331.32114194214364,330.01690400818694,324.07719002171154,328.5638918675099,334.1375586627296
47,327.92082809203913,329.50256129603486,327.04560211633043,326.76200132532205,336.5543603200391,331.68312396448596,330.68590337605195,324.2853220792493,329.06854958946974,334.1728962947872
48,327.97975710959673,329.7836289642579,328.79448946183027,327.38877197358124,336.6657400240263,332.28111305407595,330.81184330899646,325.13754409544055,329.2627097826081,334.5886169345751
49,328.9685901271097,330.20790381903225,328.81706583711366,327.5500231866497,337.41680888131856,333.1273539693279,330.9185750353298,326.4045885594023,329.6779998301505,336.6664054672216
50,329.4013491901063,330.9379811149015,330.13514706569185,328.3327476598228,337.5624048998366,334.7427768129098,331.494588518632,326.78063231315093,330.45603973748825,337.4755643187635
