iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-9.607481571227986,8.17307871263636,-33.442327024753,22.76065694574492,73.98776330695267,36.09408229923963,23.940485436947935,21.97822645620385,16.66187817870386,12.450204707074313
1,21.26389996061725,37.905810238749254,22.357257740784796,24.34508591434177,25.861573139366907,28.784478189821396,23.14981317186124,13.248175106917058,33.98092476409762,39.5493572443732
2,173.28681782138995,177.48572543687374,191.8960116380773,173.70436412671552,177.76733964428033,160.36887028470224,179.99912555569136,169.41934347887448,194.03787760818037,175.60257681190694
3,179.5129459527248,154.46759908399014,156.0648476898063,164.99907708502684,178.1907662181116,150.2802693415446,141.86646464231802,169.95399348518117,172.18973660526112,164.0974715570072
4,182.43884078462924,160.07281012815747,164.0739093892685,149.89116530858308,159.44752690840977,143.819297193414,189.98399272166395,169.56600381342344,197.58995044461568,173.36608047320647
5,168.59426614891282,170.63378989716728,157.6931630338653,168.49946396644683,169.80785740555731,180.46742481890453,146.92102867214703,160.648588832825,187.1302231411591,158.93725748484974
6,172.5398450808728,166.29198387653562,164.77290862783488,185.94956969074167,176.80756477229338,189.19639094010864,198.2434335261288,181.55129934210797,189.94556704258667,168.5519592642127
7,166.44980030088715,166.73846501291274,186.79802973246814,158.23903096374667,190.73713161322905,150.30525836032118,198.18784483188688,170.50506351114183,190.43793693478193,184.95912302035111
8,186.27737767684178,166.1100841973947,188.00967622944273,176.93049545392455,190.49902762205105,183.5325610438409,187.26220844659557,177.6925845780437,183.08395739988526,175.15365109565587
9,181.10428613367313,196.06571318584434,192.40131288935538,165.86080228863233,192.9292872145667,199.82425951038505,215.01617321575048,167.20803604389891,188.26733238042226,199.50515157847462
10,200.97448259545263,175.31925548088077,191.39369704960183,188.90370580558758,227.9067401716605,222.40295793917184,203.6300951003807,188.06628899419462,208.9072510450701,158.05093584651965
11,224.94142343491302,208.36919592780112,190.24316482324943,210.03749674829334,170.141652325035,209.68510563568526,225.53718801835421,202.49542307995245,204.00287597410988,216.96344692937583
12,209.38096023949902,202.21617721846013,204.61624152080617,218.09266918527652,213.81573568860193,217.89842045669127,221.61109242359964,205.5861651343296,233.97600848534205,221.70595796820373
13,212.22052101389022,206.77308726495158,210.83886912061138,202.42319634303396,239.0652037998813,197.30873881801153,216.66845333708042,204.69797352247895,228.06340898807295,187.39008000379755
14,219.54326971994206,231.04517030289333,222.7740846105777,208.33157269706868,228.99718655779904,215.8508608222706,223.07899153251088,223.5769966679602,210.6781726464049,209.82358498536277
15,235.05030727026434,211.0769946047482,219.67346788719342,224.34413260891574,226.5393666452427,216.99823912777956,206.8282530793935,224.81183581942804,224.82310198734112,234.425863840563
16,233.5356767086781,224.73000936722786,221.95816816800044,198.2736388201402,246.52935003517655,237.3521570919438,238.08681246747426,204.40314824921973,167.5411956464315,208.57728863932675
17,225.2193018690002,215.6532725664577,216.26463851193586,238.30825688639084,204.07221804055052,221.7397142583597,234.64034716059373,218.30332505166228,242.95730151407653,235.57470429681575
18,221.94487382861456,196.66460936476525,215.18610362310142,220.82563030439354,245.6152944533034,228.96448176337026,245.96356757815408,227.4628571905465,213.23056136452095,220.33132318208234
19,229.8811328321479,230.2660994346616,237.50226595558303,211.3152659662005,235.86228294823528,247.73613205022423,230.6450809107879,223.8784243782395,210.26723721204746,240.89749280347422
20,259.40790465219436,221.2905415816364,239.1959625869445,218.36253474677022,243.45962305884478,246.4490712751729,252.01104948338102,227.9478666233913,251.27390519163617,235.80264868125337
21,249.91055990375168,233.61087938553862,227.18217223159246,251.8651331129865,252.82247054678248,241.61109778270645,248.35360374837148,233.77893454707208,255.11428365093153,262.9326891455478
22,272.18115404782714,238.20856632054142,248.49925080039938,240.8115162761705,251.33094850782115,264.33586574155277,274.5348618756697,222.13399935909086,263.471272495485,208.54995355251287
23,255.46780358284155,228.68788653291767,240.4393491657404,256.3549851809199,262.00672497814406,247.70948846532394,264.97823253671606,225.52991069109822,246.1037253287027,253.1814349880752
24,266.0315498050903,255.66702079746798,249.88632344655423,250.94480293845632,258.3190322577886,227.6131957200662,287.4230673970902,264.9516446595299,242.63123323483802,258.4617116539035
25,234.31175747455006,257.4936975241658,263.0818457297661,243.83437136727883,247.69142774542786,247.55096239079245,267.7476246802397,232.31890620541654,223.2988747273135,259.82075596591994
26,277.66700857182116,234.14033647408593,240.0198046479826,262.98731502759085,269.7897881403686,264.9764876390023,251.213209118524,246.46696553927185,238.22393268457444,260.83216000182074
27,269.96557743669297,252.8616858993558,252.91454244147295,246.3454892592281,257.22293471356465,224.60998657243687,270.5941226599107,253.40936246634854,243.49524959609218,272.7667695538099
28,285.37268434479415,237.22127339774823,254.35818371354006,254.19466775654502,293.3962581065264,253.03477260090966,256.3523342853177,269.53279670799935,259.53781063210977,244.09743105825368
29,285.07000436615624,243.95680016687737,253.6547089610838,249.51845704178567,266.51512342565263,225.69174077280158,286.6534831463964,276.2363711291599,270.5474227060584,262.6409079188993
30,275.65896009144046,248.07391750305098,226.70671401179328,278.0020110134351,295.58147801095254,277.42301222865956,272.97792967821374,249.96787094765966,277.54160237558403,257.7700515732014
31,289.14135193628294,271.9295423633596,263.5806147662769,282.41474183960537,294.3361650020645,262.4696053026647,274.67439599149566,262.9479210034768,243.42845004491096,290.8328677751062
32,273.25013245601707,248.35509460017795,245.74170413592967,215.19119017889773,290.9631255462566,293.06109799802493,288.73983860709956,255.41087276539056,263.27923432438683,272.268421883279
33,246.95895262849882,259.44552589450234,252.18227432111203,286.4037290714415,304.40608080216066,293.3223934822959,290.61475026187827,264.24764661728966,267.845256354496,181.91761683374241
34,288.96423451500186,270.0113291039013,268.24215932239235,299.7257087335933,289.8002575602604,294.93722244190803,303.6557824190172,275.5535469754543,282.03190498811534,274.33636852288856
35,305.9836138439068,277.9398443371927,297.38558069920947,243.143852503378,294.3458499848537,257.91324878055195,295.9726211154839,290.88341195556563,284.3092706950634,303.76286426534494
36,294.15168488107577,285.7483688534929,264.98923576720904,291.4647005812244,268.5951472131055,256.7386835242271,303.45139543414786,268.97012765879794,276.78198855827293,297.93301992883084
37,272.79209507415305,284.8363806503538,267.57569906714804,303.56525481881556,299.9902341590887,281.31548948613283,304.6489545630718,248.74623524120614,270.6423669640056,220.73140065995779
38,251.90791158904682,277.6704527561879,289.5085656653139,257.0477428061123,314.7870939647985,290.74778883777947,309.13366595342757,280.6192466462237,258.88799019525834,297.8084788974038
39,277.5788848993485,296.15555133308334,309.8230438817063,297.7991757813311,307.07927175560087,280.1707148365243,286.998867770742,279.79472129555415,278.14558442746466,278.20310794341816
40,294.06953923439005,295.7201169542892,257.7656453834106,213.8042076650738,298.7426830367393,289.74110070497693,281.8373637759397,292.9077546328652,240.42095635786194,312.45248443121443
41,273.0731538601835,298.4258352836895,300.51693977654145,286.65928813179715,299.37698651381174,279.54678924927,272.6406820786382,303.40333578529504,299.53156605057745,315.39174572368864
