iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-9.607481571227986,8.17307871263636,-33.442327024753,22.76065694574492,73.98776330695267,36.09408229923963,23.940485436947935,21.97822645620385,16.66187817870386,12.450204707074313
1,177.52218004697704,183.41020575839437,182.8579934633234,172.65554568125359,189.4731237845,173.96382799134028,193.8317084548957,181.2509310813741,198.73635046315593,177.87966681849935
2,192.75003285005585,202.7340637290623,183.40448543645755,188.14890237883878,192.91626907124248,175.03305180101984,186.04454003339174,171.80669632448036,193.74573898142452,201.9610452485279
3,192.39806464800336,207.86607457337936,201.21082427398775,191.79515679770515,212.39064060986567,201.3409182808345,210.78091335266424,200.22061118289037,211.52706111572348,183.7816027575173
4,205.35462257460347,210.36053361590552,199.070576726375,216.043620100519,213.00696893631766,181.72503046584615,222.70757706188493,210.26564120143098,207.65592596647406,199.80957477369526
5,210.66411496421824,223.14943550134376,201.99576120143598,206.66931789136999,211.12696642536355,198.75423110533012,216.79868622884177,208.6411413573005,216.68214577885158,211.63341604107433
6,219.36559731210554,205.29735307495505,237.2962157811796,219.57824500684166,223.4827563373926,219.1465132569073,232.16546733923056,223.35152036642128,234.8679941176443,220.87751592439787
7,217.4476647380206,241.3182476129507,225.30677366940228,227.2800060342375,236.34691932276172,224.96682090488855,230.2880511375205,226.80405855277473,236.32532971435722,216.2272568753362
8,236.2963437972466,230.54687509180144,236.04794731831853,225.35737058767296,238.22564589593443,226.26903004325018,240.79687041000028,231.14362062936402,231.86212896409296,230.26774126323403
9,250.35969548943842,243.08143990861504,249.39668992458266,235.69532325602756,241.0624747694694,232.9953034031474,239.906937133123,235.53580150842274,247.16833916106964,237.0648291327454
10,251.36479807016053,252.047934852004,231.76549954148507,230.78698975600102,243.79237107157513,226.72325088132592,254.81429396681557,238.19585422370594,251.43300795882539,250.31690526622958
11,247.97460696371692,252.96119073419743,253.21270213946872,241.2611698223272,253.628922913297,231.0916647563023,255.9826724991155,245.9861065023116,260.0585696726567,259.9383487670447
12,268.93911212977054,262.97026468870024,260.22351896425505,245.259522687015,263.11873258465897,238.90083902528477,275.06816687639184,240.04280070231016,253.7843804307912,242.57730448583726
13,280.90840949766636,283.1653776079718,254.25315624899685,257.9118307283301,268.44231089463074,254.11623587485235,265.1118527961886,263.30499945159954,269.37252487302976,250.31913521968468
14,259.37560915726027,276.21180253496397,269.16896852869905,253.78554370498452,271.92062092891547,252.45359089823984,277.1215529878557,259.32950065896347,271.3140718930058,270.4212738640748
15,265.072745197885,277.95806461521846,267.38952075140037,268.1369198549242,270.0985178665842,251.6448841015287,282.40926183619854,271.20220134985914,265.83247536499493,266.71508640362083
16,269.36474035041635,273.12836445185974,275.5399616740398,271.3876179734813,278.9475193212883,265.0454679719086,267.97118119719335,272.2002602413132,270.55083826056773,271.14734931308845
17,288.1532900062606,280.9715024184938,279.5508218096013,269.7077121306927,269.9015784841397,246.6937726534257,277.5195844875608,290.5730098720042,284.39003232146007,267.49522153514624
18,290.3525452429199,295.7065098634813,274.4295385163782,286.2003031138315,291.0719752091047,272.1659372226169,296.8219207085106,280.26304517616995,259.5714424317844,285.5302026563399
19,271.31522876276847,278.35460008190876,288.5132422123355,282.5288834862653,295.7599422496239,263.82251875468785,294.9540594674917,262.8654415726653,271.05832516672535,287.3971504191992
20,280.7467997726373,275.902765432489,281.5888096700762,287.92413818353623,294.06817692928297,271.6628942136539,299.61516226743834,301.4086896833769,290.1924063188617,286.16622764365655
21,291.88966572223615,285.4825767272847,286.1049548846422,288.19421394562636,285.0405395006663,271.999852580145,300.67188222743476,306.4324671413643,288.4410517452387,298.336047895962
22,291.2419167711507,286.09250309000424,290.63189105424,287.24479281664026,303.70798090317544,283.87359057181743,296.8028789804465,295.8028711588273,274.450707861819,295.7348918629841
23,309.93467435677,291.0597386575598,265.5901123542525,292.18562428744264,295.8826463800633,268.2912625211194,311.0355575400537,312.66816441157096,293.7459237792865,293.03902902836865
24,291.95066713827316,290.5071612377589,289.2063979213557,297.7449219475928,292.4125134332603,281.4947543429053,313.47182322966046,301.27645324743247,297.95762822697765,300.2558921301137
25,288.1952287522962,266.01388425911136,309.27945016689927,273.0769864438604,304.80895339119144,266.81729992642954,315.82495738633736,294.03013128970224,293.3364470609338,281.8922909301448
26,279.7641943380718,294.71858119429373,305.93962124585215,298.2384439207281,315.8074462637129,276.8020445501019,301.9294019785008,293.42203050370375,293.7343945069345,294.2921844822378
27,294.7291548476025,269.791910189457,285.20267542055285,287.78316695552786,290.37553873874845,275.37812487097216,314.7782895935991,307.8864750297189,305.4644478854932,257.3960882271516
28,284.28586864363206,257.78966268452234,309.24991881530053,264.2162318899969,290.7416934180317,288.62421875508613,309.9360434519608,325.9275919592485,279.11500553749147,296.4587018763927
29,277.86983549981807,319.2424146612801,263.41427845271653,293.9406178339609,312.59653691299354,295.30916701002195,319.4975083418512,260.9489138225248,274.4066534602323,289.5995713818237
30,274.98846256954005,304.3778958147723,244.32185911087464,302.5433346431266,309.4825254063644,304.2876309404806,307.2753009185438,312.6439508858714,287.7206462465391,258.0011060346026
31,289.16007524908855,301.7124013432005,293.24492871789096,265.54967271810676,277.7373092572707,299.2858452123028,326.2131191800544,317.8343574263324,280.0936859597964,272.37097792104004
32,288.2610979061426,311.49002304242873,272.81728570709845,309.87198021426036,283.8247304411624,301.18160028578103,319.44999964488204,322.0445211807265,298.776352581919,274.99135847699944
33,253.35953316730007,305.2435587955571,298.32058956023104,291.3614594548638,289.1150656745426,295.24751297623953,302.7530283779483,282.09428669291054,280.93947383594696,288.3466785374015
34,316.1482409323937,297.0609942456679,287.56575884468447,277.7308716929009,291.4502107157978,268.3999631360242,294.17740300747755,296.3551435826284,313.4895927139902,297.75230431849656
35,282.49698929521827,275.8906208265989,289.77468493056523,223.64477017168738,270.0801826377735,313.4903136457685,312.680229024194,302.165869471355,291.52892188950307,305.53581584621645
36,288.53374740109325,297.9741832354408,287.7691435852595,262.18485029726247,282.9541584932728,298.49493047646047,310.5006954710674,282.97251214976836,300.7987478476528,271.9604506398831
37,292.6681199051594,271.7250942468669,290.2727075491705,250.9950320976664,262.1425604374469,302.0286836838491,314.23044106900386,293.26869985806263,271.37771727995863,276.2364011326515
38,324.8054216029293,310.7108828928305,302.20293965080316,265.9867921453593,288.72360503621337,271.6044667346848,317.65070747031166,294.60816602634435,306.2592558020878,261.8201029862579
39,285.67898138364745,326.76820545881276,292.61977127270893,207.51418224714047,303.3008270121954,294.2941223098676,314.4685623091059,282.81354162269207,277.16339668029974,243.5994300926771
40,278.8754413913945,278.92291381491765,260.3333175186888,288.8096659898572,235.30700432680027,316.70671054762244,289.11225261064783,265.9923742310382,306.7865988797093,291.62924595861665
41,288.99216986638635,295.3918318902311,283.819125457719,261.9834536155873,283.65367230818504,269.19172666860584,304.339347994146,270.1631300527035,225.25356632721585,236.59113383635543
42,268.89554046713556,298.4665974048171,262.1232220868318,228.89422878526318,307.7560688955399,276.65137352856976,302.4373514202284,250.02434992559358,265.6814210729987,259.16635947604317
43,215.25733238953157,290.6824189834796,264.08869786942574,261.43702246178304,300.81670419790834,283.13474447612214,276.5203303127374,281.41284281660415,273.52743330674696,267.7677772834786
44,285.8929443942544,298.7363602566298,305.4369499502624,262.3581272487876,254.03523325761006,306.38753239180704,281.5636445601928,291.9781056208089,300.69612617583164,234.76278534435704
45,302.8861384581704,279.0669985064018,273.8116902002656,225.15652321391485,322.991172168517,304.50097034720784,273.62544355326156,297.37065841661496,273.55644737035686,254.6527311853575
46,307.8561794044724,247.5369418901817,264.5110572734237,257.8088579216885,291.92581551037017,254.46245138727886,314.8363827616321,288.2457768826047,267.7469644311314,254.26408202074765
47,288.9437324924693,288.7214717941954,257.1444911409087,273.06977154453404,292.38595161557583,293.8859073255021,253.917417570514,307.3560790052507,230.6254047907533,233.3777904850501
48,278.01325529387,316.1418793124202,276.60683350019895,288.48630056431597,279.2835415808912,283.4528551126117,281.7874072226708,301.5724270006788,277.7014094938351,281.26202539830996
49,264.88156244995696,276.6725720518048,264.45264087178185,236.48714741913673,242.75884948400392,291.97798411402334,295.625686153945,287.6674414727223,284.400602682599,248.77116018866226
50,305.20149182730086,252.13047393792323,283.753738533185,246.91236532732836,282.6960019449376,266.90854502905916,305.4927961334116,297.25706285175335,278.43325485881564,264.6895396176897
