iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,211.6148309210866,213.06911841800337,213.2376957681717,215.6827199612107,214.82548362253905,209.35380586320287,215.80524022835607,207.5177292601598,219.36346729125646,214.65290261985922
1,211.6148309210866,213.06911841800337,213.2376957681717,215.6827199612107,214.86904451109928,209.66776444032502,215.87175869690753,207.5177292601598,222.58397436520372,214.65290261985922
2,213.17034319336972,213.06911841800337,216.74115099521464,220.18647982753137,215.62684649022543,211.00616376316611,216.72045015112863,207.5177292601598,222.58397436520372,214.6572008708231
3,214.10095406043308,214.27935100690826,216.74115099521464,220.18647982753137,215.62684649022543,217.06069428709782,220.99135683072444,208.06719470175102,222.58397436520372,214.6572008708231
4,214.10095406043308,215.76347594803295,216.74115099521464,220.18647982753137,215.62684649022543,218.67789244707873,221.35380530967342,208.06719470175102,222.58397436520372,214.6572008708231
5,214.10095406043308,216.5288202035446,217.09681552895262,220.18647982753137,215.8295758731605,218.71523758726687,221.35380530967342,208.06719470175102,223.27184454777654,217.19627919474658
6,214.10095406043308,217.0112914227637,217.09681552895262,220.18647982753137,215.8295758731605,218.71523758726687,221.35380530967342,208.06719470175102,223.33093000893143,217.19627919474658
7,221.88758003465782,217.0112914227637,220.16668362164222,220.18647982753137,215.8295758731605,218.71523758726687,225.31793075285154,208.06719470175102,223.33093000893143,217.19627919474658
8,221.88758003465782,217.0112914227637,220.16668362164222,220.18647982753137,215.8295758731605,219.34742475991067,225.31793075285154,208.06719470175102,223.33093000893143,219.64109918319275
9,224.08746460966688,217.0112914227637,220.16668362164222,220.18647982753137,218.4512450102949,219.34742475991067,225.31793075285154,208.06719470175102,223.33093000893143,219.64109918319275
10,224.08746460966688,217.0112914227637,220.31785119406698,220.18647982753137,224.5868208520066,219.34742475991067,225.31793075285154,208.34756529812427,223.33093000893143,219.64109918319275
11,224.55390176379117,217.0112914227637,220.31785119406698,220.18647982753137,224.5868208520066,219.34742475991067,225.31793075285154,208.34756529812427,224.65704580779158,219.64109918319275
12,224.55390176379117,217.0112914227637,220.31785119406698,222.28544611960848,224.5868208520066,219.34742475991067,225.31793075285154,208.34756529812427,224.65704580779158,219.64109918319275
13,224.55390176379117,221.7238758255945,220.31785119406698,222.28544611960848,224.5868208520066,219.34742475991067,225.31793075285154,208.34756529812427,224.65704580779158,219.64109918319275
14,225.7180850887645,223.93354198351878,220.50397917762245,222.28544611960848,224.5868208520066,219.34742475991067,225.31793075285154,208.51518555842773,224.65704580779158,219.64109918319275
15,225.7180850887645,225.61945327083112,220.50397917762245,222.28544611960848,225.63681568474368,219.34742475991067,226.73471896195147,208.8119188933735,224.65704580779158,219.64109918319275
16,225.7180850887645,225.61945327083112,222.5754181130381,222.28544611960848,225.63681568474368,220.2408974944972,226.73471896195147,208.8119188933735,224.65704580779158,219.64109918319275
17,225.7180850887645,225.61945327083112,223.25079488123237,225.56291779137146,225.63681568474368,220.2408974944972,226.73471896195147,210.2834568210063,224.65704580779158,219.64109918319275
18,225.7180850887645,225.61945327083112,223.25079488123237,225.56291779137146,225.6430710325978,223.7632101585224,227.683602145926,210.2834568210063,224.65704580779158,219.64109918319275
19,225.7180850887645,228.13654546746403,223.25079488123237,225.98135130463717,225.6430710325978,224.65542347879708,228.9120798737443,210.2834568210063,224.65704580779158,221.88968472970697
20,225.7180850887645,228.13654546746403,225.42548771358824,225.98135130463717,225.6430710325978,224.65542347879708,229.31788571362586,210.2834568210063,224.65704580779158,221.88968472970697
21,225.7180850887645,228.96277541913295,225.42548771358824,225.98135130463717,225.6430710325978,224.65542347879708,229.31788571362586,210.55343947062812,226.64792580520572,221.88968472970697
22,225.7180850887645,229.84615106336747,229.5545365204788,225.98135130463717,225.6430710325978,224.65542347879708,229.31788571362586,210.76795027556756,226.64792580520572,223.25395543215538
23,225.7180850887645,229.84615106336747,229.5545365204788,225.98135130463717,225.6430710325978,226.46844309701618,229.31788571362586,212.1492127945226,226.64792580520572,223.25395543215538
24,225.7180850887645,229.84615106336747,229.98046138219777,229.2072371758471,225.6430710325978,226.46844309701618,230.70371524690222,212.84478985300495,227.09324564411395,223.25395543215538
25,225.7180850887645,229.84615106336747,229.98046138219777,229.2072371758471,225.6430710325978,226.46844309701618,230.70371524690222,212.84478985300495,227.62067628469526,225.25827961793112
26,225.7180850887645,229.84615106336747,231.40145107185865,229.2072371758471,225.70154322507221,229.91091329799917,230.70371524690222,212.84478985300495,227.62067628469526,225.25827961793112
27,225.7180850887645,229.84615106336747,231.40145107185865,229.2072371758471,225.70154322507221,229.98283803079102,230.70371524690222,212.84478985300495,230.6588963138473,225.25827961793112
28,225.96984692625995,229.84615106336747,234.08873901777332,230.517544335303,226.88754408158616,229.98283803079102,230.70371524690222,212.84478985300495,230.6588963138473,225.25827961793112
29,225.96984692625995,229.84615106336747,234.08873901777332,230.517544335303,226.88754408158616,229.98283803079102,232.44130134369482,212.84478985300495,230.6588963138473,225.62189295840216
30,225.96984692625995,229.84615106336747,234.08873901777332,230.517544335303,226.88754408158616,229.98283803079102,232.44130134369482,212.84478985300495,234.7385326800257,225.62189295840216
31,225.96984692625995,230.0745833016065,237.23740048307093,230.517544335303,226.88754408158616,229.98283803079102,232.44130134369482,212.84478985300495,234.7385326800257,226.73386674094024
32,225.96984692625995,230.0745833016065,239.06273352635418,230.517544335303,226.88754408158616,229.98283803079102,232.44130134369482,215.49987920210884,234.7385326800257,226.73386674094024
33,228.63099689709767,230.0745833016065,239.06273352635418,230.517544335303,226.88754408158616,230.8024415605385,232.44130134369482,217.64294270178374,234.7385326800257,226.73386674094024
34,228.63099689709767,230.0745833016065,239.06273352635418,230.517544335303,226.88754408158616,232.8247718133053,232.44130134369482,217.69194087438905,234.7385326800257,226.93782842667983
35,228.63099689709767,230.0745833016065,239.06273352635418,230.517544335303,231.07534596355595,232.8247718133053,232.44130134369482,217.69194087438905,235.84572582747788,226.93782842667983
36,228.63099689709767,230.0745833016065,239.06273352635418,231.4789044894668,231.38201004656008,232.8247718133053,232.44130134369482,217.69194087438905,236.35937219970603,226.93782842667983
37,228.63099689709767,230.0745833016065,239.06273352635418,231.4789044894668,231.38201004656008,232.8247718133053,232.44130134369482,217.69194087438905,236.94306954743718,226.93782842667983
38,228.63099689709767,230.0745833016065,239.06273352635418,231.4789044894668,234.25495505247733,233.6363855562751,232.44130134369482,221.04900321980907,236.94306954743718,226.93782842667983
39,229.9128491879514,231.3251819859204,239.06273352635418,231.4789044894668,234.25495505247733,233.90919457663944,232.44130134369482,223.08940759230268,236.94306954743718,226.93782842667983
40,229.9128491879514,231.3251819859204,239.06273352635418,231.4789044894668,237.0265501281267,233.90919457663944,232.44130134369482,223.08940759230268,236.94306954743718,226.93782842667983
41,229.9128491879514,231.3251819859204,240.11722251517935,231.4789044894668,237.0265501281267,233.90919457663944,234.36854043174696,230.97904796501643,238.7551060422466,226.93782842667983
42,229.9128491879514,231.3251819859204,240.11722251517935,231.4789044894668,238.63581219773943,233.90919457663944,234.6347350394205,230.97904796501643,238.7551060422466,226.93782842667983
43,229.9128491879514,231.3251819859204,240.11722251517935,231.50987010543122,238.63581219773943,233.90919457663944,236.0872584535951,230.97904796501643,239.17738826043814,226.93782842667983
44,231.96117030789406,233.15052760897817,240.11722251517935,231.50987010543122,238.63581219773943,233.90919457663944,236.25026994876293,230.97904796501643,239.3322764462552,226.93782842667983
45,233.03561071714054,233.15052760897817,240.11722251517935,231.50987010543122,238.63581219773943,233.90919457663944,236.25026994876293,231.18606571584098,239.3322764462552,226.93782842667983
46,233.03561071714054,233.15052760897817,240.11722251517935,231.50987010543122,238.63581219773943,235.36847659893942,236.25026994876293,231.18606571584098,239.3322764462552,228.79417311805116
47,233.03561071714054,233.15052760897817,240.11722251517935,231.50987010543122,239.34408199824836,237.5503694104462,237.19745888072626,231.18606571584098,239.3322764462552,228.79417311805116
48,233.2765314049281,233.15052760897817,240.11722251517935,232.67936126747497,239.34408199824836,237.71239710718464,237.8458351921621,231.18606571584098,239.3322764462552,228.79417311805116
49,236.20656161274184,237.24669766406075,240.11722251517935,232.67936126747497,239.34408199824836,237.91256495581098,238.5923103622786,231.18606571584098,239.3322764462552,228.79417311805116
50,236.20656161274184,237.24669766406075,240.11722251517935,232.67936126747497,239.34408199824836,237.91256495581098,238.5923103622786,231.57412889772164,239.3322764462552,228.79417311805116
