iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-9.607481571227986,8.17307871263636,-33.442327024753,22.76065694574492,73.98776330695267,36.09408229923963,23.940485436947935,21.97822645620385,16.66187817870386,12.450204707074313
1,26.220333422618566,-51.73264908160269,11.081198633842195,23.854804413701686,35.97672147737187,5.104703785728884,90.56019809742071,57.31656433306034,45.77857757132197,14.25529406064484
2,103.67909334283326,91.77492442536051,138.3324026295428,70.04106422572562,53.77808945195024,40.68028542806285,42.551640912676945,26.474550436358065,35.47343532329662,34.133815993055514
3,66.68977250659152,55.81293052119234,46.11974495653679,35.11650295224905,35.56898998858998,37.955703603460236,47.60458527285753,76.66407470492172,-16.836980742846805,72.55576439966629
4,17.660356827501975,84.26296680851526,14.644040247233029,76.82065296617436,65.61958053909684,76.96149135487349,65.22232356605522,57.49305128582847,-13.174560128662923,-37.853593672697784
5,3.4783415149354244,69.39149310608242,45.29139993616201,17.358734585460553,49.31002095028545,-4.342464234336777,16.214223171263487,86.14906367619184,92.97357818399684,78.45488966349484
6,75.40734383951798,32.130985011192465,63.78743341459986,15.81327744772146,39.48278407607998,-2.963653176753919,41.60804961143637,2.6738041605772267,61.704528066711916,37.02680027213021
7,58.11357807877636,53.11778035296237,8.806139485836425,-3.150229227179267,72.55150422590252,33.788091668869086,52.22956768728144,30.219114410332196,68.45625213138902,14.656169954763039
8,52.147717569909474,94.35403372989728,29.878557291772648,24.512184394140444,0.9581840988084949,92.66038629731393,47.63879847442782,39.24888115830504,34.936441423672626,57.421256199620906
9,91.90073819910165,22.080353896979734,54.433349955456706,86.30457367313369,84.77235616229237,46.50131521075582,77.89722340499065,58.64405664795913,34.24209433863497,-14.026390134772985
10,82.7688022178053,37.74056624040249,69.98692672348848,24.32539940552392,48.79888804796881,36.04889896963548,28.56647677905298,41.69530070577004,-17.425012609479236,72.14453864676217
11,67.33380142301627,57.768960443018194,30.489360962694192,16.423328840792713,32.87444320084687,58.35143877521977,16.632668039762695,40.83485322778246,47.911203059891854,49.07500780531693
12,91.27401633229351,64.68271881582402,35.52074998966786,91.98335757129469,42.492195865509956,23.828089459332308,60.89896850584793,51.094859621021754,15.088891082972195,-25.435035386784797
13,95.27237467319577,26.85340587680096,25.01282284899233,25.006132663971577,66.28580739367465,40.618989388632,44.309931145172925,15.89776166760682,60.3738305538768,66.48273314760772
14,56.786099901622066,68.56083113820893,77.87488163464874,30.430497659282718,90.98127325277673,18.53636529597074,29.139013994590776,41.57937927687232,41.6272627896131,27.736962158021086
15,52.419317074128145,40.87253873317502,10.35925103827092,50.15144997650384,79.94402041636013,-2.2850538045400253,74.62382648016774,60.143603871261156,4.7405173335840605,33.07922636276922
16,56.21951346454922,53.68979395822093,86.4185688848901,72.20807272448711,73.34958862804282,93.14129977941866,85.97023715780043,71.12913040593988,-2.732126883794211,37.08058006059206
17,51.53346672256664,65.61542208639901,79.23340661623624,69.39390402462881,-4.158000672195589,77.72244706555702,29.866292338024728,21.111547053344967,74.4480137543698,71.415159688656
18,89.47212838941384,43.693616572104034,55.647226732424556,55.288822802042674,73.96421276429776,85.55439455219754,77.88358558792073,53.93317256613028,108.32273652308459,26.892989756887253
19,70.44512054273304,72.91422467869437,2.076634724758593,30.26649811761325,54.988373196870484,45.54305361094093,48.107030404169485,50.21801590346646,43.21571232021799,58.74688072429879
20,92.45166276272539,47.51218073926037,117.26193839357964,34.521690715447775,100.71589278553115,50.591928146270476,103.81320155898916,56.62932866405214,92.84745330974572,132.82114575957888
21,32.261124289208205,64.16648492403922,44.57872898450257,20.812721750449747,5.901988033810143,50.797597713370585,56.9846825703923,43.794807872453575,79.67840286486097,31.450251553896393
22,62.02752469505363,90.08658430450963,92.53071612727999,58.61279029035376,37.352001139776476,88.61449388737881,41.81824354140821,42.742132988242076,44.13685327210137,137.40750398020003
23,94.78656933788139,63.95787117487083,124.46698844428576,29.77177029608432,76.37349573114003,77.36458041414923,55.77672478367918,89.81000074844127,47.091590169916515,55.47842119201286
24,71.10453172526867,81.97047099169583,96.24196928223806,91.4716158960694,47.91661656388345,44.65337047499649,70.01662308998792,24.972303884135805,99.53013964171625,9.92448381943505
25,58.400845477165504,47.49639396878664,79.80282162500008,63.875652095954955,76.59489921942036,62.594745284963686,50.41850323957017,82.22287149745179,72.53222032811016,55.918536148310274
26,50.34932767514334,74.36079657957957,29.766041770045007,41.366160315354776,81.79542883339366,75.31028801407848,89.55758308816556,73.95684336063849,38.72679161195907,47.3803439634783
27,39.17780894622646,63.22643135346972,45.62579500044781,38.599860478800565,83.5517156319629,88.27324090221396,104.40201574505443,25.885761494232014,52.15559245531219,87.7079999397584
28,34.66955269903988,80.4586139463218,59.9081247241017,98.40373873279758,59.91405373220931,79.97991791252016,92.63164807724641,55.02031531521328,54.165602298130366,81.2668158678388
29,61.185702067949954,59.11628027102082,41.037936243470114,59.57328338518907,65.72386083497594,97.94153202472634,46.8005121290488,70.11019417382947,76.37315782298143,45.229320192878276
30,63.638957536634486,87.28704627580314,39.352410604520784,60.4535660612729,79.9509406419235,46.06708300843722,70.47093312280654,56.273542866447556,63.90781375247918,40.81871048267248
31,51.20752592082778,83.58931743914451,16.923314283271875,52.951652817881715,51.69858281578746,72.37316413364292,24.679837712752928,83.17470491625619,51.63245647566188,98.64636979882896
32,93.84937629090119,26.97766625484261,69.14710255601508,55.85019175480822,55.89977136261943,75.99825996355139,73.7551010882953,61.73178848082737,47.133234024444775,64.19794865171934
33,46.65373981320279,20.969065509456506,79.96267444275622,31.828772749674442,34.598540906629765,54.94570621451993,56.38617901821587,67.32394876341593,49.81922382461147,64.42709355185488
34,46.765125048161295,61.185052468049804,3.399213998932016,32.92898816989462,74.78819663793547,69.2703303325869,57.328903753091,63.08382953181439,37.43531070928033,91.38917439189743
35,55.14688334762682,42.76284551967425,106.92223098689651,68.20805908649253,85.04503216760516,48.5420996242562,73.44112698044239,30.00209644210164,31.66053799581651,45.99835216654792
36,11.82214971736148,55.54164451772149,107.4643544741276,61.8874217500679,51.01413492577887,52.881932085845364,43.018587882745635,64.98597798464999,75.59771785612388,30.662905873850647
37,66.80526817554083,83.87545297786576,78.95536801875105,50.30631306252446,126.2401132309885,61.3113355770168,73.3798514952957,48.25838431819482,78.69053616184405,67.83540189287385
38,100.42984269676333,45.108572890564275,33.6741323467678,48.59522795073413,125.35839341898551,69.15004412281942,70.69994041813065,76.77122190023071,89.55689658736932,78.61093111305934
39,82.07149789354219,67.73917641584596,58.48017387008942,39.44226564436208,71.25242752952097,78.06946554990785,63.97194663849841,79.11607130651396,52.751126838145325,44.4385985774212
40,47.58532588891359,100.42753225869116,40.92094249550332,58.41818266447785,71.82438012062873,24.621693441968187,62.307305833397294,42.42268805292903,58.62293093801307,62.22862288961158
41,50.677528964435076,86.5991802276789,85.12788479241547,75.97631185882759,27.053145571131658,46.59662559569791,37.26122036366439,52.42554731568394,54.21553530907484,48.7714291476648
42,74.30638460624033,79.01354536381055,84.3145414238613,96.94641095105295,115.57030322002532,73.01428764781996,28.68960068903283,73.08777718572117,55.40518578440006,99.85497175091942
43,51.15204827925533,76.95598846261026,101.94092743766566,43.18248378322052,89.63941944008009,52.85572003123988,69.51214995846604,108.73809820197249,86.20807370082389,61.675347394774164
44,62.370638126475654,83.48787862400907,93.82070980574481,32.79336681918463,83.8437135672386,52.645483091117974,61.50963034507052,80.03435925450253,56.7059449403016,39.20072791866296
45,83.77012518676943,81.60165466295395,106.17029474764848,55.57145528869654,42.2682039089688,95.30143568811127,89.63839527262735,86.41891903402833,41.83718016390195,50.47034652638858
46,64.44105084620043,77.086790225621,82.47827254315189,79.86471139655308,82.15030021566176,112.84536209520704,63.83506369630073,51.67048990565957,90.73009859863117,56.40124507347421
47,61.680211213473875,88.4153523772714,62.644841362597646,106.57716765955368,64.3707858687088,98.0291563903787,87.2777163818722,38.40921248956298,97.47574709806058,43.14578682914386
48,93.64935283716238,108.24944828174927,98.80179094879969,85.94883472720937,43.80119992796207,51.64718358892351,84.02713980146241,15.958191714715802,86.17513311428155,51.70772718964673
49,91.14542545715017,53.750806050459204,82.58875847307098,38.64170974667047,97.21826629749212,120.15688991662299,110.23567250440237,101.52564888793862,68.7641753587136,33.600256517346594
50,65.62382511232362,80.72569897350544,78.33315743427036,73.86255517721159,87.63393760166818,98.58952090388823,119.48348857907808,45.309346106654075,54.51374056469597,45.8178344372475
