iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,211.6148309210866,213.06911841800337,213.2376957681717,215.6827199612107,214.82548362253905,209.35380586320287,215.80524022835607,207.5177292601598,219.36346729125646,214.65290261985922
1,217.1110461006241,213.61110101080217,214.06074712146153,216.45102672257056,220.2059050322556,214.31376781784726,220.25174545290054,210.77828922155743,223.9558006935926,214.8911066367828
2,219.84828533267063,221.8276363375705,223.26205912746155,221.59556377249152,226.94532497709892,219.66429585099456,220.25174545290054,216.19715554305378,228.77036733786258,218.37682797082098
3,219.97883774632834,226.8716194806454,228.79804576342246,227.13916911080977,227.2924333991883,220.69002303618572,229.82184864067267,219.4886513658534,231.47882364391432,228.9632707719826
4,231.00556394491826,236.55777917481709,231.39500327034483,237.6776941479888,229.68050872115668,228.14778732867663,233.42417672819917,223.53051627567424,241.12187850765923,230.7080140793127
5,235.00531631376776,240.29085364975714,234.3727217014309,242.4213840649157,231.34753693295434,229.3759151736889,241.89365938917143,228.46526811580972,241.4188324016915,231.39160900341423
6,247.43379212649768,242.3301666763363,240.99411387140182,250.73836123560142,236.2119876882687,233.42364303473374,250.7373471032207,232.6416181769969,244.52033349502753,232.10307023164845
7,251.96988922242002,248.5570035864911,249.86926179666796,252.4823742068465,240.8947744651503,242.0143208056208,256.24627054636915,238.89910458357335,247.01084306160408,237.2477698906515
8,256.04441991950546,251.0783342808881,255.78602679071963,256.2890259109988,243.36201964311675,248.61017380075356,256.3766468729964,244.3679282204399,250.97862958231724,246.22357652303077
9,259.9162206780328,262.11310189410403,260.2390406002003,256.6689585505258,250.42982255982557,254.7457976245799,263.78090104514035,248.39423734636023,254.67766713296936,254.38570879956012
10,262.73721967722224,268.42864243509774,264.8143567612515,262.40579631503937,255.45792062670625,256.6885252294396,269.13697116549986,249.2898559709983,259.9043643258247,259.5736760882698
11,263.3050962057268,272.63142611211356,267.4470986411413,266.0871382625924,260.5254630078871,259.20802939420594,272.5797694037383,252.53084263279584,265.1527101665863,263.2340665350651
12,271.4625627444052,276.78317811213344,274.386021561044,276.32945566047283,262.06720452272856,266.09276073871274,280.651296282258,260.82331082570556,270.08720116287304,268.7706225457764
13,276.7367038081129,282.3430718376334,277.03878155475127,281.2675743402089,266.8208035172212,270.23064220724444,286.3212969233133,266.7088850245167,277.25676245937973,276.1845026435906
14,281.9325255608585,286.69899791391276,281.1691490728891,286.2157162401191,280.20904686009004,275.6225795063786,289.06868820611066,271.0867505034512,283.4573257732118,282.02088324694495
15,286.57421560089665,288.9711378443831,282.63567024232606,293.3545977069193,283.8370271778822,281.4257583921691,290.4076334036853,272.0716477631619,286.04210691408247,285.32058960276555
16,288.8913085386082,295.10051588540375,287.1571022060226,296.6476646933028,287.41235693626214,285.16713986680753,299.10022282851185,277.4410919528884,287.9143054426405,289.9274989420342
17,292.3139879166049,299.06504340562753,293.14629279891733,300.49719717088374,288.2170903680168,290.55146869519746,301.16755592504,281.1997635471324,290.6173202969458,293.1734347691688
18,294.74835523177256,302.219896581361,295.0010411675089,303.67814103787606,295.26384714805147,293.9757174564862,306.0258498643446,285.3655616296203,294.773503779232,294.3276627027556
19,299.1438843529665,306.1056896038124,297.3786989531374,304.84396850816296,297.62947700354687,299.821090432775,308.29587153495976,288.62683238876673,300.00907206059287,299.07923653561244
20,303.8245079521132,310.24123062462655,302.40172498615095,307.19164034075357,300.549452993861,303.8967715156176,309.5420528661533,290.5706580136833,301.82335086664773,303.22571148166026
21,307.49953189825436,312.75449596151554,304.44484908616005,309.75073773363056,303.8507181873414,306.60243688780383,311.06073116774326,291.4708676979734,305.0319059541051,304.6558395981757
22,311.4515912882175,320.15650703864793,307.96129017468877,312.8545918973655,308.7913816483716,308.2354697128799,311.87155113278106,296.0348743283815,307.82719780953096,309.47870547441653
23,313.5347976177254,321.73242531363485,309.17278271313853,316.6553227556187,312.0838762882819,311.7960270024382,313.11584769166205,300.0566415194096,309.3280203531316,310.83971765396984
24,315.29144245864063,322.42239463990614,311.49113550431457,318.9764100365353,313.63439656882207,316.3372933120828,314.15012176046764,303.86572405379275,309.7856865254264,316.4784510911527
25,316.7097380544534,324.3149829169554,312.6817392353237,321.810178218404,317.32392696913143,317.78720899191023,316.8622278624681,305.0505822820769,312.09528815638276,319.8121754085688
26,318.2432646441504,327.8797427091543,313.8720335113994,324.8299977601368,320.77853880603027,320.58256293024067,319.7798466582342,305.5806257477478,317.7459967573866,320.6071194266703
27,321.33299429279134,328.28773775835714,315.6620074302687,325.7779290903902,321.9729640653983,320.705783747572,321.12204257024126,308.3225768276093,319.36662045711694,322.11133523017213
28,323.49982604847617,332.59069038422774,319.8510623550169,328.24773223999887,322.5464135975552,322.08957725517126,323.79264080355694,310.2528666379952,321.4048238486348,323.55806275156385
29,324.8337601628069,333.7428538278961,322.7181993618862,329.2271974856666,325.6340300778572,323.053645111032,325.3453634645059,312.53426086925185,321.8826289582097,325.7140597521791
30,326.4509615120951,336.1751881869758,324.52741376704614,330.1370993210578,327.8561129598222,324.1296590495957,326.65801582567826,314.4836056602377,325.3021515099756,327.3664840609656
31,327.95409421650356,338.25501320945693,326.53415499366486,330.5391215103641,328.48521512404295,326.78102338292547,327.41943811912313,316.4434703322642,326.30827382616485,329.4259423786087
32,328.90963198523445,338.8513013388165,326.7118275664985,330.84560554157974,328.6205745062217,327.1106870417819,327.6887879045408,318.529669257589,326.7676467624884,330.2564397345884
33,329.28217844256073,340.0275151985843,328.13361016355606,331.90271436018725,330.6374496479545,329.2408215556737,329.2540738199291,318.9627537884535,327.0451688731685,331.80186697617876
34,330.6257850639961,341.89857290432064,328.4634759076565,332.736292417748,331.65511060457305,330.94457611645606,329.60450860984145,320.58249939164136,327.99604225200915,333.2579983855362
35,330.8905304238309,342.65261629909094,331.22714864256716,333.4428142447565,332.763587684145,331.9396901187773,330.40257775276973,320.6413006395482,328.7057387673809,334.25267479777176
36,331.5242119694236,342.98113855164945,331.95380752443714,333.76896532565024,333.3340171285177,332.6133031774232,330.89374916184613,325.69951380528056,329.8795774787609,334.2544791715768
37,331.75525027261494,343.9780566756525,332.27634672136026,334.1966463032467,334.5880766141642,332.91908244704786,331.4719279445642,326.41363583032626,331.51839886430946,334.3992838805417
38,332.45842239029247,344.5218262206831,332.3031537500801,334.2514004960602,334.947254914052,333.03887310820585,332.1226926119176,326.7417437347853,332.097809454041,334.71172744909006
39,332.8796704288789,344.780838502538,332.8471731010047,335.0463591915005,335.9080960289029,333.3520650142697,333.40089468346235,327.14361511946714,332.6917993275273,334.9745514193759
40,333.4070711379326,345.03301138016394,333.56711802649033,335.107847519457,336.1095811009198,334.4300929147503,334.2494275681345,327.16993696906343,332.7658109469566,335.09877027215816
41,333.77317059391385,345.2727840514898,334.4505186917071,335.32363176032686,336.8396638045983,334.63907710434194,334.58419987278853,328.1309159664831,333.1793416360804,335.5751854335721
42,334.1313437002034,345.4198890889322,334.5032416135122,335.87806692996924,337.1219097157048,334.8931690417397,334.75695162224525,329.03499515010117,333.1963748184331,335.77265334969496
43,334.6209929487214,345.8484284054384,335.4208196193891,336.0097415502466,338.11839906371506,335.3922463664411,335.23943373514055,329.9136159915606,333.3707046863924,336.7167336875874
44,334.62789178080095,346.1647420081806,335.5644805751161,336.20452700099986,338.4291959810905,335.68713056682384,335.68468162558804,330.3602513005777,333.58258884732135,336.74290024019166
