iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-14.595840289891807,-14.663285144959797,-14.470267692162917,-14.847260078105624,-15.19580574759481,-14.968199708214975,-14.824656504760512,-13.952871538238714,-14.345140725453177,-14.59090024413834
1,-13.214948402084335,-13.338582522793779,-12.971414915893362,-13.07029232378432,-13.969201110255362,-14.070871786890383,-12.799673968555055,-12.584190983359349,-12.853838477275277,-13.136731316150065
2,-11.75234632425762,-12.081962564293544,-12.257004895418298,-12.055685532094763,-13.041086071274215,-13.033609440810714,-11.73661494623735,-12.00966054410571,-12.17342838985499,-11.894006246278629
3,-9.738932429130418,-11.063335953154636,-10.921871601144453,-10.518920575858953,-11.23153058309257,-11.86376947785612,-10.808847403652354,-10.707358004415633,-11.622684905743526,-10.21087821567638
4,-8.53145033214614,-10.593947628888394,-10.262442922397428,-9.928216349026883,-9.657910386437678,-10.510538212368974,-10.4417577818625,-9.940997483375655,-10.61434009783174,-9.944232560180742
5,-8.257143932545851,-9.538736013419044,-9.656522049730341,-9.653571222589086,-8.63063671934264,-8.987638740318642,-9.871572013350828,-9.584571527233837,-9.996520613354399,-8.816083712830473
6,-8.003170090110128,-9.264999103833762,-9.362387380726341,-8.92684681496185,-7.8721183338175305,-8.465288483987088,-9.555644102550595,-9.210827397750634,-9.495197341797159,-7.9814159604663395
7,-7.925458321631885,-8.556497208849011,-9.048639293488051,-8.277843112294974,-7.295259623662911,-7.685061710244478,-9.108719403004109,-8.519464251938492,-9.14404275992699,-7.444571190173178
8,-7.734041527122471,-8.225253755694856,-8.399495031158406,-7.805576546400835,-7.055901913430961,-7.63025118016521,-8.216830926175945,-8.260930847718779,-8.82117136079071,-7.2993309736502185
9,-7.4088780027833625,-8.05933969882457,-8.083017266114307,-7.590234474369435,-7.037084433048529,-7.194921251636357,-8.038416871978345,-7.89578260326903,-8.526161353465145,-7.123120092488767
10,-7.206046717168624,-7.917472756241184,-8.083017266114307,-7.186846292870782,-6.983767989765901,-6.812152051890385,-7.650776745906743,-7.752730228900692,-8.432787791490458,-7.019537264451941
11,-7.002309335393493,-7.917472756241184,-7.559284624299778,-6.9348956354256615,-6.920000183384523,-6.579884879834852,-7.046117941665396,-7.439299872373651,-8.144254443995196,-6.937382754783899
12,-6.6798345481029155,-7.636469894455079,-6.886319528644244,-6.849970000771191,-6.608303896154892,-6.579884879834852,-6.995426890670837,-7.016161921022379,-7.676701092938637,-6.83190043855397
13,-6.614641972940898,-7.17985446731413,-6.7404746134911,-6.593317068089142,-6.570951394296215,-6.443602476868149,-6.9099691952732165,-6.922421722933849,-7.582337570118975,-6.612271079608345
14,-6.383979745231743,-7.039680348765826,-6.714690425619964,-6.517398948673225,-6.504834504635705,-6.372421116183765,-6.631576068950468,-6.704312177061696,-7.387275706734329,-6.489216400723955
15,-6.336093290957682,-6.922271603838617,-6.448532077365402,-6.459136372500421,-6.298099931892706,-6.372421116183765,-6.562018472158425,-6.675951477497858,-7.299296424056032,-6.2208931786602975
16,-6.268711326582979,-6.728294745157904,-6.274946329265846,-6.344063868736819,-6.1383061415166535,-6.339008933250348,-6.5112770450707185,-6.675951477497858,-7.048836264010555,-6.038551601745459
17,-6.268711326582979,-6.723828743747753,-6.274946329265846,-6.159127051976043,-6.058806034996562,-6.257232966678979,-6.340953647579973,-6.5814355139840135,-6.875176964033301,-5.866603659682726
18,-6.0542636926202436,-6.723828743747753,-6.212605789200337,-6.135267207137854,-5.835243023237071,-5.789822415069407,-6.115800773394077,-6.492150532591621,-6.561086546997613,-5.838564858919451
19,-6.012710138320671,-6.273594214456846,-6.127337707439018,-6.096490259773525,-5.703261708504139,-5.754014515272755,-5.990601078367723,-6.394004593243643,-6.29251757619595,-5.607460039255799
20,-6.012710138320671,-6.104338741434416,-6.107484417178716,-6.081658692351599,-5.703261708504139,-5.651598038194237,-5.987208587498236,-6.3436611118525645,-6.1036264909112905,-5.566109830687075
21,-6.012710138320671,-5.836602922858493,-6.095361329313988,-6.07685564715708,-5.604618953038215,-5.651598038194237,-5.967763319001427,-6.0816576735949734,-6.041774338151927,-5.566109830687075
22,-6.012710138320671,-5.833937526168974,-5.762603418077292,-6.07685564715708,-5.604618953038215,-5.549325424950142,-5.71804675280401,-5.921398460713693,-6.0088491107715125,-5.5074988513510625
23,-5.995272129133377,-5.687273368212299,-5.598201680580889,-6.045651951244033,-5.478291164099398,-5.4405368478332825,-5.636788976490518,-5.777249503374016,-6.000494902616689,-5.5074988513510625
