iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-19.8046184813751,-19.97996466271065,-20.34012357343654,-20.489209532684598,-19.803762156744078,-19.764279911714283,-20.160679941962,-20.238315773612968,-19.1300221947941,-20.48099920462489
1,-13.660362406416656,-13.730748054482916,-13.19732242748058,-13.412448284388052,-14.078929585052407,-14.387685152567368,-12.819009163708671,-13.032625557413702,-13.096312251198299,-13.282313857617826
2,-12.16257285456743,-12.516417279351835,-12.83090158139559,-12.58532557289815,-13.499478914749796,-13.60142314675654,-12.579363656235884,-12.839789156355732,-13.1089089164222,-12.546511259197501
3,-10.279354712280183,-12.14150728351127,-11.690430376584441,-11.37314372055415,-11.776283696348797,-12.872941629476841,-11.577407314175217,-11.359333317022449,-11.958820275365067,-10.54958587824093
4,-8.79625036498769,-12.012468626265363,-10.684926113282982,-10.607394238432333,-10.167547308801689,-11.31599831403547,-11.932818161199453,-11.139441937213215,-11.02575162650309,-10.962777401533222
5,-9.111766470381678,-10.050269224300472,-10.797698876220727,-10.538272569489113,-9.110112120220514,-9.543640990350836,-10.79226554946089,-10.978815123866259,-11.085613990371767,-9.723361367310941
6,-9.13077334292148,-10.309707500885247,-10.685369081191745,-9.906551567738811,-8.696656393669203,-9.866230237238906,-10.642540727217394,-10.10496108973301,-10.5090025015101,-9.205825825628573
7,-9.705094381498387,-9.581133458088887,-9.902298465283337,-8.84459990183631,-8.17083947524318,-8.704322876832318,-10.151877369093572,-9.741057179328266,-10.417570492149395,-8.511676612973993
8,-8.842565719552269,-9.252615181973912,-9.388145627893243,-8.8014430410015,-8.308244937919914,-8.911747389226871,-9.525075593556338,-10.100128252727458,-9.742459665665637,-8.94217949475846
9,-8.269746950686024,-9.325244173114744,-9.303293924756675,-8.750128686784587,-8.625147451020297,-8.40780127037728,-9.401912937809236,-9.204021299411378,-9.828942602152516,-8.678930235296153
10,-8.560227423175519,-9.380115471792113,-9.521702062112494,-8.42989650625561,-8.256091144145152,-8.190174905158758,-8.8745103542002,-9.07192444913137,-9.488299010454936,-8.200452943043903
11,-8.398369387637324,-9.92749917469052,-8.649810175496839,-8.430375270077612,-8.03884023046137,-7.752181740972512,-8.053918565643018,-8.34682808711618,-9.593719397297413,-8.321966512516779
12,-8.251468775009275,-8.980202375024723,-8.274251924194967,-8.678224301169367,-8.025553591548807,-8.32823380014861,-8.458356941957142,-7.736007253862285,-8.809550378366183,-7.953818955110797
13,-8.312285635912701,-8.554613703359848,-8.368309380000163,-7.802957678810543,-7.924809497739949,-7.924950484475282,-8.252269334308806,-8.468693818152385,-8.77880358901994,-8.026536018427253
14,-7.8432172523115975,-8.410239596803962,-8.29957772050286,-8.0092890710966,-8.157002077455845,-7.726770276786411,-7.822961095247788,-8.115337802054126,-8.345145414232508,-8.356704199194914
15,-7.948466587943322,-8.48550647653467,-7.708620519725136,-7.877454054667844,-7.287814107020314,-8.36785078054489,-8.255996339753688,-8.145288731934336,-8.496543791234952,-7.683678114557345
16,-8.001419218270776,-8.622105720594046,-7.317790293030871,-7.726823766814971,-7.584252107876633,-7.561634455824631,-7.851598960416046,-8.562702886991008,-8.550220961154315,-7.660703670201091
17,-8.160981256715473,-8.281891486375013,-8.360384340205085,-7.708847267075087,-7.381034778514176,-7.676086913212698,-8.007039988490671,-8.369044710989227,-7.855655903069273,-7.216925790881462
18,-7.813744479099739,-8.795783345985544,-7.971185902925715,-8.098109503113509,-7.312962039684514,-7.060198750331348,-7.915706849744295,-7.52997460761485,-8.20509885328428,-7.398832439434667
19,-7.479634588673937,-7.969337673253831,-7.3298960026652225,-7.8185245542950526,-6.993374153350695,-7.162083644253047,-7.350184672762513,-7.563968976035424,-7.433749109219373,-7.451526471233281
20,-7.981247186959194,-7.554205713263368,-7.53139536871668,-7.843761493294356,-7.42060796663782,-7.138890919709427,-7.599764075642125,-7.713384009522654,-7.552178403609547,-7.679705382920917
21,-8.030104563823691,-7.98613038499309,-7.892316091864708,-7.532618321748271,-7.446579912547953,-7.692779087513712,-7.674530300992765,-7.515647222284777,-7.527296715639599,-7.573268165869612
22,-7.694079996169863,-7.498972623894218,-7.33208005396081,-7.828867470897759,-6.9482853696463085,-6.915485002147644,-7.283973303215362,-7.86029643618155,-7.654922091539268,-7.388926570409244
23,-7.636430401696787,-7.061589286510889,-7.388051534619928,-7.216390784991677,-7.011731614275402,-7.111737976398755,-7.311886007868188,-7.580904277715145,-7.409246485151423,-7.1440358736366845
24,-7.82840217830766,-7.802874972453576,-8.01911369506092,-7.246634602846033,-7.665959018772766,-6.732739171072705,-7.83351056502706,-7.436822915176114,-7.268414150309673,-7.209035455304243
25,-7.049414258844736,-7.505669757905826,-7.34731771934375,-7.380461173540092,-7.387443997320654,-7.417667073604548,-7.833984014357422,-6.960163025437282,-7.9820494342219215,-7.263838953574702
26,-7.226390073082561,-7.416434639974751,-7.68857494198047,-7.7380617917345145,-6.7112048773631185,-6.603251086386482,-7.518755943554776,-6.6817865098933895,-7.590889653678147,-7.04872925410248
