iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-14.595840289891807,-14.663285144959797,-14.470267692162917,-14.847260078105624,-15.19580574759481,-14.968199708214975,-14.824656504760512,-13.952871538238714,-14.345140725453177,-14.59090024413834
1,-14.557510708012593,-14.663285144959797,-14.456002681504698,-14.59346908240267,-15.117822538319537,-14.869923560563368,-14.68270833411994,-13.720927718225996,-14.307467726819846,-14.59090024413834
2,-14.557510708012593,-14.64827712545981,-14.456002681504698,-14.59346908240267,-15.117822538319537,-14.867380777961568,-14.68270833411994,-13.720927718225996,-14.286199884371305,-14.59090024413834
3,-14.557510708012593,-14.61100096643168,-14.454253014356,-14.59346908240267,-14.95874682564104,-14.867380777961568,-14.68270833411994,-13.720927718225996,-14.286199884371305,-14.59090024413834
4,-14.557510708012593,-14.608172624790448,-14.433795696716157,-14.59346908240267,-14.95874682564104,-14.829904358115499,-14.68270833411994,-13.720927718225996,-14.286199884371305,-14.457020703713127
5,-14.449155795600944,-14.608172624790448,-14.42789316147461,-14.59346908240267,-14.94840988820448,-14.746204655297182,-14.56387577971891,-13.67871348315086,-14.156166714241234,-14.457020703713127
6,-14.449155795600944,-14.553580186804751,-14.42789316147461,-14.524380750549401,-14.94840988820448,-14.745050371823991,-14.429384581058748,-13.67871348315086,-14.156166714241234,-14.457020703713127
7,-14.437696685107527,-14.51657437411832,-14.42789316147461,-14.524380750549401,-14.94840988820448,-14.725590748933438,-14.429384581058748,-13.67871348315086,-14.156166714241234,-14.411480579515594
8,-14.437696685107527,-14.51657437411832,-14.206222981071106,-14.50601313215683,-14.907420841403324,-14.626964342746968,-14.429384581058748,-13.494937897664238,-14.156166714241234,-14.411480579515594
9,-14.437696685107527,-14.51657437411832,-14.206222981071106,-14.50601313215683,-14.907420841403324,-14.626964342746968,-14.387663326289973,-13.471178161331324,-14.156166714241234,-14.411480579515594
10,-14.437696685107527,-14.51657437411832,-14.206222981071106,-14.50601313215683,-14.905586814908508,-14.612279802039616,-14.29216128127715,-13.471178161331324,-14.156166714241234,-14.411480579515594
11,-14.437696685107527,-14.515750339409347,-14.206222981071106,-14.39450823219088,-14.726739130994707,-14.612279802039616,-14.11315084583848,-13.460356388387147,-13.986611426406778,-14.230419637487932
12,-14.437696685107527,-14.515750339409347,-14.206222981071106,-14.292936611992872,-14.726739130994707,-14.601771911716774,-14.11315084583848,-13.460356388387147,-13.986611426406778,-14.19959212390009
13,-14.437696685107527,-14.515750339409347,-14.206222981071106,-14.186397189587137,-14.562783827244363,-14.601771911716774,-14.11315084583848,-13.460356388387147,-13.880709626789592,-14.121061431784774
14,-14.437696685107527,-14.515750339409347,-14.167240191770086,-14.186397189587137,-14.562783827244363,-14.598364959397058,-14.11315084583848,-13.460356388387147,-13.86186731287576,-14.069355967511243
