iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-19.8046184813751,-19.97996466271065,-20.34012357343654,-20.489209532684598,-19.803762156744078,-19.764279911714283,-20.160679941962,-20.238315773612968,-19.1300221947941,-20.48099920462489
1,-19.345107418472082,-20.008316659636858,-18.549443732877727,-19.136178484740487,-19.79852034652792,-18.936582258408244,-20.728628326481413,-19.053919252001617,-19.09087268269541,-20.92764800743251
2,-19.95555172594414,-18.522916704195794,-19.1313821226883,-19.329567032378282,-20.175251448796455,-19.563591002499113,-19.114207285726977,-20.182681476493187,-19.343602363881537,-20.64550287097095
3,-20.393643712755196,-19.38310485174935,-19.35560718447416,-20.717407550148184,-19.514418388557175,-20.591626757975966,-20.896694070835082,-19.531330278436307,-19.476634433414546,-21.516232084512467
4,-18.994592927889272,-19.732652832086078,-19.72021105048014,-20.283066741078827,-19.921641526718293,-19.652381699449368,-20.059048749961697,-20.83574961790736,-19.260421639219352,-18.4518102969688
5,-19.382602689847012,-19.605936349538815,-20.279148025463503,-19.770325709152115,-19.09069358343529,-19.161683625666775,-18.782927276057784,-18.116534998986918,-19.30616200231116,-19.7082154835296
6,-19.365340174528036,-20.188140821384522,-19.596555068944628,-20.280769289104484,-19.53086977881773,-19.770953289035695,-19.023860493872434,-20.88043821574993,-19.185225896015915,-21.144715243212875
7,-19.76696528929358,-19.534759437387887,-18.970676689875667,-19.951898699925845,-20.61028795540074,-19.34847345804787,-20.775576416343526,-20.523291462148308,-20.152538097599162,-18.920021673837
8,-20.32351725696833,-20.127564596443897,-18.350256192278515,-19.9901194512878,-18.595488953783203,-18.92203112399182,-20.704068380293826,-20.076913613164677,-20.639850955784077,-20.335135077823622
9,-19.996264102083785,-19.675325476284357,-20.181517411462984,-19.54189194497967,-18.353920124645114,-19.516302234457214,-19.743099450688153,-18.91941245399822,-19.21586899442846,-19.578572090136717
10,-19.770263552649546,-19.085576305728438,-19.433073445366638,-19.189258768446663,-19.538648724397298,-20.138718135056465,-20.01067621310587,-18.08653955660403,-19.861117718501433,-19.57664741496778
11,-19.881365504866366,-19.15219760623889,-19.63644238248866,-18.54561863621226,-19.385036042107323,-19.402952214885108,-19.735737922316833,-18.695859316948535,-18.653211854289637,-18.60041038305956
12,-20.587022746807797,-19.324272634685833,-19.251710366501385,-18.945043837646235,-18.859784571179603,-20.406613731326836,-19.682803850492366,-19.201410597120216,-18.934836784832008,-18.826576210817848
