iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-14.595840289891807,-14.663285144959797,-14.470267692162917,-14.847260078105624,-15.19580574759481,-14.968199708214975,-14.824656504760512,-13.952871538238714,-14.345140725453177,-14.59090024413834
1,-13.722337416192289,-13.811291562746025,-13.309182645672959,-13.28194943943749,-13.77763232488188,-13.716501078286615,-13.35870214069656,-13.233542499013424,-13.40566521607191,-13.454294782583974
2,-12.25649373405399,-13.1656801471587,-12.611738796775736,-12.426444444566812,-12.486154262604837,-12.9981165120519,-12.158743227384289,-12.65082041422213,-12.468009848028508,-12.306804191110778
3,-11.5784656614817,-11.60303305544238,-11.515652462524498,-10.979975262322855,-11.444182481671593,-11.870458015899697,-10.861586901677356,-11.948765020340442,-10.82026803848677,-10.654996504336985
4,-9.024334465271608,-10.18183387591443,-10.935386813892018,-9.900781682103744,-9.986620482402852,-11.069420824411338,-10.359574729321102,-11.214543736779682,-10.59309020180185,-10.221792738194738
5,-8.699340878135802,-9.702802915091045,-10.614734950781685,-9.702655098655928,-8.888341371395356,-10.01626662584204,-9.734060876439328,-10.546090365138705,-10.3004413929981,-9.306517415770525
6,-8.58024854994368,-9.308919722532385,-10.331864340658164,-8.982677427933826,-8.066417788689044,-9.382231474799601,-9.623293641759686,-9.977810102592096,-9.898512158270202,-9.007271339473096
7,-8.416159639394177,-9.09012164300607,-10.015098767609695,-8.191250999555589,-7.69178678357271,-8.657184917713375,-9.505959746987354,-9.91955634256154,-9.562784138713791,-8.516278500424068
8,-8.390846573284474,-8.645707835033669,-9.39609777356695,-7.875426550469863,-7.555458807816307,-8.501184445700062,-8.806223405279308,-9.374693019332192,-8.95878720559401,-8.102149479280975
9,-8.028242611324664,-8.523936973020877,-9.042472733588259,-7.5078334129220465,-7.334969986832027,-8.364877210749299,-8.391003436451744,-8.85264949262788,-8.61768899135588,-7.850501730487764
10,-7.803160062687493,-8.11369807810247,-8.768519521599442,-7.095003703033913,-7.22540480308696,-7.9632943343835665,-8.347271822424165,-8.800238909877116,-8.142950712200754,-7.5444683380905975
11,-7.693217069961478,-7.749478769333271,-8.609524297298307,-6.960605721434165,-6.835998114147087,-7.520326557295439,-8.254822556648774,-8.728079323212746,-7.535912854535772,-7.196917327030858
12,-7.211101265718305,-7.2678996836203265,-8.119391869277058,-6.7069580630475585,-6.75623589311622,-7.3634388639056,-7.777527042010378,-8.54940343143498,-7.260285965433355,-6.910647227852773
13,-7.100521626409743,-6.935821356127729,-7.469988654090725,-6.684703281324415,-6.541520498386552,-6.967448137763824,-7.551285548580807,-8.252488555977255,-7.233761713880294,-6.50825084366054
14,-6.904322852657215,-6.529424692127341,-7.385415856593376,-6.511065391572798,-6.394142440078717,-6.9617730761196075,-7.072041515267314,-8.252488555977255,-6.896381536521308,-6.284705830854645
15,-6.839045727533389,-6.361244430719627,-7.08570234905695,-6.303249123639022,-6.346071934958875,-6.78372246274362,-6.859026199424927,-7.904001538002698,-6.8449346718199235,-6.192800564906992
16,-6.564357713417444,-6.340036918482482,-7.073680054400479,-6.227899143055819,-6.3203007190407146,-6.609165097539611,-6.574483856134286,-7.792798001576447,-6.478466659208893,-5.638611227464432
17,-6.325701909837014,-6.128598439637157,-6.881129131655253,-5.9760829558030295,-6.306816491485764,-6.430814664074574,-6.3136978928465615,-7.56251503652957,-6.421164232761978,-5.393660684848298
18,-6.149868903075783,-5.924052981652961,-6.782296900606197,-5.96578933988275,-6.242671619061998,-6.3773493550653,-6.284603111635667,-7.424894051366482,-6.310745084484783,-5.380145043443206
19,-6.149868903075783,-5.903331326921185,-6.517183596521706,-5.903254934606286,-6.099963521158701,-6.265171391303589,-6.147412556523495,-6.9296016123891535,-6.078024863035948,-5.380145043443206
20,-6.047668093244561,-5.817746681289899,-6.515643908822085,-5.861778928858727,-6.099963521158701,-6.257586566762807,-6.071423988219432,-6.791599257801666,-6.0510779343403645,-5.276537105206244
21,-6.014381850201626,-5.7191201947398564,-6.324435259971091,-5.828950176485315,-6.020443169911753,-6.100006052046973,-5.8415087476086125,-6.520714980841803,-5.990680710648379,-5.1491505130141375
22,-5.937889497171373,-5.517400725846807,-6.223512529160475,-5.80202599883887,-5.881723962315694,-5.964659416047423,-5.811467157763982,-6.293155305311744,-5.9694227942711855,-5.1491505130141375
23,-5.8012878555765575,-5.286548507562401,-6.109316581725491,-5.658705223625184,-5.7008862844867245,-5.862038753575268,-5.6120741529390745,-6.166141999573378,-5.90160369826226,-5.1137340425845945
24,-5.712846113499845,-5.214622021991528,-6.0744441637265565,-5.484924806558688,-5.690234856591772,-5.720539688284281,-5.4925516336915665,-6.053670555175129,-5.747050285400187,-5.1137340425845945
