iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-19.8046184813751,-19.97996466271065,-20.34012357343654,-20.489209532684598,-19.803762156744078,-19.764279911714283,-20.160679941962,-20.238315773612968,-19.1300221947941,-20.48099920462489
1,-13.98687304537873,-14.124810262074528,-13.522771438710404,-13.431639594209033,-13.869980263137892,-13.9274932579773,-13.398229411034642,-13.529893859846569,-13.646188945933567,-13.701227786429536
2,-12.510408870119248,-13.556388495810836,-12.876131411765133,-12.807608105420929,-12.66365285092785,-13.365020549492677,-12.259302368846868,-13.096502455028858,-12.851154360471979,-12.543265151785608
3,-12.03609122245599,-11.930206116485953,-11.746473596605512,-11.190260438420484,-11.655167147226445,-12.410244283999246,-10.978508707231482,-12.188546190312493,-11.10277265304481,-10.953640643808125
4,-9.078026260679536,-10.52713089416,-11.149413589174998,-10.246882585165064,-10.406740196706663,-11.497156351516512,-10.60868731621062,-11.861085146975759,-11.22412816474463,-10.60767499747232
5,-9.217416231004162,-10.420857869536547,-11.43750292514044,-10.486047018794636,-9.128390534819584,-10.52760334115447,-10.147538590677007,-11.231161135785499,-10.643635099439521,-9.903793257009289
6,-9.642191938767214,-10.178268424996999,-10.806156104856804,-9.621713416479388,-8.593705306993071,-9.901069814241835,-10.427218596256628,-10.428564628574456,-10.590046290882256,-9.559258287246545
7,-9.326922500563526,-10.311336709577613,-10.94978079266993,-8.58078238760137,-8.381637171413953,-9.307462004267013,-10.460238968287928,-10.986531077826136,-10.376781514683408,-9.204183494587907
8,-9.927649718549983,-9.465673743841945,-10.180282804834455,-8.662060337889805,-8.71357152907559,-9.538475413440953,-9.999917486699056,-10.275848105299556,-9.651939972840268,-9.515766676568298
9,-9.104848997993752,-9.607151616771656,-9.650227149588815,-8.096094721623553,-8.56215871714118,-9.437483117077342,-8.909447514885358,-9.707582189410548,-9.172159079592811,-8.65608728006508
10,-8.860490645126017,-8.784313625503032,-9.627428023694968,-8.14046166157667,-8.111011306280577,-8.793248102666244,-9.273883840430903,-10.174454440239455,-9.086089000720236,-8.488245070925323
11,-9.082317257662929,-8.652608946672213,-9.338829351703339,-7.734872545832903,-7.518416781234464,-8.551072248858844,-9.490366495168885,-9.90507815588764,-8.224784711767594,-8.074671836440556
12,-7.949429150306554,-8.161791669617156,-8.927912312977577,-7.9111994781498645,-8.244649388344538,-8.606247257082007,-8.663279930506679,-9.619967498219948,-8.119969125810357,-7.833042066492789
13,-8.063706623005423,-7.795890449764902,-8.35704572886586,-8.33999958170603,-7.901033271337907,-7.98541685403779,-8.633260652106252,-9.232181095155962,-8.391157415041455,-7.4166249621335165
14,-7.762633518338658,-7.610504061561411,-8.223600283211233,-7.507142661823298,-7.80231756543572,-7.937930443836397,-8.18670275375218,-9.754433801066206,-8.032295880230233,-7.370365770178934
15,-8.290031355592525,-7.084558000186112,-7.729272077202938,-7.828734400951312,-7.400916779182495,-7.9025403339880995,-7.759956027491935,-8.859788785101461,-7.628031638643074,-7.819614914039947
16,-7.717095365614364,-7.11379496482369,-8.45965533456801,-7.587931922666189,-7.865620117401593,-7.741859968179891,-7.617474634694062,-8.750461766258221,-7.477059361186251,-6.689617237317014
17,-7.246046630843178,-7.0671847021268706,-7.854645687970571,-7.217012369759717,-7.346303116085744,-8.012267285204507,-7.535980029761019,-8.600685563708424,-7.1764474092241795,-6.776146615669132
18,-7.119109643016001,-7.035928730117565,-7.672251772780009,-7.2018195045136935,-7.72877071482532,-7.808917662886838,-7.661049402597504,-9.006114628746,-7.436486208430784,-6.982172156295521
19,-7.71061399746962,-7.350880124011914,-7.702889185916046,-7.033921398362105,-7.612642518646729,-7.714160136391991,-7.687890101192078,-8.381263609624908,-6.955573974181803,-7.045930627125756
20,-7.249175163556904,-7.000900422808435,-7.861012193022484,-6.801769109017817,-7.639266755791409,-7.711609738595016,-7.489175235400734,-7.6754853508174286,-6.866674272687911,-6.725595986684197
21,-6.872303054866543,-6.683946122728626,-7.687807510942651,-7.0690844225480625,-7.0777665902928595,-7.345811258540859,-6.910580194330455,-7.31531752832079,-7.0036526637651795,-6.540275440894757
22,-6.928808077776565,-6.5682176383841675,-7.066982489177706,-7.347049146145703,-6.939644814693224,-7.310387254023236,-7.172406228563376,-7.312645281571596,-7.49031636638383,-6.708679887882518
