iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-14.172386389726457,-14.425161853153341,-14.65476814209442,-14.661454431117455,-15.163561686775374,-14.467335857561496,-14.784943411381121,-14.410930845493834,-14.176100088506832,-14.575456536444893
1,-13.365559259793084,-13.457966408068339,-12.99394929053365,-13.566643947685197,-14.073219456267015,-14.007715566571116,-13.528472258243669,-13.423189303564634,-12.994194997824593,-13.483229742654864
2,-12.432676739272111,-12.810790786247392,-12.022155921061708,-12.545031286105045,-13.669916156661579,-13.700775143863442,-12.835816225797338,-13.030234852964288,-12.347847579996415,-13.215555339001554
3,-11.597217343009472,-12.49964494598765,-11.586094126004152,-11.914006921332234,-12.43825113091318,-13.156700727818183,-12.052962704541574,-12.483123903330728,-11.914323962017546,-12.802327557633966
4,-11.156617053560886,-12.292244310773295,-11.468511992510681,-11.67706502323089,-11.662200697236662,-12.484042743347821,-11.850729914910804,-12.159641453686193,-11.355941965119218,-12.323622556670284
5,-10.93542942443393,-11.780657214682606,-11.302100113527082,-11.56786026262873,-11.390733408778434,-12.100733998844358,-11.342476870401232,-11.594881496953771,-11.07102601997471,-11.972456137645697
6,-10.718330722458331,-11.623702638059967,-11.13028354310632,-11.192360553522228,-11.333751243267935,-11.703296156437833,-11.097373231178292,-11.476342701597705,-10.9974691322385,-11.832664230021027
7,-10.689869824872677,-11.36807272693272,-11.008530247178744,-11.010472283716915,-11.117202521707583,-11.346999747594694,-10.926491372322158,-11.117549746266771,-10.918170619932862,-11.498576463014963
8,-10.652504932228766,-11.15444824583006,-10.933413212359174,-10.437509085640007,-11.014317434224568,-11.33196684815655,-10.77123102090747,-10.871965884975392,-10.515933615900554,-11.310694333619589
9,-10.593452519308574,-10.815228068389658,-10.480181177181517,-10.412458044580081,-10.556751354130508,-11.33196684815655,-10.576164513114506,-10.662290420541012,-10.495548288196904,-11.038665812994969
10,-10.460267915572462,-10.482843672486577,-10.259351007525375,-10.20684188522645,-10.350258556936133,-11.281432982841581,-10.078530312079732,-10.594599063957734,-10.487615660632132,-10.869918547533288
11,-10.171345606203932,-10.236930271531905,-9.779230006556052,-9.939901702828962,-10.039848750531508,-11.203203344324766,-9.755435816008907,-10.476697683516802,-10.297845157686197,-10.656528179985296
12,-9.912125501434836,-10.102705855886981,-9.64690119091502,-9.939901702828962,-9.925789251716116,-11.061776731070484,-9.705331564828581,-10.057693392983083,-9.824713474304842,-10.320691543226449
13,-9.912087335430599,-9.679051946972827,-9.466813416305353,-9.848022562466909,-9.775451558893025,-10.803740461289769,-9.462285803654956,-9.854237170515706,-9.767570236769448,-9.75946525270276
14,-9.794212143476598,-9.480526948565835,-9.399994153239936,-9.75837064961274,-9.733700275154465,-10.742183339299872,-9.403730799433749,-9.692607614759602,-9.539000717417386,-9.710114664908795
15,-9.377202721196607,-9.31372163193593,-9.063269154153238,-9.483011677007234,-9.692619438957731,-10.622788904229242,-9.18609281426847,-9.651810202679101,-9.407320014667476,-9.596354525856515
16,-9.17680085090727,-9.159828427690531,-9.043927699823525,-9.28240127204143,-9.631131386513289,-10.47571611280171,-9.153884140472538,-9.590108896887411,-9.104840786025857,-9.375210830281407
17,-8.898166083766728,-8.934555391890447,-8.984194409842658,-9.203414649371972,-9.562695126587933,-10.47571611280171,-9.0744963994891,-9.590108896887411,-8.817298697020117,-9.339337760601818
18,-8.75906149149032,-8.85402410148334,-8.823728111727824,-9.183322315893296,-9.384719810520942,-10.335835465106621,-9.050214778515025,-9.555666120092933,-8.817298697020117,-9.224712544871029
