iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-20.27741459406535,-20.28864791813615,-20.40524329734532,-19.815367542578706,-19.867347022062248,-20.196795577232997,-20.118210374701817,-20.614091285235475,-19.447061988803007,-20.207930163611845
1,-14.460802875498771,-14.454963968331915,-13.862025920460937,-14.181704417953409,-15.218430726603053,-15.456636275650544,-14.145169317227303,-14.657121188946,-14.22638164791436,-14.962736463938844
2,-13.501560212298545,-14.145760662157947,-12.825045914829705,-13.469754921599293,-15.201658881623068,-15.462587587965999,-13.838212788762672,-14.361631159055396,-14.23816171721178,-14.645725913939948
3,-12.396501220606988,-13.936048196455005,-13.215416986694109,-13.28815300638839,-13.089712795022248,-15.04661073361388,-13.184529330531964,-13.347475430435868,-13.842463766843096,-13.532790652353441
4,-12.190853136355127,-13.066958781243624,-13.42994369316527,-13.985116231425572,-13.66694336507248,-13.597841001305786,-13.427360793242293,-13.843921117986092,-13.817576564092832,-12.942667416369634
5,-12.585110978740879,-12.782854463007526,-13.170122455299339,-13.847405519811439,-14.385038946584046,-14.577685291087517,-12.586227887976765,-13.41707944226851,-12.943210317042395,-13.14667766282928
6,-11.64069281818463,-12.59875368297094,-12.6548978521136,-12.750053574434403,-14.404800255186846,-14.368234282420168,-13.422542399287796,-13.899501327629965,-13.047346577363317,-13.312880527718814
7,-12.190034553022313,-12.424187501586466,-12.844492637405331,-12.929658040328457,-13.604197546567109,-14.210153000543183,-14.188756375295451,-13.419219223414359,-12.711014525333187,-13.36877519810519
8,-12.027031660844653,-12.902636368240348,-13.161545826361422,-11.806412484224584,-14.824532946022375,-14.40112011212635,-13.236639354788476,-14.77887823296465,-11.865047102231353,-12.732408922085455
9,-11.996405486925326,-11.617583482590947,-11.736671130362124,-13.568923061574534,-13.272758987876784,-14.18436012189941,-12.445961965076872,-13.700531960342992,-12.378253846364293,-12.223019769426639
10,-12.12316379347352,-11.246394338210695,-12.718436254390639,-12.908238580033997,-12.691029694975452,-14.215383672136399,-11.780905751540052,-14.606438333061721,-12.562851070425644,-12.300705521758426
11,-11.402193469595606,-11.577203821025199,-11.433633833977387,-11.939839557380223,-13.19308154418651,-13.735833366278086,-11.529863546571278,-14.118241546104036,-12.00678328289288,-11.856635106284706
12,-11.575331479117715,-12.032598075227405,-12.608305929854861,-13.117564469975312,-14.423753414761968,-13.7500609195184,-12.910528952727823,-12.844093287325848,-11.224598850098591,-10.787384884734685
13,-11.865719051906412,-11.694640909109289,-12.384101997185134,-12.55248076366711,-14.899294284110313,-13.243354065404397,-11.871355352780958,-13.867521149997103,-12.493614016401544,-12.156248556268086
14,-11.577555778130783,-11.295036229615746,-12.701880728301804,-12.268045268900135,-14.936982936278913,-13.421964501443579,-13.179914071092554,-14.754372646713247,-12.041713820442112,-12.679097748482594
15,-10.459730007075503,-12.09756212764245,-12.053901416770467,-11.965361346533271,-13.622188359370476,-14.322370161691758,-12.165939633021841,-14.199156370643417,-13.013154047849222,-12.074806718546565
16,-11.674767678052161,-12.177797887677087,-12.922200438713924,-12.690158655005577,-13.832665613228624,-14.219175648356593,-11.567502156853864,-14.497459670138614,-12.267060451380443,-11.366721818847092
17,-11.589346887770946,-11.682937952700204,-12.920438217408414,-12.885325766361351,-12.830694337623349,-14.638877538719496,-12.642568230663063,-14.355551570756052,-12.145126598459507,-12.214021343343175
18,-11.619615189630583,-11.854677649997654,-12.060986056702408,-13.029355357344638,-13.332933893048164,-13.651806104408541,-12.61962796279624,-14.491773664888942,-13.792910276570844,-11.891613761399844
19,-12.430638227318493,-10.989004425686076,-13.191085812270341,-12.593862421685408,-14.67448733951903,-14.24938696227098,-13.08463814083321,-13.856441468758678,-13.041278818047736,-11.929746647143265
