iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-14.25220149469574,-14.726693896033808,-14.541996969487347,-14.440616790451152,-14.891110375604326,-15.143255901557724,-15.280000909335286,-15.467949774090332,-14.124996192666716,-14.3799131674583
1,-14.203257155631245,-14.726693896033808,-14.541037285206375,-14.440616790451152,-14.794853012211421,-15.143255901557724,-15.280000909335286,-15.467949774090332,-14.124996192666716,-14.193186744541697
2,-14.203257155631245,-14.726693896033808,-14.541037285206375,-14.440616790451152,-14.794853012211421,-15.143255901557724,-15.214511058893187,-15.467949774090332,-14.124996192666716,-14.166813749018669
3,-14.203257155631245,-14.68247292505325,-14.541037285206375,-14.440616790451152,-14.76015957141571,-15.048633802723163,-14.862661027788624,-15.467949774090332,-14.124996192666716,-14.166813749018669
4,-14.203257155631245,-14.68247292505325,-14.490313157296422,-14.440616790451152,-14.76015957141571,-15.048633802723163,-14.862661027788624,-15.329837062983682,-14.124996192666716,-14.166813749018669
5,-14.203257155631245,-14.68247292505325,-14.490313157296422,-14.440616790451152,-14.76015957141571,-14.956602012635651,-14.862661027788624,-15.300512797127473,-14.124996192666716,-14.166813749018669
6,-14.203257155631245,-14.68247292505325,-14.446169818779325,-14.440616790451152,-14.76015957141571,-14.8598309944167,-14.740695078916938,-15.300512797127473,-14.124996192666716,-14.166813749018669
7,-14.203257155631245,-14.669909252245159,-14.400244653090535,-14.440616790451152,-14.623814339921374,-14.500869429988622,-14.740695078916938,-15.247640978297156,-14.124996192666716,-13.90104797248616
8,-14.203257155631245,-14.669909252245159,-14.400244653090535,-14.440616790451152,-14.623814339921374,-14.500869429988622,-14.737231057060118,-15.247640978297156,-14.09478553219201,-13.90104797248616
9,-14.203257155631245,-14.669909252245159,-14.400244653090535,-14.440616790451152,-14.549842323148761,-14.415761205006602,-14.737231057060118,-15.247640978297156,-14.09478553219201,-13.842884558450653
10,-14.203257155631245,-14.602062468911184,-14.18004689769133,-14.440616790451152,-14.533706543558193,-14.415761205006602,-14.686510982918422,-15.247640978297156,-14.091561893606542,-13.842884558450653
11,-14.173011742022704,-14.602062468911184,-14.18004689769133,-14.338919084324562,-14.533706543558193,-14.415761205006602,-14.575567628594499,-15.067238530688968,-14.005830778858305,-13.842884558450653
12,-14.172196356551414,-14.602062468911184,-14.051064461796027,-14.338919084324562,-14.533706543558193,-14.333922391604096,-14.575567628594499,-15.067238530688968,-14.005830778858305,-13.842884558450653
13,-13.851111998489554,-14.595659700187,-14.051064461796027,-14.31411710829392,-14.443504231782889,-14.19879683416815,-14.541001970975165,-14.836914601833058,-13.935229265619869,-13.792647956550956
14,-13.74799257239267,-14.595659700187,-13.922596797579198,-14.31411710829392,-14.443504231782889,-14.177766558780903,-14.266090451514529,-14.68988683532892,-13.935229265619869,-13.792647956550956
15,-13.74799257239267,-14.595659700187,-13.844034139344199,-14.229378864605017,-14.435348651636705,-14.072393095182203,-14.266090451514529,-14.647617087882518,-13.935229265619869,-13.774726791086582
16,-13.74799257239267,-14.595659700187,-13.727686752396028,-14.229378864605017,-14.435348651636705,-13.740074467254793,-14.266090451514529,-14.647617087882518,-13.880007937874474,-13.748409675486212
17,-13.70818309253153,-14.595659700187,-13.727686752396028,-14.229378864605017,-14.408048895083352,-13.740074467254793,-14.13504051105005,-14.647617087882518,-13.880007937874474,-13.601193025975016
18,-13.70818309253153,-14.591343688612511,-13.632332789496708,-14.207861755656094,-14.408048895083352,-13.650696708401755,-14.13504051105005,-14.647617087882518,-13.880007937874474,-13.601193025975016
