iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-18.908935445254773,-21.43021589569065,-18.877401949805556,-20.47400784433339,-20.66129886116984,-19.608598353505197,-20.445252003480245,-21.200190471316144,-19.645166021925505,-19.761383526042522
1,-21.86103952957078,-23.426491185595086,-24.59201413429777,-26.26909839082979,-26.75662815540236,-24.523406855505385,-24.473940887326663,-26.83017665740578,-24.147604204327102,-24.59319141093731
2,-25.5387626031627,-28.42703568577887,-27.772050656358093,-27.687842757397306,-29.342873513117464,-29.05829376041006,-26.177821728321426,-27.97461992399169,-29.327226696673453,-27.55969188685463
3,-27.589539965055696,-26.220095630049236,-26.98330709500257,-25.655511720990685,-26.041544403729326,-27.438185281339113,-24.781118540271912,-24.203678971185354,-25.473950719957873,-24.486707612533284
4,-24.478891933211823,-26.630517441680375,-24.30681701571487,-25.73640853851744,-22.523886322772604,-24.886260939805005,-24.908023100768947,-25.03837514939876,-23.99692149563915,-25.454839382887435
5,-23.42619153249194,-22.86004529597415,-26.667975695528813,-23.197888344383635,-22.83337290407385,-24.640249605943836,-23.231965063587747,-22.399386701735367,-24.654619952456727,-25.595240732465882
6,-23.734936333647703,-25.872037111872586,-22.900560651535844,-21.142509556983843,-26.86242522063521,-23.349931049494828,-23.51497194307604,-25.779847737403525,-23.604182422111023,-26.163541156191663
7,-23.279154479849446,-23.760167015413824,-20.20867270824312,-23.990230553279282,-22.82293327231017,-24.263177412231705,-24.20901742580302,-22.312414640947292,-23.57821359703815,-20.235757763231867
8,-21.91516338164213,-23.221100341104677,-22.969090099160518,-27.322542810733708,-24.15962500282689,-26.24275976696336,-21.125652506439387,-21.353943439109127,-20.687122757655423,-21.518137886445533
9,-21.38476758529067,-24.783260354991796,-23.889439793070316,-23.612589461072925,-22.019740394374708,-21.02105056354361,-23.69147730234788,-22.51866508447959,-24.13422145845646,-25.40131537438277
10,-25.62460360386493,-19.943547037734476,-19.99511408872737,-24.757710914835066,-23.190137719551217,-22.069904940289256,-25.200051630379058,-23.75767508465804,-24.52819372263383,-20.18910665027039
11,-24.3383033456729,-21.443854962210068,-25.50919816831744,-25.43704434730949,-23.4223944852411,-21.702650480228407,-19.582734992436897,-22.87326736852068,-21.012172879092102,-25.205007788838316
12,-21.069612449618646,-22.03718288018507,-22.668475179925778,-21.63669333759346,-21.548551465508446,-23.066479839758127,-23.450837076724437,-23.425935183054484,-21.84330664183631,-21.145367669205648
13,-23.71416959572351,-24.91531855095177,-20.209101647744486,-21.815895526135126,-23.922322717324555,-22.898104393642853,-20.34649690435507,-21.148370670370923,-20.190638070809218,-19.808510609667792
14,-21.19558342595403,-23.982546139411937,-20.57507881744886,-24.13509739825681,-23.245892034876313,-20.389350650673897,-21.587243754375756,-20.16849208356306,-21.169871192586285,-23.590867104734627
15,-23.067448789338037,-22.256597890951383,-20.82002198716551,-21.758605552620644,-23.58398390512604,-20.683994684079373,-23.491083695045017,-22.99491486991794,-21.989142433807864,-18.114444840698937
16,-23.069473694740694,-21.61314271905204,-20.630425052327357,-21.50344054675031,-25.053018968551733,-18.495881899928218,-21.55946420540938,-20.774524489853327,-19.878466893610735,-22.418381262823424
17,-22.351607683005277,-21.829830318919555,-21.909681697261156,-21.74796024994275,-21.163961076213816,-21.85421461081083,-17.87758743588492,-22.62964190320797,-21.08137681175601,-19.013961398992343
18,-21.483662820365105,-21.187758795354434,-20.464012234083462,-22.13364749457623,-23.15354837921509,-21.496094963572695,-23.679714931640987,-20.888943592732822,-20.48449514926623,-21.365731987584056
19,-21.341823944785776,-22.51457211980992,-21.060753632317308,-21.81193366379756,-22.25679257092714,-23.186111641841528,-21.177675187263844,-21.305264335630135,-19.54463425913214,-20.739065484379097
20,-18.597501782277725,-21.460512618728927,-21.420094027513883,-19.738526746210653,-26.964405354740975,-22.97355307767681,-20.091756226936376,-23.47271076532629,-18.55549084880422,-21.14583486517659
21,-19.25889186024464,-22.076357057440703,-20.07547116788401,-21.00860362736644,-20.891982988743308,-19.643321240337862,-22.140233342073465,-19.57655514310745,-21.93549873414134,-21.325480251213623
22,-22.2354023109422,-22.79762418781248,-21.469858816560922,-21.18647781166526,-21.519763680225353,-19.28626938399921,-23.389145640763783,-20.20787337689308,-21.044937352679664,-19.909370329225965
