iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-14.172386389726457,-14.425161853153341,-14.65476814209442,-14.661454431117455,-15.163561686775374,-14.467335857561496,-14.784943411381121,-14.410930845493834,-14.176100088506832,-14.575456536444893
1,-14.172386389726457,-14.425161853153341,-14.552142530115727,-14.64903246611554,-15.128249261561034,-14.322638589681096,-14.521493191437415,-14.410930845493834,-14.176100088506832,-14.559737999550062
2,-14.172386389726457,-14.425161853153341,-14.530515863871262,-14.64903246611554,-15.070535285706457,-14.322638589681096,-14.51158259121378,-14.398559371123582,-14.176100088506832,-14.559737999550062
3,-14.172386389726457,-14.425161853153341,-14.530515863871262,-14.594874975625647,-15.070535285706457,-14.322638589681096,-14.51158259121378,-14.398559371123582,-14.176100088506832,-14.559737999550062
4,-14.172386389726457,-14.425161853153341,-14.491452350370999,-14.551595405836615,-15.070535285706457,-14.286627513716953,-14.416947832416342,-14.398559371123582,-14.087747781198352,-14.559737999550062
5,-14.16313872259235,-14.235175646918906,-14.491452350370999,-14.551595405836615,-15.070535285706457,-14.12510334410888,-14.401120426219405,-14.398559371123582,-14.087747781198352,-14.559737999550062
6,-14.16313872259235,-14.235175646918906,-14.491452350370999,-14.551595405836615,-14.97221736866488,-14.12510334410888,-14.401120426219405,-14.398559371123582,-13.984577000574328,-14.559737999550062
7,-14.16313872259235,-14.235175646918906,-14.491452350370999,-14.551595405836615,-14.904041966697093,-14.006341966259267,-14.400222991203474,-14.398559371123582,-13.984577000574328,-14.535956950993704
8,-14.083359141979706,-14.226210545222372,-14.478496044985514,-14.54752105761918,-14.901894815453282,-14.006341966259267,-14.400222991203474,-14.084046547477268,-13.984577000574328,-14.535956950993704
9,-14.083359141979706,-14.226210545222372,-14.478496044985514,-14.495519515675568,-14.901894815453282,-14.006341966259267,-14.185391347391379,-14.084046547477268,-13.984577000574328,-14.535956950993704
10,-14.083359141979706,-14.226210545222372,-14.478496044985514,-14.495519515675568,-14.872975223937182,-14.006341966259267,-13.945268029987345,-14.027671790984554,-13.984577000574328,-14.334504442325455
11,-14.004448026655492,-14.188955761834013,-14.478496044985514,-14.486498142852405,-14.738552452926506,-14.006341966259267,-13.945268029987345,-14.027671790984554,-13.984577000574328,-14.334504442325455
