iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-20.27741459406535,-20.28864791813615,-20.40524329734532,-19.815367542578706,-19.867347022062248,-20.196795577232997,-20.118210374701817,-20.614091285235475,-19.447061988803007,-20.207930163611845
1,-20.414631608736833,-19.99175491367589,-19.02343088964991,-19.88026514116322,-20.313992651418612,-20.095319635082618,-19.036699212571328,-18.21110497691164,-20.51557437219058,-19.752469680338614
2,-20.522705970603177,-21.369073902305864,-18.91260792748067,-19.39595268141821,-18.869708521820947,-19.851640273310654,-20.143483931597814,-19.49586279011953,-19.746149430136374,-19.744679707641662
3,-19.43557452503952,-19.735437010644937,-21.690328018089417,-18.89766730581802,-20.12738140933324,-19.817447614746875,-20.619600087526294,-19.811961879853506,-20.13982921842237,-19.42886938108094
4,-20.130781468244063,-21.14224178418974,-18.960129584622695,-20.834396653111234,-19.965684658218215,-19.068606119429838,-19.402003597769486,-19.42132806163385,-19.699302591980477,-20.514818361053415
5,-19.55487131867605,-18.38552996545744,-20.017652575337916,-20.094009565900443,-19.619165627410673,-19.98072533371907,-18.78955815864429,-19.715107723731105,-20.17446569129583,-19.468946947659376
6,-19.664026201653883,-19.804338693345265,-20.479809977230797,-19.87616883191504,-19.53312818247004,-19.874613696049046,-20.880902963841734,-19.57017991639612,-20.407676036146153,-20.1320968797451
7,-18.912873264147013,-20.090538327275063,-20.652813709614932,-20.493774249066192,-20.823180045501747,-19.457392460540692,-19.71646325393369,-19.965094175337228,-19.753033332090347,-20.100129134314187
8,-19.432303548061114,-19.168853139606362,-19.50969671570725,-19.60389220651703,-19.08647005259904,-20.148356946652306,-18.966662735445755,-18.88156802038086,-18.54842271274915,-19.10080318746803
9,-20.219584776498998,-20.513274300669266,-19.152283765317463,-19.220426937505813,-20.25740101036334,-20.428385384399256,-18.73659670181474,-19.554915322410913,-19.92227625395258,-19.531340618880247
10,-19.401733883979706,-19.406566995725505,-19.287194309932197,-21.043330658437032,-19.187658927250354,-19.15002130756197,-18.9650188352373,-18.988229738144263,-21.882003451478134,-19.511990984743043
11,-19.15826589780797,-19.67093729038512,-20.465540934138623,-18.788115168216766,-18.966107970093855,-19.28036999384571,-19.527851564289293,-20.271046530009166,-19.962018073578975,-19.913510171301247
12,-19.337302924543607,-19.82719986875221,-18.496163923725454,-18.989537200680154,-20.554676140612408,-19.0861387591051,-20.028205640628197,-19.56329679552169,-20.78270259071532,-20.26961309111109
13,-20.266853947342234,-20.755711017519324,-20.571613297668343,-18.964310887771845,-20.76748610386569,-19.709302166267587,-20.68594509519484,-19.612146743260247,-18.641127159220225,-19.277151290023724
14,-19.463369224295384,-20.296374252155008,-20.436320045065365,-21.321546098515697,-18.776473465169133,-20.042401796088917,-19.525069378441955,-19.235877342319434,-19.600231548067025,-19.298231619459155
15,-18.740071516980947,-18.423044651934863,-19.226594774323566,-19.80589757911283,-18.7549765854485,-18.99684836307015,-19.161836627524323,-19.058647649161742,-20.625757548521438,-18.32503434545307
16,-19.84135412861777,-18.540836102600835,-19.795672568476654,-21.046711344449953,-20.101753813685804,-19.55386312253848,-19.34671228977337,-18.975630051821003,-20.20231296353672,-19.611895993292386
17,-19.766057479031993,-19.47949207895431,-19.869957777161986,-19.764014442675744,-19.34546630189651,-18.961056483475478,-19.635820964472753,-20.48369311894958,-19.82211724226993,-18.304167341265458
18,-19.426074808818747,-20.308064156592355,-20.453111567793975,-19.8861011376422,-18.74180619699943,-18.62018225222448,-19.515929259815202,-18.805936796027453,-19.761249115770536,-20.306842247318727
19,-19.740850401647023,-20.621854096046327,-19.334563051510724,-19.787623050620326,-18.667672059761273,-18.898401144949865,-19.123214777300177,-19.22536914568544,-20.774185388025987,-19.411871128471113
20,-20.44025072534226,-20.138398103520483,-19.531876595552433,-18.877765226727192,-19.48832035953383,-19.04933909199702,-19.547973661435535,-19.34136372780092,-18.638427888118326,-19.803058482932343
21,-19.63502514711103,-19.685135324196832,-18.836164943455337,-19.79130746018376,-20.62786730284882,-19.67236627705337,-18.303487675632383,-19.65176218243635,-19.215920995841,-19.52539186865383
22,-19.635094678904974,-18.940889258051534,-18.42959423827031,-18.63518483527274,-20.031918417590006,-18.959502757075875,-19.126208155236416,-18.87442142713646,-19.263037233610525,-19.58398654474682
23,-18.31292705288402,-20.031069094831928,-19.017072239239717,-19.476681947820474,-17.98083557319168,-19.479924649484502,-19.383593538076624,-18.534954497485344,-19.859239175175556,-19.87100254470868
24,-19.806006287031444,-19.215157306092955,-19.766405741279403,-18.74311097377457,-18.94348109532065,-19.255854484613526,-19.921893853131994,-18.755517224954776,-19.06131009152596,-20.3458113751601
25,-19.24905370576812,-18.683432466533606,-18.75060576360879,-20.04744579225914,-19.085242028451386,-19.2220813288356,-19.887288021516646,-19.2056508316844,-18.454558678168496,-18.645236654457566
26,-18.024966535909932,-19.71654602862005,-18.94135800632341,-18.41568363415189,-18.823854627126604,-20.301864125191578,-18.82484053787919,-18.8395254525979,-19.152227756579578,-19.929051844654833
27,-20.438892272621935,-18.127287961953623,-20.15227390470401,-19.884368960527343,-19.505106170951784,-18.68640011830503,-17.519903008260066,-18.26275981465049,-19.96816287191662,-19.661947922917378
28,-19.408768754571753,-18.62472954515414,-20.469446468799408,-18.122064160185094,-19.266362071821028,-20.19483126931632,-19.164506979752655,-17.864133142106486,-19.476256608265597,-18.656449731548996
29,-19.131792087147602,-18.463511322387625,-19.661803101729134,-19.59136849990471,-18.27310456425188,-20.707422055957828,-20.133844592389092,-19.45827637011419,-18.598267361696404,-19.383036046944387
30,-19.18807499572562,-18.796816362199127,-18.31605096522943,-21.108942046737344,-17.66530440180041,-18.738695688712973,-17.6388134174124,-18.64896636711053,-18.63456894936666,-18.33605485178724
31,-18.317820193532462,-19.236910262173637,-18.375701255106307,-18.802561371416886,-19.604132182104788,-18.774636762333557,-18.822952098378586,-18.615203279576363,-17.638590682281972,-17.52091768674446
32,-18.263652590227423,-18.927557290753022,-19.925027607792067,-19.44790614779104,-19.046859291019373,-19.078492337749015,-20.048784349982192,-19.975638753299307,-19.406506691201603,-19.865515086084734
33,-17.168249975603082,-19.12012033514312,-19.805440022084017,-19.161883392081894,-19.271651386162077,-17.677919171753267,-20.15334585646431,-18.736138798342004,-18.81890856968937,-18.55242798701145
34,-19.816517911003555,-19.4387121882315,-19.568822709447403,-18.937451472687822,-19.187162075602735,-19.23818685719139,-18.711407022900847,-18.998006057273702,-18.387208978127653,-18.42462516332786
