iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-14.172386389726455,-14.425161853153341,-14.65476814209442,-14.661454431117455,-15.163561686775374,-14.467335857561496,-14.784943411381121,-14.410930845493832,-14.176100088506832,-14.575456536444893
1,-6.337819569579799,-7.1324412881560235,-6.170708467080781,-5.846543239058928,-6.530128063154821,-6.068431100831834,-6.0636685570113835,-5.660773211521343,-5.7686931415779235,-6.642895761969658
2,-5.372693288079878,-6.001997045665033,-4.870030216165128,-5.278924123183622,-5.533453476154113,-5.326481792832642,-5.060577768634278,-5.204123610220988,-5.302496901632837,-5.542393757762275
3,-5.19566458594114,-5.040419511461678,-4.829557264946998,-4.604531679142341,-5.007869051282609,-5.031488842749103,-4.782198840931825,-5.016547309066656,-5.149827747290235,-5.146881641065269
4,-5.030690145059703,-4.897308383468245,-4.799337323403105,-4.549566482989178,-4.731614811097289,-4.792065427176839,-4.472088246718528,-4.891439024714754,-5.0169971247078635,-4.901212019524266
5,-4.821438254217685,-4.769210620040585,-4.689920884270831,-4.469512173843627,-4.647928014288636,-4.792065427176839,-4.452509876345042,-4.684771968687565,-4.78779333726974,-4.8325313715782805
6,-4.754563763623157,-4.656614743312614,-4.6774784840263415,-4.341256886971067,-4.549769142061905,-4.7447237936418,-4.384324593201921,-4.6297065086064375,-4.695324341678557,-4.604509405966289
7,-4.748336562596834,-4.62351683131523,-4.475725891827759,-4.300631895191375,-4.487067362083849,-4.705235047567871,-4.356241837874897,-4.581810451827841,-4.624696060105409,-4.440929081401707
8,-4.679077637785672,-4.5316728348152395,-4.470455625501998,-4.195770826231364,-4.370569322586835,-4.682365275318805,-4.34855022650143,-4.581810451827841,-4.624696060105409,-4.416484874988996
9,-4.529612017016129,-4.372458199208074,-4.466525001700652,-4.130622641553719,-4.337958214923585,-4.479660377367956,-4.34855022650143,-4.564618269314597,-4.593158569968184,-4.415996912568405
10,-4.433875962655179,-4.289132400183528,-4.466525001700652,-4.117660160424133,-4.286582740038817,-4.358366939511178,-4.34855022650143,-4.468359082030224,-4.527152489749591,-4.376793426931506
11,-4.433875962655179,-4.105080055236444,-4.46069031507945,-4.07681720866068,-4.246930438456826,-4.3382263780622825,-4.34855022650143,-4.416758219691028,-4.442089262157063,-4.259685143030814
12,-4.433875962655179,-4.105080055236444,-4.457077393862443,-4.071730903342987,-4.168179489789957,-4.237989364504024,-4.34855022650143,-4.23407580039571,-4.365092021243139,-4.259685143030814
13,-4.374390040658654,-4.070965236465193,-4.3860126497827885,-4.024700864385025,-4.168179489789957,-4.137918991663138,-4.315325613207511,-4.23407580039571,-4.305145413032117,-4.2204318908634075
14,-4.361721072141495,-4.070965236465193,-4.310554811435958,-3.99719875678914,-4.141936772841737,-4.102987414539219,-4.206555713849358,-4.163494286745035,-4.279194709673785,-4.182956933539208
15,-4.271472673309814,-4.061098972199833,-4.286440568689896,-3.99719875678914,-3.919830767812946,-4.069379163580028,-4.163855459845638,-4.148033311238645,-4.274501036828516,-4.115295953972757
16,-4.248285117163376,-4.061098972199833,-4.286440568689896,-3.99719875678914,-3.919830767812946,-4.045578194104123,-4.135862365875165,-4.078475586633115,-4.186717864842535,-4.024986203920308
17,-4.204364920290766,-4.049436514151866,-4.232743585313611,-3.9670494584764153,-3.919830767812946,-4.045578194104123,-4.00808787258676,-4.078475586633115,-4.186717864842535,-4.024986203920308
18,-4.1637193492011395,-4.04049346024284,-4.198010788796866,-3.9670494584764153,-3.9148126715116818,-4.045578194104123,-3.976275915386012,-4.031308098901802,-4.1840571691176525,-3.91270677264062
19,-3.983636510990146,-3.948869230034652,-4.19492061576784,-3.9670494584764153,-3.9119331724912096,-4.045578194104123,-3.965028778922538,-4.026592128965818,-4.170565564006522,-3.8510636134324514
20,-3.983636510990146,-3.948869230034652,-4.1805925001910715,-3.9670494584764153,-3.9119331724912096,-4.03402835648626,-3.965028778922538,-3.98320646641257,-4.067856096436306,-3.8510636134324514
21,-3.96187179689891,-3.948869230034652,-4.124271281049694,-3.9670494584764153,-3.9099359674171312,-3.9634575400349696,-3.9489632834874646,-3.91661155805841,-4.067856096436306,-3.8510636134324514
22,-3.96187179689891,-3.9102251978250293,-3.9831372742054825,-3.9670494584764153,-3.9099359674171312,-3.931498830026753,-3.9489632834874646,-3.8615301398468835,-3.961819356811816,-3.848352882890074
23,-3.96187179689891,-3.878007085076648,-3.9203050638945025,-3.9670494584764153,-3.838093674098716,-3.931498830026753,-3.87629989364118,-3.8615301398468835,-3.961819356811816,-3.7427059356772387
24,-3.9263515326953433,-3.878007085076648,-3.9203050638945025,-3.941184628533718,-3.838093674098716,-3.878325766275256,-3.8683478477181024,-3.8356058001048026,-3.9503190127942087,-3.7218313302874013
