iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-14.172386389726457,-14.425161853153341,-14.65476814209442,-14.661454431117455,-15.163561686775374,-14.467335857561496,-14.784943411381121,-14.410930845493834,-14.176100088506832,-14.575456536444893
1,-12.702064815837714,-13.234354778132051,-12.716789373745756,-13.584501560315891,-13.60168918619518,-13.397976346353119,-13.022737291313696,-13.143440626570719,-12.673822934961684,-13.233220304075232
2,-11.715679947772056,-12.576346706485573,-12.335270072577163,-12.229487851752534,-12.757821112722429,-12.886806817382961,-11.921150081060782,-12.513066094506556,-12.083708095544928,-12.834886730049329
3,-11.488645921504625,-12.276690261629712,-11.355795641036346,-11.621104586289922,-11.815187129485217,-12.686730009828585,-11.038681936008565,-12.022012040861632,-11.62118141364054,-12.398111393751243
4,-11.102734816704174,-11.800797103440603,-11.172405472178735,-11.01064781061802,-11.57872749352595,-12.104603678444255,-10.841308750175223,-11.483763761628236,-11.237652786770367,-11.995647043557899
5,-10.734546834974243,-11.518415996911855,-10.833247010303104,-10.858838532637332,-11.429799917487724,-11.683792394249132,-10.64304831074732,-11.292916253182808,-11.002055729124143,-11.206699483017925
6,-10.629886392206595,-11.368984912242611,-10.514264279638912,-10.651581963600428,-11.021577814550245,-11.582206340122994,-10.38082472241066,-11.169900028584259,-10.910201349171667,-11.128755035043682
7,-10.300761998683017,-11.00798136485009,-10.374107120200321,-10.490151031812402,-10.940048967038475,-11.373280411264105,-10.205970071146345,-10.857397427044742,-10.594166175346594,-11.023004351901713
8,-10.17316384002089,-10.814579166370587,-10.11738625651471,-10.253327171207665,-10.671198934806771,-11.317037726564362,-10.108959741843263,-10.418722998932537,-10.224797772243164,-10.670834641546813
9,-10.060912062533475,-10.724838203504358,-9.988361438168672,-9.885150705905865,-10.189771274594548,-11.131118102710854,-9.993309351359546,-10.39833806834627,-9.976497904526738,-10.619284070181688
10,-9.942599390760442,-10.673948614707312,-9.77973008537733,-9.786396071213975,-10.146180258888617,-10.922785939321567,-9.725015668090519,-10.216554029447531,-9.893249196017283,-10.534166393511374
11,-9.806347105615504,-10.423385341102069,-9.77973008537733,-9.55186236531373,-9.92024468835412,-10.762060537403894,-9.725015668090519,-10.033553491980397,-9.545483994934457,-10.220608699820191
12,-9.714484762795555,-10.120400197032609,-9.552011482206876,-9.247941605709201,-9.802678300974236,-10.604074894138758,-9.487298025021726,-9.752862651915542,-9.528334006839776,-10.213991963500671
13,-9.592490450569322,-9.763912477447256,-9.513973426423174,-9.047763795090646,-9.757726547652975,-10.54754903993695,-9.406047373210834,-9.55063879708326,-9.266277923564491,-9.908767856686858
14,-9.592490450569322,-9.763912477447256,-9.42078940910705,-8.97114610985749,-9.556371053340554,-10.351920380135624,-9.269081961783058,-9.51091847354833,-9.011296001728208,-9.860245815419148
15,-9.473137320314216,-9.758060444814937,-9.362587851732966,-8.928756045268374,-9.453721187726954,-10.338808228599394,-9.244575728217203,-9.470205070733368,-8.95361367279888,-9.830835208122368
16,-9.30046333283004,-9.587826060381865,-9.305998331469443,-8.87034315076852,-9.416708038232606,-10.151224942346593,-9.079245272102794,-9.39196391194704,-8.894620729668866,-9.665656162634633
17,-9.167976718162047,-9.490815090627287,-9.207085569466233,-8.812813359643153,-9.162399121653904,-10.12581508287114,-9.042736997205004,-9.258419725247066,-8.675868174045856,-9.4652901439044
18,-8.999352476258554,-9.175024004670838,-9.082860173158364,-8.718755189775573,-8.98096222618649,-9.825121879209378,-8.889025674497944,-9.18671618619151,-8.535606627460211,-9.4652901439044
