iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-20.27741459406535,-20.28864791813615,-20.40524329734532,-19.815367542578706,-19.867347022062248,-20.196795577232997,-20.118210374701817,-20.614091285235475,-19.447061988803007,-20.207930163611845
1,-12.839220504713737,-13.525182941679347,-12.918889717707955,-13.808323796682068,-13.814040435599761,-13.814486753331067,-13.107889501749215,-13.454111217484545,-12.995393590143085,-13.535434103131731
2,-12.336970900510114,-13.644801503639393,-13.300416705345572,-12.504390763754518,-13.524096713089815,-13.64230602320546,-12.385969728131426,-13.24010689164712,-12.730174194637721,-13.622596140662562
3,-12.76429399787246,-13.640820602552422,-11.856748360493922,-12.306760205785295,-12.581072511898515,-13.64798413668657,-11.700251286675911,-13.084019277356486,-12.104820658135946,-13.151593165473168
4,-11.963793108214459,-12.90583428451783,-12.739339873913622,-12.057338503647227,-12.631666741854225,-12.747975557547079,-12.14860236845063,-12.374819895697044,-12.334757271575583,-12.551714819737061
5,-12.361661377213117,-12.942127616839699,-11.895970156721292,-12.01120508391244,-12.525058410949395,-12.813018290803281,-11.94779694223742,-12.538777685308462,-11.975986697086478,-11.961940740034246
6,-12.880601899229575,-12.510215572043958,-11.449232894394697,-11.605825162744882,-12.0986623266737,-13.276795542622398,-11.666090052078799,-12.555348958728144,-12.328390677873603,-12.606732618041635
7,-11.251729644067431,-12.141030154371338,-11.761016774846617,-11.648352513373485,-12.357688945282852,-12.807158621632002,-11.34327663311458,-12.662738440346928,-11.398565400672615,-12.359621953508906
8,-12.13129591955473,-11.68364599193319,-11.496554322650567,-11.510605565075602,-11.509575189893503,-12.69332538911411,-11.76687857710372,-11.338391254607473,-11.642436380548805,-11.781771013456424
9,-11.35506861939482,-12.126755971900641,-11.858195396573057,-10.94467390089303,-11.153156626053905,-11.92416624635215,-11.479687902763906,-11.678456811824077,-11.600210202492656,-12.098081494552702
10,-11.029181884469388,-12.068990201093126,-11.066855969157567,-11.990213233997542,-11.473504568484447,-12.233107484805654,-10.923490884800207,-11.435340570805778,-11.156674001530272,-11.830488153899697
11,-10.963492838959368,-11.585589451458667,-11.392106113324317,-10.692563341640861,-10.90553384943539,-12.243261457628225,-11.197149283373069,-11.484444153687988,-11.155909850908557,-11.439077300988975
12,-11.024324475720604,-11.071896776086744,-10.924809251977187,-10.596955176583776,-10.65758995195078,-11.756974367651729,-10.877213719867207,-10.874742494709874,-10.928956646561849,-11.450422458265837
13,-10.859140375398926,-11.082944931589015,-10.853786806484154,-10.548121365884315,-11.475338666919264,-12.05170310289451,-10.839769680603865,-11.36252845876827,-10.386086471113074,-11.42285695323432
14,-11.36165066088465,-11.309095370860899,-10.58193510195876,-10.846534807758232,-11.040986503964348,-11.204844224218471,-10.987386715661508,-10.985222760053961,-10.439148315492771,-11.633756378066616
15,-10.79474408005877,-11.268034781755851,-10.918263703005197,-11.129112682129719,-11.090869012564106,-11.44736886459934,-10.482333288770741,-11.413122539737847,-10.420914544446287,-11.366624536609827
16,-10.722900263548237,-11.225826240848917,-11.287398476473097,-10.648251866215663,-11.146552658822827,-11.632904566238448,-10.194010295856803,-11.0314292071421,-10.638585097475532,-11.113553042954933
17,-10.621314440911377,-11.528606690990287,-10.655493447413829,-10.702480754830528,-10.239423869386444,-11.653886007086417,-10.331322791971651,-10.586779709096778,-9.508870826477974,-10.794274071376691
18,-10.231224971029636,-10.424110296186129,-10.67368138745453,-10.46739810460237,-10.081254254218711,-11.345856800581089,-10.849346859893867,-11.195280962238709,-9.592301633482947,-10.82182273808598
