iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-14.172386389726457,-14.425161853153341,-14.65476814209442,-14.661454431117455,-15.163561686775374,-14.467335857561496,-14.784943411381121,-14.410930845493834,-14.176100088506832,-14.575456536444893
1,-14.172386389726457,-14.425161853153341,-14.65476814209442,-14.661454431117455,-15.163561686775374,-14.436881145446122,-14.784943411381121,-14.410930845493834,-14.129250206135447,-14.575456536444893
2,-14.172386389726457,-14.425161853153341,-14.65476814209442,-14.6100431186759,-15.101547764822381,-14.34886508809706,-14.766690947287644,-14.410930845493834,-14.129250206135447,-14.526847774403027
3,-14.172386389726457,-14.275621519234324,-14.501629361862985,-14.6100431186759,-15.101547764822381,-14.34886508809706,-14.766690947287644,-14.410930845493834,-14.129250206135447,-14.513319553142054
4,-14.172386389726457,-14.275621519234324,-14.462461892279293,-14.6100431186759,-15.101547764822381,-14.34886508809706,-14.743551665946883,-14.159046281512637,-13.926471263660606,-14.513319553142054
5,-14.172386389726457,-14.260672455848947,-14.462461892279293,-14.567460147206633,-15.101547764822381,-14.34886508809706,-14.743551665946883,-14.159046281512637,-13.926471263660606,-14.493789336963843
6,-14.172386389726457,-14.260672455848947,-14.462461892279293,-14.567460147206633,-15.101547764822381,-14.1210705019291,-14.723724782370319,-14.159046281512637,-13.926471263660606,-14.493789336963843
7,-14.172386389726457,-14.219728816057277,-14.39216825611703,-14.52890777012091,-15.101547764822381,-14.1210705019291,-14.723724782370319,-14.159046281512637,-13.926471263660606,-14.493789336963843
8,-14.172386389726457,-14.219728816057277,-14.387123804153356,-14.308441839830852,-15.094730031513766,-14.049932748724505,-14.553372598046316,-14.010169306936259,-13.926471263660606,-14.45176405688985
9,-14.172386389726457,-14.071621126169312,-14.387123804153356,-14.308441839830852,-15.094730031513766,-13.997507177839232,-14.553372598046316,-13.95352954476789,-13.926471263660606,-14.45176405688985
