iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-20.27741459406535,-20.28864791813615,-20.40524329734532,-19.815367542578706,-19.867347022062248,-20.196795577232997,-20.118210374701817,-20.614091285235475,-19.447061988803007,-20.207930163611845
1,-19.649300086450346,-20.492092967949795,-20.358745540073222,-20.077095885211598,-19.724835968548714,-19.85666349245183,-20.2703825904908,-19.920863205839453,-20.71946765874319,-20.49215525642748
2,-20.612935617939208,-20.315898610106867,-19.219948957563705,-18.529803525509358,-19.419412677994725,-19.36025029186424,-19.329974693572318,-19.613410887624415,-19.884249807423764,-19.726069887447004
3,-19.994680773102328,-20.015137935967893,-20.43093277879975,-20.047824546789496,-20.91962301297813,-20.373613634218874,-19.22762503992977,-20.34877081626611,-19.961246962194743,-19.34097671505299
4,-20.465401900126466,-19.233963350245507,-19.080305280683405,-20.133899733650942,-20.583171168109686,-19.110342971170684,-19.880958884928766,-18.469728895983586,-19.81678877646448,-20.645754334344772
5,-21.105647149400472,-19.20398945905429,-20.677099633250656,-20.671947877092524,-19.65099957840725,-19.035732372094145,-20.15124368866752,-19.11399477652489,-19.459378884274685,-19.65689393193531
6,-20.392152667309936,-20.296831587425967,-19.05538270107951,-21.87307498795586,-19.899329118542802,-19.693857756952383,-19.51686609829959,-20.246663816167477,-18.788470630888533,-20.366682921934462
7,-19.31924990925468,-18.640420027399948,-19.291009357287493,-19.07665691808975,-19.870676279118157,-20.03708190006647,-19.598907782023364,-19.581007599626286,-19.43125839325561,-20.232399765389218
8,-19.26110888566462,-20.35180311123537,-19.52892495750803,-18.820178010748847,-19.638398890679483,-19.438538237940534,-19.501681610067447,-19.346254208480612,-20.26444829440188,-18.69371544008204
9,-20.19457378111473,-17.82293059632408,-20.242777390554448,-19.734564708444758,-20.21085376434536,-19.853842094097416,-19.271379647863725,-18.454476186266007,-20.48345877076384,-19.245217727018797
10,-19.20234280582913,-19.29513880799866,-19.099165512202507,-19.75407064371214,-19.41388164730295,-18.920255894173298,-19.433018670537386,-18.778784262677878,-20.97825532778382,-19.565029341258885
