iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-14.172386389726457,-14.425161853153341,-14.65476814209442,-14.661454431117455,-15.163561686775374,-14.467335857561496,-14.784943411381121,-14.410930845493834,-14.176100088506832,-14.575456536444893
1,-13.594081502370297,-13.719211559079326,-13.60485524077954,-14.112376713902968,-14.03138053861543,-14.280147534504787,-13.600630283157555,-13.569060147875742,-13.461060454474913,-13.895653077142535
2,-13.247370144327867,-13.128797979347855,-13.21367601544532,-13.786549251082764,-13.697446785458268,-14.018835918888266,-13.364962981436838,-13.42569353887303,-12.945370362837268,-13.363218811141948
3,-12.911450206474015,-12.918116537717381,-12.848008018636884,-13.297387246982652,-13.456462368847124,-13.58381933096931,-12.969088567558241,-13.216094985182183,-12.666883822285962,-13.049621131460615
4,-12.731960524733251,-12.87076817253616,-12.648298070729496,-12.717462734768935,-13.167877657316144,-13.19121336779653,-12.437275994875712,-13.149839981907935,-12.285774213822695,-12.871201510168122
5,-12.303812790888117,-12.57534431267705,-12.292347891580729,-12.31771002782251,-12.936613016097155,-13.010114676505534,-12.068510303813184,-12.945001485421674,-11.753646064469862,-12.80659168474638
6,-12.135968374516578,-12.304348128496038,-11.910216006978565,-11.897898301111601,-12.849157552806062,-12.790179594334223,-11.955872809508433,-12.69555546130585,-11.471160732398825,-12.645497469841857
7,-11.77414415329179,-12.177765287725025,-11.693565702381251,-11.637444531224684,-12.480951379439805,-12.591527474674905,-11.891235985230598,-12.420072472989208,-11.251301951964397,-12.253311684696572
8,-11.579275482523748,-12.092760212933138,-11.453629101438578,-11.460979883962345,-12.26182817181207,-12.491644630425192,-11.724388257435368,-12.309256811861736,-11.002018923064982,-11.905498579233136
9,-11.503347192354896,-11.980449548674045,-11.097250884393073,-11.320909224188146,-12.124200444521769,-12.365020641459807,-11.619322328454814,-12.2703200663242,-10.88837968783469,-11.809496828107278
10,-11.450858538989712,-11.795494034056976,-10.887799212937185,-11.229273146922514,-11.98428084804106,-12.200450777470756,-11.499408459089597,-11.944394539409418,-10.652975963984055,-11.561748951297014
11,-11.242757883895383,-11.601801266534121,-10.689261695428145,-11.174924499778513,-11.903679693039798,-11.885908999103815,-11.268856936513407,-11.628035685238704,-10.450996587447117,-11.339560484853564
12,-11.182526661620923,-11.557488915475993,-10.495742065606816,-11.016654029393356,-11.738325173742448,-11.692960433417163,-11.187779605867098,-11.325697468500632,-10.348775487244186,-11.175941479819825
13,-11.182526661620923,-11.410245238559574,-10.313616937461756,-10.873594220259804,-11.594162273106843,-11.399769984032595,-11.009929640787673,-11.005549899323894,-10.26817165441561,-10.913893121316914
14,-11.070074168759735,-11.216701834463903,-10.216934299571282,-10.71372256340375,-11.343746280733257,-11.343977764897184,-10.893782534273281,-10.858970127548327,-10.152579876459082,-10.785862517377343
15,-10.981848176600021,-11.008862109239615,-10.19811575494002,-10.670281227606718,-11.212435140699892,-11.174680238001056,-10.753438076465606,-10.832207601894519,-10.018791145025485,-10.66627853637695
16,-10.885297451454228,-10.818037656902018,-10.017418233778356,-10.564003782272213,-11.03456848498616,-10.934712722573947,-10.613516229496497,-10.701393849316148,-9.948528076171721,-10.52861835200127
17,-10.830187803334852,-10.63615967268866,-9.772286487002987,-10.289480336709913,-10.936090482212958,-10.769531477360946,-10.441608201308293,-10.64227845342468,-9.851716970121435,-10.44206026220807
18,-10.57910424306368,-10.447298807481827,-9.754431787678172,-10.153324067012543,-10.844969906106282,-10.60670916654962,-10.187511834491005,-10.511505327833834,-9.766868284714318,-10.410722415766735
19,-10.494246249534513,-10.420070330492575,-9.715540529757394,-9.960272951345999,-10.676577417948584,-10.527807423809268,-10.04777565857194,-10.364814070533109,-9.516054115304701,-10.270612295747192
20,-10.419420232635247,-10.291851502635451,-9.528563098510563,-9.666718273248366,-10.587840414307099,-10.350948391919683,-9.980815518781093,-10.217165877646583,-9.402840841717431,-10.262399694611988
21,-10.251499292214675,-10.048997495764858,-9.428543128946622,-9.525442707127542,-10.387421798990928,-10.113293706891572,-9.95339197755386,-10.114056264572488,-9.290997090508407,-10.143899957518162
22,-10.09828756759315,-10.044362026312243,-9.233098618663739,-9.444527649439694,-10.14536917519317,-10.063254053055193,-9.910540245756852,-9.939879378993933,-9.212499058466385,-9.990712241652384
23,-10.025491877164017,-10.03870532501699,-9.088859506645987,-9.353564936040986,-10.109023238658276,-10.041924824642145,-9.883490106515518,-9.862374677368546,-9.089639966982425,-9.940475978017272
24,-9.96920747263474,-9.845686202623803,-9.035957524714588,-9.266433463974977,-10.099906181779296,-9.960485222242387,-9.8316140949144,-9.761373423081487,-9.05325025940688,-9.913003609183113
25,-9.916813472985456,-9.804121458114924,-8.991770975694205,-9.23918596841559,-10.065971328565599,-9.862001006658097,-9.731681986044348,-9.526241537569126,-8.913462298891499,-9.857795743902908
26,-9.74080796998277,-9.645835525258498,-8.886478107156353,-9.174764200259482,-10.003274359427415,-9.75147387247642,-9.549753570597515,-9.406259416124625,-8.83175796682267,-9.675669208897496
27,-9.672101661495635,-9.582311841620132,-8.744939113535054,-8.969454368293293,-9.905960283071597,-9.70130059695143,-9.416558984988917,-9.310194098331783,-8.767143729199045,-9.569081875449605
28,-9.589107024324107,-9.57654190358835,-8.647493910331644,-8.844899973057569,-9.58178053908558,-9.70130059695143,-9.21727788278653,-9.24631097568666,-8.667082589806396,-9.500990540949546
29,-9.441327658428863,-9.516557296743256,-8.576840782266004,-8.73682619444551,-9.529806277585585,-9.661955182782862,-9.098460609922547,-9.143298475212616,-8.61308155809704,-9.416655265293286
30,-9.331636797812203,-9.404829104291682,-8.424545181033665,-8.628332478068472,-9.476547546025218,-9.592178272722041,-9.098460609922547,-9.076346406386161,-8.588181373540937,-9.272208321816018
31,-9.307416712599384,-9.305684712259954,-8.404179035358311,-8.59176671062799,-9.392256937372725,-9.592178272722041,-9.008386374760043,-8.964470618101162,-8.521436988723416,-9.046404697664835
32,-9.216275658418226,-9.291960414495977,-8.345408804544409,-8.422421159847433,-9.388739547718302,-9.4767003873208,-8.92789651512209,-8.90314545788464,-8.508856243433238,-8.97806388431897
33,-9.13365129520282,-9.195343740080222,-8.216005369122371,-8.37023830070101,-9.371104926363458,-9.426250201175488,-8.823851599317228,-8.892777391562054,-8.453294052307191,-8.898402618519913
34,-9.123823839604203,-9.081309274609481,-8.187193823656571,-8.267807223650493,-9.363907042320447,-9.38704676559199,-8.776175400184194,-8.854724944392487,-8.320428480812117,-8.793579964801996
35,-9.044843875881684,-8.947691966550554,-8.169904316111912,-8.147492140418489,-9.258695427870592,-9.354039770193008,-8.759417389900555,-8.808309798280145,-8.109244901087603,-8.793579964801996
36,-9.044843875881684,-8.832400331841328,-7.9999651678616885,-8.077263457875762,-9.201008720873611,-9.302303215332172,-8.596602323863538,-8.80542750425687,-7.992453514263698,-8.732651361390296
37,-8.909362634158013,-8.81837011039821,-7.9170162721790875,-8.025383724974112,-9.116788351813847,-9.177041599944168,-8.512796449402945,-8.742560548856533,-7.962371120517939,-8.732651361390296
38,-8.89470688679334,-8.81837011039821,-7.855996992260549,-8.004174143731085,-8.97774812895154,-9.104316380841782,-8.497297652877457,-8.619321233653368,-7.886848343084139,-8.710782618460886
39,-8.856326328546682,-8.680057884995012,-7.8055244882022805,-7.984935662123557,-8.823544120204474,-9.07509800324824,-8.398801485969312,-8.57488856879724,-7.847107980957109,-8.61292798496329
