iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-20.27741459406535,-20.28864791813615,-20.40524329734532,-19.815367542578706,-19.867347022062248,-20.196795577232997,-20.118210374701817,-20.614091285235475,-19.447061988803007,-20.207930163611845
1,-13.865827675953312,-13.987490783312253,-13.677186123855376,-14.280919190337615,-14.033737126444144,-14.521089083295177,-13.787456421247171,-13.791430712093106,-13.62728797277732,-13.981404786535942
2,-13.639912044337938,-13.580202712489779,-13.475386907701752,-13.981708427857594,-13.877659930978377,-14.47235095586307,-13.710536767003301,-13.794716806479308,-13.070043296993013,-13.537340279494504
3,-13.34861136978505,-13.416819838847408,-13.219856411252378,-13.477506593698369,-13.899440490318831,-13.860435663163399,-13.356771615546908,-13.801622809875521,-12.893991424656026,-13.364968816218807
4,-13.345337649468389,-13.449208312305611,-12.965924196864506,-12.855948608835735,-13.472877891706716,-13.480443316744768,-12.839645367126803,-13.720722702587592,-12.539394392537638,-13.468457336906432
5,-12.937232316784025,-13.149609022625345,-12.69324855769149,-12.560285626700054,-13.238585452937345,-13.798833456496263,-12.44711460427095,-13.514678918897292,-11.99734947770534,-13.239542676887403
6,-12.816860754390088,-12.660728645853542,-12.427880983143602,-12.364294476860039,-13.184290085316169,-13.4968163651662,-12.524585594675562,-13.21857702338247,-12.08459172745896,-12.983874448919615
7,-12.452640817407065,-12.581296623875964,-12.238536639752564,-11.932083283876592,-12.861601921346077,-13.309141011596278,-12.696774210179537,-12.900907620018359,-11.822696247302495,-12.491450741568848
8,-12.222428843486995,-12.508687146150894,-12.059437607207173,-11.827827995427501,-12.540294196764801,-12.934032654440202,-12.272450057447163,-12.838944913558837,-11.351407447021217,-12.359890424550752
9,-12.328722168623338,-12.699370286265818,-11.589448336663464,-11.651099060185064,-12.331605667861428,-13.105201863525526,-12.368490692601473,-12.714676156228297,-11.322471708395867,-12.468659573545764
10,-12.330930909072038,-12.48874687675845,-11.425515611265457,-11.558737671045293,-12.54574623826161,-13.0090809443537,-12.111552005604757,-12.382651731006487,-11.227061903442804,-11.87585324958191
11,-11.897293998744093,-11.905300102271545,-11.249996405802264,-11.82818934742598,-12.541061552026829,-12.542430908861835,-11.984427485023206,-12.23601943147404,-11.04554310762346,-11.747156197029039
12,-12.23136117306997,-12.068251347563994,-11.135152281404617,-11.751496571156313,-12.170557163568441,-12.562243695253972,-11.837498618708057,-11.912879225614521,-10.989842192354734,-11.62120665133953
13,-12.177075771746855,-12.175869067800724,-10.840815259115935,-11.297073700440894,-12.149435971017667,-11.808582610421455,-11.686265140812413,-11.714637338076642,-11.275609036749252,-11.374853715944939
