iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-98.93857096758015,-86.49516000497697,-86.18995239458965,-70.92102508102042,-151.40928032694933,-78.88697570641716,-141.5539544710722,-90.41479571336939,-115.12718472467196,-77.03753659034683
1,-76.39748037242632,-78.42385559557837,-64.99074382404007,-60.6608433719737,-70.10227961938884,-67.41038575423437,-77.72316649995952,-69.36754788573144,-102.41368489718712,-59.20835130071727
2,-76.39748037242632,-67.17857917729782,-57.13069241939847,-58.65219128117181,-52.81290195744444,-57.33098785081002,-56.106715495144236,-66.17311917482103,-98.20457965215786,-40.68130105761345
3,-60.97619058129786,-60.66376663465521,-53.37713174144433,-53.540492526722204,-43.98803758959989,-57.33098785081002,-53.46192954297911,-54.79948492429383,-92.71279689093257,-37.22141576421664
4,-57.23397347185751,-57.84452015728251,-53.37713174144433,-50.28705347179884,-40.00517531448936,-57.33098785081002,-51.04361430979448,-51.105901333981095,-82.68294452482627,-33.236329332880956
5,-57.198850063707084,-57.60547487646356,-53.37713174144433,-48.28119134864872,-40.00517531448936,-57.04875677460558,-51.04361430979448,-42.606788046430474,-82.68093822779582,-32.12832465293715
6,-57.198850063707084,-46.96454762081622,-52.337251337527476,-48.28119134864872,-39.930100514077466,-52.27658364017764,-45.55000655530553,-41.87853201359863,-82.68093822779582,-32.12832465293715
7,-57.198850063707084,-46.96454762081622,-46.05469533027589,-47.65857075176052,-39.930100514077466,-52.27658364017764,-44.53951086689736,-40.454194811322544,-62.736216045117445,-32.12832465293715
8,-50.763402416303634,-46.96192490976671,-43.16087893764582,-47.65857075176052,-39.930100514077466,-52.27658364017764,-44.53951086689736,-40.454194811322544,-62.736216045117445,-30.144514664204404
9,-49.030456573954034,-41.74978849429093,-41.12656136734043,-47.65857075176052,-38.058041680662626,-50.51794542145617,-44.53951086689736,-38.163004980416225,-48.050308462238604,-30.144514664204404
10,-45.84615505371939,-41.74978849429093,-38.89026710575797,-47.65857075176052,-38.058041680662626,-50.51794542145617,-44.53951086689736,-37.27541150921171,-48.050308462238604,-29.8280051886164
11,-45.84615505371939,-41.21257222432686,-37.69889194078932,-45.20889733058162,-35.20465743784311,-50.49518281311609,-44.3345811358804,-37.27541150921171,-46.485272336336465,-29.8280051886164
12,-45.84615505371939,-41.21257222432686,-37.69889194078932,-45.20889733058162,-35.20465743784311,-48.38500947352611,-44.3345811358804,-37.27541150921171,-46.485272336336465,-29.8280051886164
13,-44.95788182113433,-41.21257222432686,-37.69889194078932,-45.20889733058162,-35.20465743784311,-48.38500947352611,-44.3345811358804,-37.27541150921171,-45.092234020847435,-29.8280051886164
14,-44.83591243237127,-41.21257222432686,-35.6136531766806,-45.20889733058162,-35.20465743784311,-41.57050396054983,-41.1539192005282,-37.27541150921171,-45.092234020847435,-29.8280051886164
15,-42.14283448041553,-41.21257222432686,-35.61202090514203,-45.20889733058162,-35.20465743784311,-41.57050396054983,-41.1539192005282,-37.27541150921171,-45.092234020847435,-29.8280051886164
16,-41.73895368848029,-39.9126538941274,-35.61202090514203,-45.20889733058162,-34.87626960008295,-41.14285693853054,-41.1539192005282,-37.27541150921171,-44.82771095846461,-29.8280051886164
17,-41.73895368848029,-39.9126538941274,-35.61202090514203,-45.20889733058162,-32.60020868273786,-41.14285693853054,-40.78184649461027,-37.27541150921171,-44.82771095846461,-29.8280051886164
18,-41.224909370112194,-39.9126538941274,-35.61202090514203,-45.20889733058162,-32.60020868273786,-41.14285693853054,-40.78184649461027,-37.27541150921171,-44.82771095846461,-29.8280051886164
19,-41.025931480681585,-39.9126538941274,-35.61202090514203,-45.20889733058162,-32.60020868273786,-40.73440889074103,-40.78184649461027,-37.27541150921171,-43.498281539194494,-29.8280051886164
20,-41.025931480681585,-39.9126538941274,-35.61202090514203,-45.20889733058162,-32.60020868273786,-40.73440889074103,-40.78184649461027,-36.951868173895676,-43.498281539194494,-29.8280051886164
