iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-3897470.7557277875,-1565257.8106099726,-3833809.382218282,-1839203.5241142218,-1763607.5621038394,-1380896.9855795526,-2433784.723453624,-398337.5154481354,-959907.8574234861,-3855833.904608215
1,-3637.362709646335,-4079.045508004521,-8139.477924006067,-8432.877630875751,-13624.594219039787,-22907.108324399753,-11215.106991206918,-3646.513365048985,-8511.843170921726,-4915.818044237429
2,-8908.4525177546,-7270.30417918762,-9042.25390867487,-30565.47979072581,-55996.09388790476,-6523.223526797949,-9235.254022498699,-10121.577187173481,-5798.208278974881,-2232.5506431445915
3,-7135.657921943752,-2259.8268055337353,-28672.102378719977,-8493.828098884962,-4593.418092445978,-10729.92205198031,-59906.936031493344,-8370.349911018007,-12456.054986636642,-9410.911040074867
4,-7475.736930043793,-12404.32834189618,-29939.39796400076,-15960.260912347194,-46701.80606834027,-54655.06607826007,-9303.012734181855,-23773.248740855714,-21806.83557233982,-2786.0194440979135
5,-7226.862158146854,-18063.611786173984,-12522.85194368918,-27171.210172851468,-8829.982937658173,-9688.592147977324,-43607.08389825364,-3619.4154113489903,-29114.283834543785,-27119.774934090245
6,-28180.809525470202,-12562.159077345612,-13173.653443303956,-10399.404760180034,-9020.167326755163,-12031.169479124577,-21445.50019657411,-10197.609972646016,-27750.807576856823,-7413.163972706558
7,-31487.410714168247,-26868.32324820068,-17248.695942434268,-32997.43829974401,-72590.49616564093,-37752.361719154884,-15420.5118815398,-19289.74813817988,-32593.703761307268,-9309.630194938314
8,-42836.11117492417,-31321.930715827566,-25656.25289689482,-107905.53063582185,-18099.144544424937,-21797.222257731042,-17125.46441531093,-8110.293114548104,-25710.868982330652,-33687.76477768269
9,-47635.72049390391,-15373.18940425849,-17591.122511748144,-41191.70823830644,-7700.8692108467385,-41739.17834128169,-71900.3780788416,-9546.397866857844,-10434.684454452781,-8352.241493512374
10,-40200.90658770724,-28444.823666875942,-13689.28137384955,-7936.079958433481,-8443.11308892944,-19646.303939557463,-40761.94766863482,-20732.110345139496,-41850.6316828126,-26112.275842540494
11,-9394.885073644753,-24873.586616490153,-25154.176754696826,-102447.95642908142,-41692.27660755855,-35221.617184218696,-54565.760387160044,-30701.03498259445,-39600.89110859935,-62526.866642072884
12,-20232.335987616414,-17287.555196830064,-17625.67549525375,-59794.672829128554,-17268.11597525611,-20004.577167416897,-86774.98146179946,-83676.84621169885,-70388.57921240748,-33563.61457975606
13,-28603.094376087538,-10392.710393433961,-8724.019426705683,-30097.911473937183,-27412.926144557532,-9955.83689091186,-40170.86339249519,-12748.105521114721,-41170.44546744399,-24633.30550210836
14,-38678.663252060825,-44155.40885092562,-20269.224238281524,-16600.92558426289,-63749.71084020805,-4189.611996030265,-22975.855457373327,-21415.528704998047,-53484.21062262238,-30525.367286113502
15,-166683.54361786673,-28636.676727481456,-34078.920051933645,-8733.54512721327,-30209.943442667,-50948.74004948583,-32842.451397181685,-8544.424296201487,-48746.12610038805,-13570.534413952562
16,-32408.26741956658,-42858.95206179501,-28704.594055301895,-66990.32478848172,-48408.24490550023,-9048.162690376726,-187553.90812289342,-17104.03785440392,-19164.285340881528,-15112.04837920163
17,-102836.42426871172,-35012.72812123858,-16211.677715611877,-27062.099045978983,-36602.801709379346,-43471.226732398834,-116112.15545437117,-11419.361717472853,-92120.76896963752,-9367.21876581251
18,-46568.49491828819,-34895.9367601386,-4772.491746651218,-23981.400007428507,-66170.51105182769,-42375.984892529836,-24411.27214083114,-23459.19804582086,-33548.262607255325,-5293.18489498502
19,-60652.72938612475,-87188.90390867874,-37116.96742886937,-53373.51903175061,-82993.15332461701,-17819.7958441253,-270619.1657735977,-153482.44136452384,-84151.00303536703,-39060.028576759076
20,-78305.70610643174,-29858.445384974708,-110172.25588454428,-20479.607165413076,-33227.17620073453,-26387.627580591237,-112833.91726410706,-3412.0614451474266,-67970.2775333177,-32766.35355784899
21,-67381.80880640628,-84109.05040611827,-16934.677388929198,-33462.5513850346,-18573.101481648795,-20189.879110313672,-140007.63056831827,-68684.8918935677,-50923.99389607606,-181483.02300135832
22,-69468.60425936125,-41506.977184850286,-18186.353081966052,-8709.182666194021,-32171.741834635293,-21351.091178762505,-20653.54156210927,-16690.505184102716,-53453.13346347489,-10865.097861900247
23,-7628.617065432645,-54860.43122080147,-28799.60420798068,-26502.275079762316,-51429.6787008449,-20815.252373546005,-46936.04292288225,-28580.53711540637,-36680.46694079687,-119717.7308801206
24,-49792.44036851383,-44449.71212768523,-22768.644055745615,-38119.81987975267,-39555.421465023705,-94187.33174751699,-155152.59327081506,-17658.841794465552,-31777.97736897619,-75604.3969187956
25,-54312.01808298271,-85250.53123195149,-9882.29103293746,-27264.640299255672,-32270.092947151214,-21456.386477211767,-152019.2781378555,-24794.008946256276,-9215.135784961047,-47136.75959561309
26,-33456.855476117715,-52697.99162659192,-23673.19304648762,-135326.77927567196,-104867.17663562791,-43737.43146365663,-113455.8872655801,-36252.259400178125,-32666.399351916032,-135111.65867709773
27,-233859.59283428636,-52275.57762069771,-16681.904453672665,-20513.836848076087,-27318.308078792536,-22211.23187564859,-27904.495877555924,-18782.204615463867,-22292.74006466398,-96133.94683785128
28,-86876.19885699876,-19149.917475821323,-44659.082966731294,-35153.11212906066,-97289.80268537303,-103804.59992884543,-29307.09882491692,-12555.819532383164,-16786.936031603487,-252215.56695035164
29,-139602.05048358586,-209874.57221391326,-61628.77123965592,-6121.955816326085,-31114.844675654578,-44820.80212879264,-47543.82963702312,-88240.92005307981,-48471.361619501506,-12407.174698564262
30,-31158.726592789193,-123500.83061485871,-37310.29721923996,-57100.66932245286,-136057.08428300289,-66410.20205659972,-94872.45233896527,-53295.39069593154,-65267.80080311994,-26575.99823936968
31,-70553.42354336753,-170825.92436765516,-181474.51963205598,-45640.903308064146,-58255.122208906854,-3413.557167828867,-29589.221989206228,-24166.947547408134,-81122.73621140451,-7944.722952215228
32,-147156.96252649775,-141786.88692427278,-41489.80997468575,-47649.72128716484,-65061.10160588623,-17323.320801217476,-173907.18760914472,-61215.9816857512,-89759.50486825005,-32955.62401281118
33,-21503.297031338905,-21013.742008392226,-68575.17895574798,-29982.609360051676,-160764.03077689448,-63514.138254716556,-42167.468889120486,-26434.85789265432,-45766.752096127566,-27631.058426146963
34,-74108.26947722828,-101387.35346090453,-74203.36179460702,-15682.084455116088,-83429.06259163229,-66394.77943213147,-11360.141170984803,-22217.460168692898,-32821.85479414377,-59223.72938521614
35,-113730.7458114503,-87865.45965686857,-35265.405863319946,-106587.20503690402,-39902.878962703704,-6135.838923490824,-23742.90524712747,-24673.53042352396,-221843.14420542587,-150767.1723693148
36,-57262.461344037656,-32174.06502646462,-32132.590141831814,-29569.697999492164,-109356.33405553288,-44776.70685916461,-117987.18400583521,-151519.3600453433,-14025.298904442901,-115311.93824853013
37,-77963.10781227963,-44037.17231816694,-39410.50316955732,-126070.60905066309,-38181.32722422461,-249018.88757045142,-20527.168670368257,-54940.88862272419,-87501.27627686791,-82292.18509677998
38,-35806.10266736935,-127752.01263870044,-61549.10609849873,-74827.1594140974,-43134.8326434683,-207497.30118886608,-50534.454199690386,-47083.458156451336,-11553.843633621476,-8113.640731247139
39,-28825.33605993149,-76187.53252995168,-37476.96423953059,-87922.23374498039,-140401.29141138762,-13394.392176766418,-66339.60220575136,-45023.09094096024,-76490.76866272998,-12769.8961933976
40,-111506.65769808508,-93607.2310602834,-33165.44766860263,-22142.663127844724,-57065.842480136496,-84470.85330780622,-132043.5121931872,-73878.67360481038,-36476.87524231849,-140580.64425842775
41,-174371.80489706813,-127554.99999604904,-32430.959335239557,-43106.7661307189,-52900.8210381249,-28065.55652052837,-178691.1607183688,-149627.55844723553,-45254.3256261924,-241625.7595967736
42,-105242.36149238082,-39971.71490733712,-260409.2228447686,-38412.516684799106,-165060.17697188523,-13243.260753392888,-36508.12008059289,-77705.512604333,-106719.18330157081,-51360.88362162115
43,-110397.65632387914,-54174.078064534326,-49089.46690547035,-80527.57841598048,-204783.46344081918,-28439.645725342176,-458899.12718420144,-109727.9772328184,-39325.24044853125,-71347.50403757581
44,-23657.939473020757,-104458.74921067203,-100374.95937980837,-9057.375783537558,-95557.2318775323,-38383.35340777521,-21650.469670664497,-32151.681443158646,-152012.4977613117,-48967.13386417224
45,-25909.58221306366,-18311.80168349258,-36720.88654479457,-43692.7492038708,-27470.3414583184,-32869.61594269121,-55689.59919463411,-77228.99954211118,-66703.34818821533,-111365.38282823843
46,-24377.94749563657,-44321.68780960314,-13809.790627787064,-124771.8772174148,-60489.1747303804,-13241.968652011685,-30891.6170684927,-121720.5290612459,-36007.20899987151,-165268.36299031173
47,-75736.1726916562,-52796.29897979031,-79520.62964991195,-35124.313719238286,-59405.209423688604,-20036.22523304991,-67113.87945561027,-73940.58515026585,-113363.9655663127,-28324.29309807641
48,-59242.25972392101,-41746.14116019435,-52527.29296506215,-131715.85715918924,-26425.350545227797,-35522.39330119247,-150046.81836093616,-36172.46310894065,-43020.43185860083,-21294.599689776558
49,-146029.13816601803,-73889.58878445307,-44482.75468838445,-31022.645722172092,-63340.63235631309,-17777.77584601844,-35183.285280787706,-37070.09614680345,-13128.600397102975,-35432.74597200117
50,-41802.9430043212,-37301.157097417716,-76966.50310370166,-9957.808657354615,-191370.846554838,-24246.682467909694,-16884.877781762505,-12053.54524733037,-11263.975303096868,-13795.754196575013
