iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-98.93857096758015,-86.49516000497697,-86.18995239458965,-70.92102508102042,-151.40928032694933,-78.88697570641716,-141.5539544710722,-90.41479571336939,-115.12718472467196,-77.03753659034683
1,-98.59042677723468,-85.61454330839123,-82.50591268265538,-70.37811838747508,-151.40928032694933,-78.88697570641716,-109.30633933479899,-89.33664040758165,-98.88394974280027,-77.03753659034683
2,-98.59042677723468,-85.50116086506159,-82.50591268265538,-70.1591536910905,-151.40928032694933,-78.88697570641716,-108.93799372278741,-89.33664040758165,-98.88394974280027,-77.03753659034683
3,-96.38205363167364,-82.16248476509521,-76.57994881037222,-70.1591536910905,-151.40928032694933,-78.88697570641716,-102.30295958521185,-88.11191353132386,-98.88394974280027,-71.260924142846
4,-96.38205363167364,-81.80410600046793,-75.9946734369933,-70.1591536910905,-149.29040265386277,-76.74869216949199,-102.30295958521185,-88.11191353132386,-97.47943911641262,-67.70476841756764
5,-96.38205363167364,-81.42569813261042,-73.92365731091184,-70.1591536910905,-149.29040265386277,-75.87456260471725,-102.30295958521185,-87.34078302359285,-97.47943911641262,-67.59487587840817
6,-90.71768404192166,-73.32485925565706,-73.92365731091184,-70.10713425026508,-149.29040265386277,-75.87456260471725,-98.8637630815494,-85.25210445111877,-84.05899116666387,-67.59487587840817
7,-90.71768404192166,-73.32485925565706,-73.92365731091184,-68.9064613530772,-149.29040265386277,-75.87456260471725,-98.8637630815494,-85.25210445111877,-83.72260261450417,-62.335011157140364
8,-90.71768404192166,-73.32485925565706,-73.92365731091184,-64.90193060090093,-149.29040265386277,-73.3094512381334,-79.70741760401866,-83.79767125540123,-81.30375564753894,-62.335011157140364
9,-89.55287739976833,-72.02907126468239,-73.92365731091184,-64.90193060090093,-149.29040265386277,-73.3094512381334,-79.70741760401866,-83.79767125540123,-81.30375564753894,-62.07037141228275
10,-88.3389058244923,-72.02907126468239,-73.92365731091184,-64.90193060090093,-149.29040265386277,-73.3094512381334,-79.70741760401866,-83.6224600962777,-81.30375564753894,-62.07037141228275
11,-88.3389058244923,-72.02907126468239,-73.92365731091184,-64.90193060090093,-149.29040265386277,-70.50268376874837,-73.62986187971524,-83.6224600962777,-75.47109888921264,-62.07037141228275
12,-88.3389058244923,-72.02907126468239,-73.92365731091184,-64.90193060090093,-149.29040265386277,-70.50268376874837,-73.62986187971524,-83.6224600962777,-74.06902398670614,-62.07037141228275
13,-88.3389058244923,-72.02907126468239,-73.92365731091184,-64.90193060090093,-74.33843975932476,-70.50268376874837,-71.32540070666053,-82.97288655794979,-74.06902398670614,-62.07037141228275
14,-88.3389058244923,-72.02907126468239,-73.92365731091184,-64.90193060090093,-74.33843975932476,-70.50268376874837,-70.67994247954633,-82.97288655794979,-72.35832149726858,-62.07037141228275
15,-87.54491245180701,-72.02907126468239,-73.67986402565553,-64.90193060090093,-73.10363775230371,-70.0416418335866,-70.67994247954633,-82.97288655794979,-72.35832149726858,-62.07037141228275
16,-87.54491245180701,-72.02907126468239,-73.67986402565553,-64.90193060090093,-70.14590968139728,-70.0416418335866,-70.67994247954633,-82.97288655794979,-71.86425998175997,-62.07037141228275
17,-84.43942534128983,-72.02907126468239,-73.26587936727144,-64.90193060090093,-70.14590968139728,-70.0416418335866,-70.67994247954633,-82.97288655794979,-71.86425998175997,-62.07037141228275
18,-84.43942534128983,-70.81478128159054,-72.9354783158123,-64.90193060090093,-66.87621771819124,-69.38660765262084,-70.67994247954633,-82.97288655794979,-71.86425998175997,-62.07037141228275
19,-84.43942534128983,-70.47971345563411,-72.9354783158123,-64.90193060090093,-66.87621771819124,-69.38660765262084,-70.67994247954633,-81.55055121466557,-71.86425998175997,-62.07037141228275
20,-84.43942534128983,-69.89352930424724,-72.9354783158123,-64.73332386191731,-66.87621771819124,-69.38660765262084,-70.67994247954633,-81.55055121466557,-71.86425998175997,-61.63355843849423
21,-84.43942534128983,-69.89352930424724,-72.53650946279828,-64.73332386191731,-66.87621771819124,-67.9746861815977,-70.67994247954633,-79.843952704582,-70.57630232459287,-59.34579906523451
22,-79.43624002027656,-69.89352930424724,-72.53650946279828,-64.07066198314055,-66.87621771819124,-64.4424179747162,-70.67994247954633,-79.843952704582,-70.57630232459287,-59.34579906523451
23,-79.42621155369173,-69.89352930424724,-72.53650946279828,-64.07066198314055,-66.87621771819124,-64.4424179747162,-70.67994247954633,-79.843952704582,-70.57630232459287,-58.451303082169936
24,-79.42621155369173,-66.76682673108765,-72.53650946279828,-64.07066198314055,-66.87621771819124,-64.4424179747162,-70.67994247954633,-79.843952704582,-70.57630232459287,-58.451303082169936
25,-79.42621155369173,-66.76682673108765,-72.53650946279828,-63.821815960900835,-66.87621771819124,-63.2448055050502,-70.67994247954633,-76.96948593470448,-70.52074588242175,-58.451303082169936
26,-78.9848294659026,-66.76682673108765,-71.99765326435181,-63.821815960900835,-66.87621771819124,-63.138339949811446,-70.23287240002225,-76.96948593470448,-70.52074588242175,-57.519551811205666
27,-78.9848294659026,-66.76682673108765,-71.99765326435181,-61.852105259030225,-66.87621771819124,-63.138339949811446,-70.23287240002225,-76.96948593470448,-70.52074588242175,-57.519551811205666
28,-76.062883690441,-66.76682673108765,-71.99765326435181,-61.852105259030225,-65.18985258846047,-61.55287004904852,-70.23287240002225,-75.89687464263095,-70.52074588242175,-57.519551811205666
29,-76.062883690441,-65.65494722812936,-71.99765326435181,-61.852105259030225,-64.94912296280174,-61.55287004904852,-70.23287240002225,-74.71144249522415,-70.52074588242175,-57.519551811205666
30,-76.062883690441,-65.65494722812936,-71.96418708698846,-61.852105259030225,-64.94912296280174,-61.20287290895696,-68.75918885858911,-74.71144249522415,-70.52074588242175,-57.519551811205666
31,-76.062883690441,-65.65494722812936,-71.96418708698846,-59.64537546580128,-63.63092008850938,-61.20287290895696,-68.75918885858911,-74.71144249522415,-70.52074588242175,-57.519551811205666
32,-76.062883690441,-65.65494722812936,-71.96418708698846,-59.64537546580128,-61.62338980182142,-58.22748713285298,-68.75918885858911,-74.71144249522415,-66.10035008119117,-57.519551811205666
33,-76.062883690441,-65.65494722812936,-71.96418708698846,-59.64537546580128,-61.62338980182142,-58.22748713285298,-68.75918885858911,-71.85334221770863,-66.10035008119117,-57.519551811205666
34,-73.66210219767692,-65.65494722812936,-71.96418708698846,-59.64537546580128,-59.158115481754095,-56.284972794277124,-68.75918885858911,-71.85334221770863,-66.10035008119117,-57.519551811205666
35,-72.11120287664681,-65.65494722812936,-71.96418708698846,-59.64537546580128,-56.572022543483776,-56.284972794277124,-68.75918885858911,-71.85334221770863,-64.14243454436598,-57.519551811205666
36,-69.36058163630265,-65.65494722812936,-71.85001131944054,-59.64537546580128,-56.57135462712713,-56.284972794277124,-68.75918885858911,-71.85334221770863,-64.14243454436598,-57.519551811205666
37,-69.36058163630265,-65.65494722812936,-71.85001131944054,-59.596491007852535,-56.57135462712713,-55.01743198013541,-68.01824762095703,-71.85334221770863,-64.14243454436598,-57.519551811205666
38,-69.36058163630265,-65.65494722812936,-71.85001131944054,-59.596491007852535,-56.57135462712713,-55.01743198013541,-65.68748932896673,-70.21543791783594,-64.14243454436598,-55.02517680713109
39,-69.36058163630265,-64.82817665491943,-71.85001131944054,-58.820823353735236,-56.57135462712713,-54.25771132963416,-65.68748932896673,-65.44069589006801,-64.14243454436598,-53.52037126701802
40,-69.36058163630265,-64.80404306697186,-71.50397555894205,-58.820823353735236,-56.57135462712713,-54.25771132963416,-65.68748932896673,-63.96932736408786,-64.14243454436598,-53.52037126701802
41,-68.8138602079715,-64.80404306697186,-69.79649918962127,-58.63625390159791,-56.57135462712713,-54.25771132963416,-65.68748932896673,-63.96932736408786,-64.14243454436598,-53.52037126701802
42,-68.55006321993835,-64.80404306697186,-68.9417141417319,-58.63625390159791,-56.57135462712713,-54.25771132963416,-65.6652155153364,-63.96932736408786,-62.03059634022285,-53.52037126701802
43,-68.28846268238186,-62.64298132066243,-68.9417141417319,-58.63625390159791,-56.57135462712713,-54.25771132963416,-65.6652155153364,-63.96932736408786,-62.03059634022285,-53.52037126701802
44,-68.28846268238186,-62.64298132066243,-68.9417141417319,-58.63625390159791,-56.57135462712713,-54.25771132963416,-65.6652155153364,-63.540689027899106,-62.03059634022285,-53.52037126701802
45,-68.28846268238186,-62.64298132066243,-68.93313804213409,-58.63625390159791,-56.57135462712713,-54.25771132963416,-65.6652155153364,-63.540689027899106,-62.03059634022285,-53.52037126701802
46,-68.13819704777006,-59.95025730778467,-68.93313804213409,-58.63625390159791,-56.57135462712713,-54.25771132963416,-65.6652155153364,-63.540689027899106,-62.03059634022285,-53.52037126701802
47,-68.13819704777006,-59.95025730778467,-68.93313804213409,-58.63625390159791,-56.57135462712713,-54.25771132963416,-65.6652155153364,-63.540689027899106,-62.03059634022285,-53.52037126701802
48,-67.18941944590405,-59.95025730778467,-66.7190946685547,-58.63625390159791,-56.57135462712713,-54.25771132963416,-65.6652155153364,-61.8449856951496,-62.03059634022285,-53.52037126701802
49,-67.18941944590405,-59.95025730778467,-65.91104919986768,-58.63625390159791,-56.57135462712713,-54.25771132963416,-65.6652155153364,-61.8449856951496,-62.03059634022285,-53.52037126701802
50,-64.26432278986194,-59.95025730778467,-65.91104919986768,-58.63625390159791,-56.57135462712713,-54.25771132963416,-65.6652155153364,-61.8449856951496,-62.03059634022285,-53.52037126701802
