iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-3897470.7557277875,-1565257.8106099726,-3833809.382218282,-1839203.5241142218,-1763607.5621038394,-1380896.9855795526,-2433784.723453624,-398337.5154481354,-959907.8574234861,-3855833.904608215
1,-568738.2722461404,-743037.0441972716,-804319.984726605,-663822.6805456382,-877834.3047455843,-1041684.9432411426,-3458734.5618499005,-1707742.2481328137,-1501140.089343165,-4941024.457242182
2,-783690.2161545723,-406188.83050057536,-909844.0603106995,-1204588.6282783553,-1224706.7029959753,-1959121.4005090478,-505897.74531123537,-1403911.768638861,-2847415.549820045,-779957.2481663241
3,-239387.383385966,-514415.90590321226,-1345123.8919974137,-1462020.3130396612,-1270215.3487717307,-1497447.5547275243,-2376467.406520504,-993843.2074881069,-1896205.9874952831,-655942.8996956511
4,-1495400.6358614024,-1296628.1790684983,-1167170.4196203398,-541901.1973810114,-984326.1507056712,-996817.3193866243,-1536527.2294017845,-1306496.4802900788,-531001.9811445234,-3178033.5723471395
5,-1042829.4564717519,-581295.1713509916,-2084201.7887099544,-452230.44346772163,-2420293.706277617,-1865389.2757554925,-2622173.4722736906,-1079646.6702827513,-952984.7535478598,-726724.9456929266
6,-1729408.5161813423,-2802261.4923232505,-390144.05787935766,-688831.791149301,-296937.1130291837,-2855045.1536075096,-999021.0675362034,-973068.9347307071,-835502.3978897696,-1891082.1234585177
7,-757471.6705478437,-877653.9217558673,-577978.7343499851,-2507378.6364004137,-977824.8528501524,-1708337.656687735,-3354574.7377981786,-581206.4900282121,-2876218.194670827,-863836.5734221404
8,-1278453.3031475474,-816457.6364640004,-1700244.9706352605,-117104.03926166706,-527933.4338722632,-1493395.8845695117,-474491.15499186586,-676648.9043184575,-1604985.6550216905,-316317.25973691884
9,-1059706.674445578,-845462.672927768,-1535505.4128564955,-2405910.653807351,-676232.1847662025,-253639.90089083122,-859664.3091445407,-797307.1812116686,-212476.74829611642,-1269702.903290168
10,-1002411.2219610744,-627692.6829513207,-2184069.8186924276,-441152.2522921224,-831626.7563661223,-4904031.660975464,-1037911.7819165445,-1959749.8910490756,-1823998.1746962576,-1302124.6475699837
11,-341872.59780590836,-1403947.0292183463,-1082045.7309777485,-1449856.2530257758,-1576556.1969803453,-816578.1967671476,-3011553.244977669,-1050302.7562863128,-657752.910545667,-2284677.1274447553
