iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-98.93857096758015,-86.49516000497697,-86.18995239458965,-70.92102508102042,-151.40928032694933,-78.88697570641716,-141.5539544710722,-90.41479571336939,-115.12718472467196,-77.03753659034683
1,-93.38726195257573,-70.43089697878148,-79.33082706180258,-65.78478892273262,-96.10485699169277,-71.23697897366768,-73.58629040626519,-65.44703387435325,-106.91442624816301,-54.4079512650564
2,-88.86562680745624,-62.83113256947753,-76.9030475335986,-54.34663722221762,-90.18685941210056,-67.2957708862103,-61.48766773147979,-63.100826867018284,-103.60880925485328,-49.20569619294949
3,-85.79177724477344,-57.7084283952393,-65.53885226017171,-54.34663722221762,-83.77052832784588,-63.8887038633158,-56.786126418606095,-58.58110507788484,-102.02534795973469,-49.20569619294949
4,-83.32218188747441,-49.79153956532534,-62.69369334259766,-54.34663722221762,-79.20361880875738,-63.229233614304704,-52.80214903295303,-52.989851201281894,-98.50550894886277,-45.48801886759442
5,-82.83038797092185,-49.79153956532534,-60.78370031223378,-54.34663722221762,-78.34527679882957,-58.95564086883334,-52.2814532076221,-52.59400873820531,-79.31082577794811,-40.586333169382335
6,-76.64088638226055,-49.651233295472366,-58.82755302190929,-54.215545805802485,-40.72580795829778,-58.95564086883334,-50.08407042709641,-51.94030136322485,-74.47091909517916,-40.586333169382335
7,-73.51342873325245,-49.651233295472366,-58.82755302190929,-53.717699827831865,-40.37578289323463,-58.95564086883334,-50.08407042709641,-50.900086230404035,-70.78499752229177,-40.586333169382335
8,-60.01108237384945,-44.609360508581,-57.23240447677128,-52.13464373221244,-40.37578289323463,-58.250875856594845,-50.08407042709641,-49.74350372244085,-69.91105950699193,-40.586333169382335
9,-58.84025694486486,-44.609360508581,-57.23240447677128,-51.85569550569581,-40.37578289323463,-58.250875856594845,-48.35545320939272,-48.38572060510333,-64.1731391048721,-40.586333169382335
10,-58.84025694486486,-44.609360508581,-56.72162209529158,-51.85569550569581,-40.36752044015665,-57.98525166357365,-48.35545320939272,-48.38572060510333,-64.1731391048721,-40.586333169382335
11,-58.528824747745205,-44.609360508581,-56.72162209529158,-51.85569550569581,-40.36752044015665,-57.98525166357365,-48.215397186855554,-40.93571532392532,-51.01119285815661,-39.591092502800066
12,-58.528824747745205,-44.609360508581,-56.72162209529158,-51.85569550569581,-40.36752044015665,-57.98525166357365,-48.215397186855554,-40.93571532392532,-51.01119285815661,-39.591092502800066
