iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-3897470.7557277875,-1565257.8106099726,-3833809.382218282,-1839203.5241142218,-1763607.5621038394,-1380896.9855795526,-2433784.723453624,-398337.5154481354,-959907.8574234861,-3855833.904608215
1,-11900.218864316319,-10691.719749156573,-19498.654589439466,-32094.719335011752,-31482.730744043653,-53464.20961299617,-34317.27430564401,-12088.36881394626,-29936.598208260057,-6026.588901914791
2,-28130.826934928366,-23803.97127024312,-12742.55808720576,-130396.44432331757,-89090.05130230596,-21670.128298510805,-74496.40129089201,-14630.329642745963,-13883.379856681215,-7810.304724842783
3,-14068.486795468212,-34762.718731402514,-43054.66130975513,-6411.012017815578,-13709.884531002845,-74163.93359081801,-140028.644207314,-47276.413497731,-14644.463621236871,-17931.879583719427
4,-13519.832837415262,-44573.63405263509,-37193.15429977665,-35976.027951272044,-19009.579508258626,-27478.74824121334,-28479.072571476587,-5378.954401142187,-29965.12440767237,-2647.2163914071207
5,-25609.146070286988,-28938.170122537158,-10106.20062770367,-41387.326869506665,-122149.65225720839,-23091.21781134696,-131539.4613230146,-14583.245083102162,-79240.24313680187,-16834.388124893158
6,-20550.193614157382,-66136.46569628333,-65285.4244794234,-24550.32404052397,-29125.18048418973,-54601.29968909274,-9311.196288413388,-10191.07683196623,-58685.540746142535,-90413.02659967708
7,-42225.08745647443,-33142.580952105185,-10771.94310639142,-28867.742103899243,-15594.831024475296,-56055.28512357497,-59781.77906803548,-18243.593778691193,-77134.81599553295,-31221.986585905313
8,-50244.90536190475,-48351.321894021974,-43355.80836115397,-19514.98929956808,-59017.57624867545,-75553.28659508206,-19089.35050573867,-28310.58538845992,-36361.40805075942,-22428.09793976879
9,-64752.39616766386,-98581.99678796927,-171706.39444299488,-28326.298390151183,-8846.957160443526,-50146.804384938616,-85662.21025798585,-44796.22995482455,-81842.24914801026,-37189.17224061985
10,-153212.89975920971,-30012.991116030902,-34203.39793687302,-10990.372557022267,-41447.97274216483,-122845.9114311286,-55400.83012533097,-57165.49743159102,-90806.06333481142,-16157.581853433787
11,-142034.58223722834,-54428.97152844454,-90239.68003224547,-72105.46844290808,-104159.59387413914,-77016.50623498212,-46545.33700039835,-33174.61884693884,-57694.83666416716,-34366.40566250304
12,-219551.98525162035,-67582.69233729749,-89022.10229354966,-39818.60459425003,-67571.35237192335,-80549.13170454968,-58593.06086967577,-38718.18413834355,-200824.9297458018,-11328.602199567813
13,-35336.50352401614,-169963.28067172735,-150643.3281382033,-101894.13971887084,-35220.97668006146,-38820.08491773054,-52840.566190608355,-182004.40284287394,-15882.776613716134,-22890.951181222044
14,-30712.976262043554,-45267.94719900581,-24304.88923557777,-51043.89661273639,-184465.43206117328,-47898.38853007935,-228710.8686397316,-70308.33003379623,-90342.58698078683,-51413.84954082874
15,-95080.56513466279,-180727.87643576096,-260924.30820551663,-22437.670879270834,-305886.90306854557,-54447.86831785254,-42221.019080190425,-22319.620148820606,-27953.80392694787,-70593.56706454858
16,-253925.4313304241,-58327.80803456652,-144026.3914841631,-77453.59137213789,-26162.98754811437,-31499.563296303415,-113993.8560470851,-72411.46049563409,-33641.924790996694,-211252.57985638105
17,-149757.6192418168,-22673.604053189716,-49900.74482326799,-155738.48567671422,-123627.77631080375,-21374.33078834216,-43495.29194937278,-14084.13640944699,-70676.8135908854,-125431.40752059626
18,-72932.12123286654,-41220.61029833772,-93169.96289464868,-44738.008700773615,-81213.51906925441,-42286.704268996575,-71123.6088342513,-15821.177007143067,-254519.49244781607,-67758.36226676166
19,-144605.55450508778,-216959.64465484192,-44014.09707753078,-300832.6085887853,-50376.9793904679,-164008.83206089976,-23815.009983602224,-137180.00272433794,-227640.2690745168,-110276.13179893125
20,-59059.36932812213,-307137.44929672714,-114846.15339949375,-53305.808847417364,-104536.85143504417,-197815.1025896045,-299552.06360228243,-51844.60760439495,-50551.24963963579,-340118.1472968755
21,-142339.17036853588,-308666.01612090314,-163151.31369585506,-124450.50620308312,-45527.61115812685,-51048.92904508943,-258875.93597709536,-27445.65039794759,-99337.8537441319,-63639.58204985075
22,-270221.7007765441,-214621.51066227956,-54603.89122559442,-44983.70186305759,-69344.98429432005,-59896.897380420574,-118468.75901361434,-57828.745722743086,-117975.07756518386,-203100.0222173968
